paper,source_file,output_file,section_level,section_title_plan,section_title_tex,line,mapped_node_ids,rakb_comment,status
Paper I,RA_Paper_I_Discrete_Spacetime_Actualization_BDG_Growth_Kernel_v9_2_final_Apr2026.tex,RA_Paper_I_Discrete_Spacetime_Actualization_BDG_Growth_Kernel_v9_2_final_Apr2026_rakb_ids.tex,subsection,From causal order to universe-state,From causal order to universe-state,189,RA-ONT-001;RA-LLC-001,% RAKB: RA-ONT-001;RA-LLC-001,inserted
Paper I,RA_Paper_I_Discrete_Spacetime_Actualization_BDG_Growth_Kernel_v9_2_final_Apr2026.tex,RA_Paper_I_Discrete_Spacetime_Actualization_BDG_Growth_Kernel_v9_2_final_Apr2026_rakb_ids.tex,subsection,Relation to classical sequential growth,Relation to classical sequential growth,197,RA-ONT-002;RA-ONT-003;RA-KERNEL-003;RA-KERNEL-004,% RAKB: RA-ONT-002;RA-ONT-003;RA-KERNEL-003;RA-KERNEL-004,inserted
Paper I,RA_Paper_I_Discrete_Spacetime_Actualization_BDG_Growth_Kernel_v9_2_final_Apr2026.tex,RA_Paper_I_Discrete_Spacetime_Actualization_BDG_Growth_Kernel_v9_2_final_Apr2026_rakb_ids.tex,section,The Seven Axioms,The Seven Axioms,245,RA-ONT-001;RA-ONT-002;RA-ONT-003;RA-ONT-004;RA-LLC-001;RA-KERNEL-003,% RAKB: RA-ONT-001;RA-ONT-002;RA-ONT-003;RA-ONT-004;RA-LLC-001;RA-KERNEL-003,inserted
Paper I,RA_Paper_I_Discrete_Spacetime_Actualization_BDG_Growth_Kernel_v9_2_final_Apr2026.tex,RA_Paper_I_Discrete_Spacetime_Actualization_BDG_Growth_Kernel_v9_2_final_Apr2026_rakb_ids.tex,section,The BDG Action and Its Integers,The BDG Action and Its Integers,339,RA-KERNEL-001;RA-ARITH-001;RA-ARITH-002,% RAKB: RA-KERNEL-001;RA-ARITH-001;RA-ARITH-002,inserted
Paper I,RA_Paper_I_Discrete_Spacetime_Actualization_BDG_Growth_Kernel_v9_2_final_Apr2026.tex,RA_Paper_I_Discrete_Spacetime_Actualization_BDG_Growth_Kernel_v9_2_final_Apr2026_rakb_ids.tex,subsection,The second-order cancellation pattern,The second-order cancellation pattern,359,RA-KERNEL-001;RA-ARITH-001;RA-ARITH-002,% RAKB: RA-KERNEL-001;RA-ARITH-001;RA-ARITH-002,inserted
Paper I,RA_Paper_I_Discrete_Spacetime_Actualization_BDG_Growth_Kernel_v9_2_final_Apr2026.tex,RA_Paper_I_Discrete_Spacetime_Actualization_BDG_Growth_Kernel_v9_2_final_Apr2026_rakb_ids.tex,section,The Sequential Growth Rule,The Sequential Growth Rule,371,RA-ONT-002;RA-ONT-003;RA-KERNEL-003;RA-KERNEL-004,% RAKB: RA-ONT-002;RA-ONT-003;RA-KERNEL-003;RA-KERNEL-004,inserted
Paper I,RA_Paper_I_Discrete_Spacetime_Actualization_BDG_Growth_Kernel_v9_2_final_Apr2026.tex,RA_Paper_I_Discrete_Spacetime_Actualization_BDG_Growth_Kernel_v9_2_final_Apr2026_rakb_ids.tex,subsection,A worked toy growth step,A worked toy growth step,396,RA-ONT-002;RA-ONT-003;RA-KERNEL-003;RA-KERNEL-004,% RAKB: RA-ONT-002;RA-ONT-003;RA-KERNEL-003;RA-KERNEL-004,inserted
Paper I,RA_Paper_I_Discrete_Spacetime_Actualization_BDG_Growth_Kernel_v9_2_final_Apr2026.tex,RA_Paper_I_Discrete_Spacetime_Actualization_BDG_Growth_Kernel_v9_2_final_Apr2026_rakb_ids.tex,subsection,The bimodal ontology,The bimodal ontology,432,RA-ONT-002;RA-ONT-003;RA-KERNEL-003;RA-KERNEL-004,% RAKB: RA-ONT-002;RA-ONT-003;RA-KERNEL-003;RA-KERNEL-004,inserted
Paper I,RA_Paper_I_Discrete_Spacetime_Actualization_BDG_Growth_Kernel_v9_2_final_Apr2026.tex,RA_Paper_I_Discrete_Spacetime_Actualization_BDG_Growth_Kernel_v9_2_final_Apr2026_rakb_ids.tex,section,The BDG Filter and Acceptance Kernel,The BDG Filter and Acceptance Kernel,439,RA-KERNEL-001;RA-GRAV-001;RA-GRAV-002,% RAKB: RA-KERNEL-001;RA-GRAV-001;RA-GRAV-002,inserted
Paper I,RA_Paper_I_Discrete_Spacetime_Actualization_BDG_Growth_Kernel_v9_2_final_Apr2026.tex,RA_Paper_I_Discrete_Spacetime_Actualization_BDG_Growth_Kernel_v9_2_final_Apr2026_rakb_ids.tex,subsection,The actualization threshold,The actualization threshold,452,RA-KERNEL-001;RA-GRAV-001;RA-GRAV-002,% RAKB: RA-KERNEL-001;RA-GRAV-001;RA-GRAV-002,inserted
Paper I,RA_Paper_I_Discrete_Spacetime_Actualization_BDG_Growth_Kernel_v9_2_final_Apr2026.tex,RA_Paper_I_Discrete_Spacetime_Actualization_BDG_Growth_Kernel_v9_2_final_Apr2026_rakb_ids.tex,subsection,Kernel saturation theorem,Kernel saturation theorem,460,RA-KERNEL-001;RA-GRAV-001;RA-GRAV-002,% RAKB: RA-KERNEL-001;RA-GRAV-001;RA-GRAV-002,inserted
Paper I,RA_Paper_I_Discrete_Spacetime_Actualization_BDG_Growth_Kernel_v9_2_final_Apr2026.tex,RA_Paper_I_Discrete_Spacetime_Actualization_BDG_Growth_Kernel_v9_2_final_Apr2026_rakb_ids.tex,subsection,The selectivity profile,The selectivity profile,488,RA-D4-001;RA-ARITH-005,% RAKB: RA-D4-001;RA-ARITH-005,inserted
Paper I,RA_Paper_I_Discrete_Spacetime_Actualization_BDG_Growth_Kernel_v9_2_final_Apr2026.tex,RA_Paper_I_Discrete_Spacetime_Actualization_BDG_Growth_Kernel_v9_2_final_Apr2026_rakb_ids.tex,section,"The Actualization Criterion: Kernel First, Comparative Readouts Second","The Actualization Criterion: Kernel First, Comparative Readouts Second",511,RA-KERNEL-001;RA-KERNEL-004;RA-D4-001,% RAKB: RA-KERNEL-001;RA-KERNEL-004;RA-D4-001,inserted
Paper I,RA_Paper_I_Discrete_Spacetime_Actualization_BDG_Growth_Kernel_v9_2_final_Apr2026.tex,RA_Paper_I_Discrete_Spacetime_Actualization_BDG_Growth_Kernel_v9_2_final_Apr2026_rakb_ids.tex,section,The Measurement Problem Dissolved in Native Terms,The Measurement Problem Dissolved in Native Terms,564,RA-ONT-002;RA-OPEN-009,% RAKB: RA-ONT-002;RA-OPEN-009,inserted
Paper I,RA_Paper_I_Discrete_Spacetime_Actualization_BDG_Growth_Kernel_v9_2_final_Apr2026.tex,RA_Paper_I_Discrete_Spacetime_Actualization_BDG_Growth_Kernel_v9_2_final_Apr2026_rakb_ids.tex,section,"Finite Propagation, Event Counts, and Saturation","Finite Propagation, Event Counts, and Saturation",581,RA-KIN-BANDWIDTH-001,% RAKB: RA-KIN-BANDWIDTH-001,inserted
Paper I,RA_Paper_I_Discrete_Spacetime_Actualization_BDG_Growth_Kernel_v9_2_final_Apr2026.tex,RA_Paper_I_Discrete_Spacetime_Actualization_BDG_Growth_Kernel_v9_2_final_Apr2026_rakb_ids.tex,subsection,The propagation ceiling as graph bandwidth ratio,The propagation ceiling as graph bandwidth ratio,587,RA-KIN-BANDWIDTH-001,% RAKB: RA-KIN-BANDWIDTH-001,inserted
Paper I,RA_Paper_I_Discrete_Spacetime_Actualization_BDG_Growth_Kernel_v9_2_final_Apr2026.tex,RA_Paper_I_Discrete_Spacetime_Actualization_BDG_Growth_Kernel_v9_2_final_Apr2026_rakb_ids.tex,subsection,Proper time as event count,Proper time as event count,596,RA-KIN-PROPER-TIME-001,% RAKB: RA-KIN-PROPER-TIME-001,inserted
Paper I,RA_Paper_I_Discrete_Spacetime_Actualization_BDG_Growth_Kernel_v9_2_final_Apr2026.tex,RA_Paper_I_Discrete_Spacetime_Actualization_BDG_Growth_Kernel_v9_2_final_Apr2026_rakb_ids.tex,subsection,Bandwidth saturation and severance onset,Bandwidth saturation and severance onset,608,RA-GRAV-003;RA-GRAV-SINGULARITY-001,% RAKB: RA-GRAV-003;RA-GRAV-SINGULARITY-001,inserted
Paper I,RA_Paper_I_Discrete_Spacetime_Actualization_BDG_Growth_Kernel_v9_2_final_Apr2026.tex,RA_Paper_I_Discrete_Spacetime_Actualization_BDG_Growth_Kernel_v9_2_final_Apr2026_rakb_ids.tex,subsection,The D4U02 analytic gap,The D4U02 analytic gap,623,RA-D4-001;RA-D4-002,% RAKB: RA-D4-001;RA-D4-002,inserted
Paper I,RA_Paper_I_Discrete_Spacetime_Actualization_BDG_Growth_Kernel_v9_2_final_Apr2026.tex,RA_Paper_I_Discrete_Spacetime_Actualization_BDG_Growth_Kernel_v9_2_final_Apr2026_rakb_ids.tex,section,The Present Case for d=4,The Present Case for $d=4$,631,RA-D4-001;RA-D4-002;RA-ARITH-001;RA-ARITH-005;RA-MOTIF-002,% RAKB: RA-D4-001;RA-D4-002;RA-ARITH-001;RA-ARITH-005;RA-MOTIF-002,inserted
