claim_id,claim_name,claim_node_type,artifact_id,filename,artifact_type,relation,source_span,verification_status,notes
RA-OPEN-FRONTIER-NORMAL-FORM-001,Frontier/incidence normal form for actualization candidates,issue,ART-SEL-LEAN-RA_HasseFrontier_v1,RA_HasseFrontier_v1.lean,lean,formalization_scaffold,HasseCandidatePast; IsHasseFrontier; HasseFrontierCover; frontierOfHassePast,static_no_sorry_no_admit_no_axiom_build_pending,Defines graph-native downset and Hasse frontier vocabulary over concrete reachability.
RA-OPEN-ACTUALIZATION-SELECTOR-001,RA-native actualization selector,issue,ART-SEL-LEAN-RA_HasseFrontier_v1,RA_HasseFrontier_v1.lean,lean,formalization_scaffold,candidatePastOfHasse; boundaryDataOfHassePackage,static_no_sorry_no_admit_no_axiom_build_pending,Supplies graph-native candidate-past/frontier data that can feed selector vocabulary.
RA-OPEN-SELECTOR-CLOSURE-001,Selector Closure Theorem,issue,ART-SEL-LEAN-RA_HasseFrontier_v1,RA_HasseFrontier_v1.lean,lean,formalization_scaffold,Reachable; reachableCausalOrder; cut_down_closed_reachable,static_no_sorry_no_admit_no_axiom_build_pending,Moves theorem ladder toward concrete graph-native candidate actualization objects.
RA-OPEN-NO-HISTORY-QUOTIENT-001,No actual-history quotient principle,issue,ART-SEL-LEAN-RA_HasseFrontier_v1,RA_HasseFrontier_v1.lean,lean,formalization_scaffold,HasseCandidatePast; HasseFrontierCover,static_no_sorry_no_admit_no_axiom_build_pending,Classifies graph-native frontier structures without merging actual histories.
RA-OPEN-TOPOLOGICAL-LEDGER-001,Topological/incidence derivation of the RA ledger rule,issue,ART-SEL-LEAN-RA_HasseFrontier_v1,RA_HasseFrontier_v1.lean,lean,formalization_scaffold,HasseBoundaryPackage; cutHasseBoundaryPackage,static_no_sorry_no_admit_no_axiom_build_pending,Packages boundary ledger on graph-native Hasse frontier; nonzero signs remain open.
RA-OPEN-CHARGE-SIGN-001,Edge-level sign-source for signed N1 charge,issue,ART-SEL-LEAN-RA_HasseFrontier_v1,RA_HasseFrontier_v1.lean,lean,formalization_scaffold,cutHasseBoundary_qN1_seven,static_no_sorry_no_admit_no_axiom_build_pending,Conserved-cut boundary ledger remains seven-valued by zero flux; local nonzero sign-source remains next target.
RA-OPEN-GROWTH-MEASURE-001,Derived growth measure as selector shadow,issue,ART-SEL-LEAN-RA_HasseFrontier_v1,RA_HasseFrontier_v1.lean,lean,formalization_scaffold,Reachable; HasseCandidatePast; frontierOfHassePast,static_no_sorry_no_admit_no_axiom_build_pending,Reframes candidate actualization around graph-native downsets/frontiers rather than arbitrary parent-list measures.
RA-LLC-001,Local Ledger Condition,claim,ART-SEL-LEAN-RA_HasseFrontier_v1,RA_HasseFrontier_v1.lean,lean,formalization_bridge,cut_down_closed_reachable; cutHasseBoundaryPackage,static_no_sorry_no_admit_no_axiom_build_pending,Uses graph-core LLC/cut theorem to construct conserved cut-boundary ledger on Hasse candidate past.
RA-OPEN-FRONTIER-NORMAL-FORM-001,Frontier/incidence normal form for actualization candidates,issue,ART-SEL-NOTE-HasseFrontierProgramme,RA_HasseFrontier_Programme_Apr29_2026.md,md,formalization_notes,full note,generated_reviewed,Explains T8 Hasse-frontier/downset derivation step.
RA-OPEN-FRONTIER-NORMAL-FORM-001,Frontier/incidence normal form for actualization candidates,issue,ART-SEL-REPORT-HasseFrontierFirstFormalization,RA_HasseFrontier_First_Formalization_Report_Apr29_2026.md,md,formalization_report,full report,generated_reviewed,Summarizes first Hasse-frontier formalization scope and limitations.
