paper,line,tag,snippet
P1,114,legacy-target,Relational Actualism (RA) is a foundational physics framework built on a single ontological commitment: that irreversible actualization events---interactions writing permanent vertices into a growing causal directed acyc
P1,114,quantum-state-language,Relational Actualism (RA) is a foundational physics framework built on a single ontological commitment: that irreversible actualization events---interactions writing permanent vertices into a growing causal directed acyc
P1,122,bridge-language,\item \textbf{Translation claims} relating discrete statements to familiar continuum formulations;
P1,125,bridge-language,"The aim of this paper is to establish the kernel of the framework, not to complete the particle, gravitational, or complexity programmes in full. The discrete statement is primary; the continuum statement is its translat"
P1,131,bridge-language,"\item \textbf{This paper provides:} the bimodal ontology, the seven axioms, the finite growth rule, the BDG kernel structure, and the basic discrete-to-continuum translation framework."
P1,143,bridge-language,"Modern physics is spectacularly successful at prediction and embarrassingly incomplete at explanation. Two problems sit at its core. The first is ontological: quantum mechanics describes superpositions and probabilities,"
P1,145,quantum-state-language,Relational Actualism proposes that both problems trace to a single omission: physics lacks a primitive account of \emph{when events become real}. The framework supplies one. An actualization event is an irreversible phys
P1,191,bridge-language,"Every physically realized universe-state $U_n=(G_n,\Pot(G_n))$ has finite actual graph~$G_n$. All physically realized counts---vertices, links, boundary sets, admissible extensions---are finite. Infinite structures may b"
P1,195,bridge-language,Axiom~\ref{ax:finite} is not an add-on. It is the explicit statement of the discrete-first methodology already built into the finite-step growth rule. Its function is to separate ontology from approximation: completed in
P1,230,bridge-language,"where $N_k(v)$ counts elements of $C$ at depth $k$ in the causal past of $v$, and the coefficients $c_k$ are determined uniquely by the requirement that $S$ reproduces the scalar curvature of a $d$-dimensional Lorentzian"
P1,249,bridge-language,The first sum includes the birth coefficient $c_0=1$ and does not vanish. The second sum excludes the birth term and is exactly the identity verified in Lean as \texttt{second\_order} in \texttt{RA\_O14\_Uniqueness.lean}
P1,275,bridge-language,"This is the \emph{Engine of Becoming}: the five-step process (propose, score, filter, select, actualize) by which the graph grows. It is the single dynamical law of RA. Everything else---quantum mechanics, general relati"
P1,331,quantum-state-language,"The physical significance: at high density (approaching gravitational collapse), the filter saturates. Every candidate extension is admissible. The distinction between potentia and actuality---as mediated by the BDG filt"
P1,377,bridge-language,"In the continuum AQFT limit, the BDG score maps to the quantum relative entropy with respect to the vacuum. Level 2's Poisson-CSG threshold $\mu = 1$ translates to a threshold in relative entropy:"
P1,384,quantum-state-language,\subsection{Level 4 (Operational): on-shell condition}
