src,dst,kind,src_node_type,dst_node_type,src_name,dst_name
RA-MOTIF-ORIENTATION-LINK-SURFACE-001,RA-MOTIF-NATIVE-CERT-COMPONENTS-001,proof_dependency,claim,claim,Distinct orientation-link surfaces refine generic orientation component evidence,Native certificate-component contexts refine native-overlap certified-family readiness
RA-SIM-ORIENTATION-LINK-SURFACE-001,RA-SIM-NATIVE-CERT-ANCHOR-001,proof_dependency,claim,claim,v1.2 demonstrates that a decoupled orientation-link surface restores orientation specificity in the v1.1 audit,v1.0 packages native certificate-overlap components into an anchoring profile
RA-SIM-ORIENTATION-LINK-SURFACE-001,RA-SIM-NATIVE-COMPONENT-DECOUPLE-001,proof_dependency,claim,claim,v1.2 demonstrates that a decoupled orientation-link surface restores orientation specificity in the v1.1 audit,Native component decoupling audit detects orientation/support/frontier confounding
RA-SIM-ORIENTATION-LINK-SURFACE-001,RA-SIM-NATIVE-COMPONENT-DECOUPLE-002,proof_dependency,claim,claim,v1.2 demonstrates that a decoupled orientation-link surface restores orientation specificity in the v1.1 audit,Ledger attribution is separated while orientation attribution remains joint-proxy in v1.1
RA-SIM-ORIENTATION-LINK-SURFACE-001,RA-MOTIF-ORIENTATION-LINK-SURFACE-001,proof_dependency,claim,claim,v1.2 demonstrates that a decoupled orientation-link surface restores orientation specificity in the v1.1 audit,Distinct orientation-link surfaces refine generic orientation component evidence
RA-SIM-ORIENTATION-LINK-SURFACE-METHOD-001,RA-METHOD-001,interpretive_dependency,framing,framing,"Orientation-specific rescue claims require a real orientation-link surface, not a synthesized one",RA framing discipline
RA-SIM-ORIENTATION-LINK-SURFACE-METHOD-001,RA-METHOD-002,interpretive_dependency,framing,framing,"Orientation-specific rescue claims require a real orientation-link surface, not a synthesized one",RA Nature-target discipline
RA-SIM-ORIENTATION-LINK-SURFACE-METHOD-001,RA-SIM-NATIVE-CERT-OVERLAP-METHOD-001,interpretive_dependency,framing,framing,"Orientation-specific rescue claims require a real orientation-link surface, not a synthesized one","Native certificate overlap is an operational bridge, not a final law"
RA-SIM-ORIENTATION-LINK-SURFACE-METHOD-001,RA-SIM-NATIVE-CERT-ROBUST-METHOD-001,interpretive_dependency,framing,framing,"Orientation-specific rescue claims require a real orientation-link surface, not a synthesized one","Native overlap robustness analyses are diagnostic, not derived overlap laws"
RA-SIM-ORIENTATION-LINK-SURFACE-METHOD-001,RA-SIM-NATIVE-CERT-CALIB-METHOD-001,interpretive_dependency,framing,framing,"Orientation-specific rescue claims require a real orientation-link surface, not a synthesized one","Native-overlap calibration is diagnostic, not a final overlap law"
RA-SIM-ORIENTATION-LINK-SURFACE-METHOD-001,RA-SIM-NATIVE-CERT-ANCHOR-METHOD-001,interpretive_dependency,framing,framing,"Orientation-specific rescue claims require a real orientation-link surface, not a synthesized one",Native certificate anchoring is component-level and qualitative until BDG-LLC derivation
RA-SIM-ORIENTATION-LINK-SURFACE-METHOD-001,RA-SIM-NATIVE-COMPONENT-DECOUPLE-METHOD-001,interpretive_dependency,framing,framing,"Orientation-specific rescue claims require a real orientation-link surface, not a synthesized one",Do not overclaim component-specific attribution when overlap surfaces are confounded
