simulator_lesson,source_claim_id,track_a_module,formal_counterpart,what_is_not_formalized
v0.5.x severance signature classifications hold at 100-seed scale,RA-SIM-SEVERANCE-SIGNATURE-001,(none),simulator-only,Severance modes are simulator-side names; no Lean module formalizes per-mode structure.
v0.6 width-stratified channel-resolved separation,RA-SIM-SEVERANCE-CHANNEL-001,(none),simulator-only,Channel-distance metrics have no Lean counterpart.
v0.7 threshold-controlled support-family rescue (30-56% rescue for reachability/availability disruption),RA-SIM-SUPPORT-FAMILY-001,Layer 4 (and pre-existing RA-MOTIF-SUPPORT-FAMILY-001 upstream),"FamilyAugmentationRescueAt and FamilyInternalResilienceAt formalize the structural rescue event; numerical 30-56% rate is simulator-only.","Specific rescue rates by mode (edge_dropout 30-44%; frontier_dropout up to 56%); ledger/orientation 0% rescue rate."
v0.7.1 monotonicity audit: at_least_k and augmented_exact_k give 0 violations; exact_k gives 9887 violations,RA-SIM-SUPPORT-FAMILY-MONO-001,Layer 4,"FamilyStrictlyAugments / FamilyIncomparable separation (one-way inclusion vs replacement regime). The 9887 cohort-specific violation count is not lifted to Lean.","9887 violations, violation_rate 0.103, exact_k x cut_level x ledger/orientation cohort-specific pattern."
v0.7.2 metric-repair: strict_rescue undercounts family_internal_resilience by ~2.76x,RA-SIM-SUPPORT-FAMILY-METRIC-001,Layer 1,"DAGStrictParentRescueAt vs DAGFamilyInternalResilienceAt as Type-valued separation; the categorical distinction is the formal counterpart.","2.76x ratio, 5% mean apples-to-apples loss delta."
v0.8 4M-eval certification-family rescue: parent_shared rescue=0; independent_member rescue positive in cert modes,RA-SIM-CERT-FAMILY-001,Layer 1 + Layer 2,"FamilyInternalResilienceAt (Layer 1) for the existence claim; CertificateFateContext (Layer 2) for the structural vocabulary.","Numerical 0.221 -> 0.176 -> 0.121 -> 0.091 -> 0.000 decay table; AUC values."
v0.8.1 certificate-correlation decay: 61/64 strictly non-increasing; rescue->0 at correlation=1 universal,RA-SIM-CERT-CORRELATION-001,Layer 2,"DAGSharedFateFamily.cert_equiv and DAGSharedFateFamily.certifies_iff_parent encode the structural endpoint (rescue->0 at correlation=1 = full collapse to parent's certification).","Monotone decay shape, AUC 0.044-0.050, endpoint-equivalence partial result (32/80 within 1e-9)."
v0.9 native-overlap signature: rescue 0.218 -> 0.138 -> 0.001 across low/medium/high bins,RA-SIM-NATIVE-CERT-OVERLAP-001,Layer 3,"DAGNativeOverlapFateBridge with coupled_of_nativeOverlap and memberDistinct_of_lowOverlap; sharedFate_of_highEndpoint formal payoff theorem.","Numerical bin trend; weight-profile robustness; external-correlation calibration."
v0.9.1 weight-profile robustness: ablation_monotone_pass_rate=1.0,RA-SIM-NATIVE-CERT-ROBUST-001,(none),simulator-only,Weight-sensitivity audit machinery has no Lean counterpart.
v0.9.2 external-correlation calibration: native curves uniformly steeper,RA-SIM-NATIVE-CERT-CALIB-001,(none),simulator-only,Calibration regime classification has no Lean counterpart.
v1.0 component-anchored proxy with explicit honest caveat,RA-SIM-NATIVE-CERT-ANCHOR-001,Layer 3 indirectly,"DAGNativeCertificateOverlapContext (upstream of Layer 3) encodes the component vocabulary; the v1.0 numerical means are simulator-only.","Mean values 0.857/0.839 (ledger), 0.742/0.710 (joint support/frontier/orientation triplet)."
v1.1 component decoupling audit: orientation_confounded_with_support_frontier,RA-SIM-NATIVE-COMPONENT-DECOUPLE-001,(none),simulator-only,Audit verdict is a simulator-side diagnostic; not lifted.
v1.6 matched-graph extraction methodology (rescue + orientation_overlap from same DAG per trial),RA-SIM-GRAPH-COUPLED-ORIENT-001,(none),simulator-only,Pipeline property; no Lean counterpart.
v1.5..v1.8.1 orientation-specific rescue chain,RA-SIM-ORIENT-KEYING-001;RA-SIM-CONFOUND-V18-1-001;RA-SIM-CONFOUND-V18-1-PACKET-001,(excluded by discipline),Track A explicitly excludes orientation-specific rescue per RA-MOTIF-CERT-RESILIENCE-CONSOL-METHOD-001,Per the v1.9 retraction; no Lean target until the six v1.9 native-witness requirements are satisfied.
augmentation vs replacement support-family distinction (Track A.2 conceptual gain),(none / synthesizes the v0.7.1 finding),Layer 4,"FamilyStrictlyAugments / FamilyIncomparable / CertifiedFamilyAugments / mono_certified_augmentation / FamilyAugmentationRescueAt",Numerical augmentation gain rates.
v0.7.2 apples-to-apples comparison criterion (comparison_valid_rate=0.982; metric_artifact_risk_rate=0.0145; SF-006/SF-007 cohort rejection),RA-SIM-SUPPORT-FAMILY-METRIC-001,Layer 5,"ValidFamilyComparison (targetingAligned + exposureAligned + FamilyComparable + CertificateAgreementOnOverlap); ValidAugmentationComparison; ReplacementComparisonDomain. The targetingAligned/exposureAligned conjuncts are abstract Prop slots; the simulator-side comparison_valid_rate plays the empirical role of those witnesses.","Numerical comparison_valid_rate=0.982, metric_artifact_risk_rate=0.0145, the specific SF-006/SF-007 cohort rejection pattern (exact_k x cut_level x ledger/orientation, threshold<=0.5, width>=2)."
