src,dst,kind,src_node_type,dst_node_type,src_name,dst_name
RA-MOTIF-CONCRETE-GRAPH-ORIENT-WITNESS-001,RA-MOTIF-PER-GRAPH-ORIENT-WITNESS-001,proof_dependency,claim,claim,Concrete edge-pair-sign witness evidence refines per-graph orientation-link evidence,Per-graph orientation-link witness evidence refines native orientation catalog evidence
RA-MOTIF-CONCRETE-GRAPH-ORIENT-WITNESS-001,RA-MOTIF-NATIVE-ORIENT-LINK-001,proof_dependency,claim,claim,Concrete edge-pair-sign witness evidence refines per-graph orientation-link evidence,Native orientation catalog evidence refines orientation-link surface
RA-MOTIF-CONCRETE-GRAPH-ORIENT-WITNESS-001,RA-MOTIF-ORIENTATION-LINK-SURFACE-001,proof_dependency,claim,claim,Concrete edge-pair-sign witness evidence refines per-graph orientation-link evidence,Distinct orientation-link surfaces refine generic orientation component evidence
RA-MOTIF-CONCRETE-GRAPH-ORIENT-WITNESS-001,RA-MOTIF-NATIVE-CERT-COMPONENTS-001,proof_dependency,claim,claim,Concrete edge-pair-sign witness evidence refines per-graph orientation-link evidence,Native certificate-component contexts refine native-overlap certified-family readiness
RA-SIM-CONCRETE-GRAPH-ORIENT-001,RA-SIM-PER-GRAPH-ORIENT-WITNESS-001,proof_dependency,claim,claim,Concrete-graph orientation-link extraction yields topology-derived witnesses decoupled from support/frontier overlap,Per-graph orientation-link witness records can be extracted from simulator state contexts
RA-SIM-CONCRETE-GRAPH-ORIENT-001,RA-MOTIF-CONCRETE-GRAPH-ORIENT-WITNESS-001,proof_dependency,claim,claim,Concrete-graph orientation-link extraction yields topology-derived witnesses decoupled from support/frontier overlap,Concrete edge-pair-sign witness evidence refines per-graph orientation-link evidence
RA-SIM-CONCRETE-GRAPH-ORIENT-002,RA-SIM-CONCRETE-GRAPH-ORIENT-001,proof_dependency,claim,claim,Concrete-graph orientation-link surface preserves orientation specificity verdicts under matched support/frontier control,Concrete-graph orientation-link extraction yields topology-derived witnesses decoupled from support/frontier overlap
RA-SIM-CONCRETE-GRAPH-ORIENT-002,RA-SIM-PER-GRAPH-ORIENT-WITNESS-002,proof_dependency,claim,claim,Concrete-graph orientation-link surface preserves orientation specificity verdicts under matched support/frontier control,Per-graph orientation-link witness overlap separates orientation diagnostics from support-frontier overlap
RA-SIM-CONCRETE-GRAPH-ORIENT-METHOD-001,RA-METHOD-001,interpretive_dependency,framing,framing,Concrete-graph orientation extraction is reference-corpus-derived until tied to v0.9 simulator graphs,RA framing discipline
RA-SIM-CONCRETE-GRAPH-ORIENT-METHOD-001,RA-METHOD-002,interpretive_dependency,framing,framing,Concrete-graph orientation extraction is reference-corpus-derived until tied to v0.9 simulator graphs,RA Nature-target discipline
RA-SIM-CONCRETE-GRAPH-ORIENT-METHOD-001,RA-SIM-NATIVE-CERT-OVERLAP-METHOD-001,interpretive_dependency,framing,framing,Concrete-graph orientation extraction is reference-corpus-derived until tied to v0.9 simulator graphs,"Native certificate overlap is an operational bridge, not a final law"
RA-SIM-CONCRETE-GRAPH-ORIENT-METHOD-001,RA-SIM-NATIVE-CERT-CALIB-METHOD-001,interpretive_dependency,framing,framing,Concrete-graph orientation extraction is reference-corpus-derived until tied to v0.9 simulator graphs,"Native-overlap calibration is diagnostic, not a final overlap law"
RA-SIM-CONCRETE-GRAPH-ORIENT-METHOD-001,RA-SIM-NATIVE-CERT-ANCHOR-METHOD-001,interpretive_dependency,framing,framing,Concrete-graph orientation extraction is reference-corpus-derived until tied to v0.9 simulator graphs,Native certificate anchoring is component-level and qualitative until BDG-LLC derivation
RA-SIM-CONCRETE-GRAPH-ORIENT-METHOD-001,RA-SIM-NATIVE-COMPONENT-DECOUPLE-METHOD-001,interpretive_dependency,framing,framing,Concrete-graph orientation extraction is reference-corpus-derived until tied to v0.9 simulator graphs,Do not overclaim component-specific attribution when overlap surfaces are confounded
RA-SIM-CONCRETE-GRAPH-ORIENT-METHOD-001,RA-SIM-ORIENTATION-LINK-SURFACE-METHOD-001,interpretive_dependency,framing,framing,Concrete-graph orientation extraction is reference-corpus-derived until tied to v0.9 simulator graphs,"Orientation-specific rescue claims require a real orientation-link surface, not a synthesized one"
RA-SIM-CONCRETE-GRAPH-ORIENT-METHOD-001,RA-SIM-NATIVE-ORIENT-LINK-METHOD-001,interpretive_dependency,framing,framing,Concrete-graph orientation extraction is reference-corpus-derived until tied to v0.9 simulator graphs,"Native orientation catalog surfaces are intermediate, not final native orientation laws"
RA-SIM-CONCRETE-GRAPH-ORIENT-METHOD-001,RA-SIM-PER-GRAPH-ORIENT-WITNESS-METHOD-001,interpretive_dependency,framing,framing,Concrete-graph orientation extraction is reference-corpus-derived until tied to v0.9 simulator graphs,Per-graph orientation-link witness extraction is operational until tied to concrete native graph witnesses
