claim_id,claim_name,claim_node_type,artifact_id,filename,artifact_type,relation,source_span,verification_status,notes,node_type,type
RA-MOTIF-SUPPORT-FAMILY-MONO-001,Support-family inclusion is an RA-native augmentation relation,claim,ART-SUPPORT-FAMILY-MONO-LEAN-v0-7-1,RA_MotifSupportFamilyMonotonicity.lean,lean,formal_anchor,,source_level_pending_compile,v0.7.1 support-family monotonicity packet proposal,claim,formal_anchor
RA-MOTIF-SUPPORT-FAMILY-MONO-001,Support-family inclusion is an RA-native augmentation relation,claim,ART-SUPPORT-FAMILY-MONO-REPORT-v0-7-1,RA_CausalDAG_MotifCommitSimulator_v0_7_1_SupportFamilyMonotonicity_Report_May05_2026.md,md,formal_bridge_report,,packet_local,v0.7.1 support-family monotonicity packet proposal,claim,formal_bridge_report
RA-MOTIF-SUPPORT-FAMILY-MONO-001,Support-family inclusion is an RA-native augmentation relation,claim,ART-SUPPORT-FAMILY-MONO-BRIDGE-v0-7-1,simulator_to_lean_support_family_monotonicity_v0_7_1.md,md,bridge_mapping,,packet_local,v0.7.1 support-family monotonicity packet proposal,claim,bridge_mapping
RA-MOTIF-SUPPORT-FAMILY-MONO-001,Support-family inclusion is an RA-native augmentation relation,claim,ART-SUPPORT-FAMILY-MONO-AUDIT-v0-7-1,source_audit_RA_CausalDAG_MotifCommitSimulator_v0_7_1_May05_2026.log,log,source_audit,,packet_local,v0.7.1 support-family monotonicity packet proposal,claim,source_audit
RA-MOTIF-SUPPORT-FAMILY-MONO-002,Any-cut support-family readiness is monotone under family inclusion,claim,ART-SUPPORT-FAMILY-MONO-LEAN-v0-7-1,RA_MotifSupportFamilyMonotonicity.lean,lean,formal_anchor,,source_level_pending_compile,v0.7.1 support-family monotonicity packet proposal,claim,formal_anchor
RA-MOTIF-SUPPORT-FAMILY-MONO-002,Any-cut support-family readiness is monotone under family inclusion,claim,ART-SUPPORT-FAMILY-MONO-REPORT-v0-7-1,RA_CausalDAG_MotifCommitSimulator_v0_7_1_SupportFamilyMonotonicity_Report_May05_2026.md,md,formal_bridge_report,,packet_local,v0.7.1 support-family monotonicity packet proposal,claim,formal_bridge_report
RA-MOTIF-SUPPORT-FAMILY-MONO-002,Any-cut support-family readiness is monotone under family inclusion,claim,ART-SUPPORT-FAMILY-MONO-BRIDGE-v0-7-1,simulator_to_lean_support_family_monotonicity_v0_7_1.md,md,bridge_mapping,,packet_local,v0.7.1 support-family monotonicity packet proposal,claim,bridge_mapping
RA-MOTIF-SUPPORT-FAMILY-MONO-002,Any-cut support-family readiness is monotone under family inclusion,claim,ART-SUPPORT-FAMILY-MONO-AUDIT-v0-7-1,source_audit_RA_CausalDAG_MotifCommitSimulator_v0_7_1_May05_2026.log,log,source_audit,,packet_local,v0.7.1 support-family monotonicity packet proposal,claim,source_audit
RA-SIM-SUPPORT-FAMILY-MONO-001,Exact-k support families are replacement semantics and can violate no-worse behavior,claim,ART-SUPPORT-FAMILY-MONO-SIM-v0-7-1,ra_causal_dag_support_family_monotonicity.py,py,simulation_source,,validated,v0.7.1 support-family monotonicity packet proposal,claim,simulation_source
RA-SIM-SUPPORT-FAMILY-MONO-001,Exact-k support families are replacement semantics and can violate no-worse behavior,claim,ART-SUPPORT-FAMILY-MONO-TESTS-v0-7-1,test_v0_7_1_support_family_monotonicity.py,py,test_suite,,validated,v0.7.1 support-family monotonicity packet proposal,claim,test_suite
RA-SIM-SUPPORT-FAMILY-MONO-001,Exact-k support families are replacement semantics and can violate no-worse behavior,claim,ART-SUPPORT-FAMILY-MONO-VALIDATION-v0-7-1,validation_unittest_v0_7_1.log,log,validation_log,,validated,v0.7.1 support-family monotonicity packet proposal,claim,validation_log
RA-SIM-SUPPORT-FAMILY-MONO-001,Exact-k support families are replacement semantics and can violate no-worse behavior,claim,ART-SUPPORT-FAMILY-MONO-REPORT-v0-7-1,RA_CausalDAG_MotifCommitSimulator_v0_7_1_SupportFamilyMonotonicity_Report_May05_2026.md,md,simulation_report,,packet_local,v0.7.1 support-family monotonicity packet proposal,claim,simulation_report
RA-SIM-SUPPORT-FAMILY-MONO-001,Exact-k support families are replacement semantics and can violate no-worse behavior,claim,ART-SUPPORT-FAMILY-MONO-PRED-v0-7-1,ra_support_family_monotonicity_predictions_v0_7_1.md,md,prediction_note,,packet_local,v0.7.1 support-family monotonicity packet proposal,claim,prediction_note
RA-SIM-SUPPORT-FAMILY-MONO-002,At-least-k and augmented-exact support families implement no-worse readiness augmentation in the packet-local audit,claim,ART-SUPPORT-FAMILY-MONO-SIM-v0-7-1,ra_causal_dag_support_family_monotonicity.py,py,simulation_source,,validated,v0.7.1 support-family monotonicity packet proposal,claim,simulation_source
RA-SIM-SUPPORT-FAMILY-MONO-002,At-least-k and augmented-exact support families implement no-worse readiness augmentation in the packet-local audit,claim,ART-SUPPORT-FAMILY-MONO-TESTS-v0-7-1,test_v0_7_1_support_family_monotonicity.py,py,test_suite,,validated,v0.7.1 support-family monotonicity packet proposal,claim,test_suite
RA-SIM-SUPPORT-FAMILY-MONO-002,At-least-k and augmented-exact support families implement no-worse readiness augmentation in the packet-local audit,claim,ART-SUPPORT-FAMILY-MONO-VALIDATION-v0-7-1,validation_unittest_v0_7_1.log,log,validation_log,,validated,v0.7.1 support-family monotonicity packet proposal,claim,validation_log
RA-SIM-SUPPORT-FAMILY-MONO-002,At-least-k and augmented-exact support families implement no-worse readiness augmentation in the packet-local audit,claim,ART-SUPPORT-FAMILY-MONO-REPORT-v0-7-1,RA_CausalDAG_MotifCommitSimulator_v0_7_1_SupportFamilyMonotonicity_Report_May05_2026.md,md,simulation_report,,packet_local,v0.7.1 support-family monotonicity packet proposal,claim,simulation_report
RA-SIM-SUPPORT-FAMILY-MONO-002,At-least-k and augmented-exact support families implement no-worse readiness augmentation in the packet-local audit,claim,ART-SUPPORT-FAMILY-MONO-PRED-v0-7-1,ra_support_family_monotonicity_predictions_v0_7_1.md,md,prediction_note,,packet_local,v0.7.1 support-family monotonicity packet proposal,claim,prediction_note
RA-SIM-SUPPORT-FAMILY-MONO-003,Parent-shared and cut-level certification regimes separate support-route redundancy from certification redundancy,claim,ART-SUPPORT-FAMILY-MONO-SIM-v0-7-1,ra_causal_dag_support_family_monotonicity.py,py,simulation_source,,validated,v0.7.1 support-family monotonicity packet proposal,claim,simulation_source
RA-SIM-SUPPORT-FAMILY-MONO-003,Parent-shared and cut-level certification regimes separate support-route redundancy from certification redundancy,claim,ART-SUPPORT-FAMILY-MONO-TESTS-v0-7-1,test_v0_7_1_support_family_monotonicity.py,py,test_suite,,validated,v0.7.1 support-family monotonicity packet proposal,claim,test_suite
RA-SIM-SUPPORT-FAMILY-MONO-003,Parent-shared and cut-level certification regimes separate support-route redundancy from certification redundancy,claim,ART-SUPPORT-FAMILY-MONO-VALIDATION-v0-7-1,validation_unittest_v0_7_1.log,log,validation_log,,validated,v0.7.1 support-family monotonicity packet proposal,claim,validation_log
RA-SIM-SUPPORT-FAMILY-MONO-003,Parent-shared and cut-level certification regimes separate support-route redundancy from certification redundancy,claim,ART-SUPPORT-FAMILY-MONO-REPORT-v0-7-1,RA_CausalDAG_MotifCommitSimulator_v0_7_1_SupportFamilyMonotonicity_Report_May05_2026.md,md,simulation_report,,packet_local,v0.7.1 support-family monotonicity packet proposal,claim,simulation_report
RA-SIM-SUPPORT-FAMILY-MONO-003,Parent-shared and cut-level certification regimes separate support-route redundancy from certification redundancy,claim,ART-SUPPORT-FAMILY-MONO-PRED-v0-7-1,ra_support_family_monotonicity_predictions_v0_7_1.md,md,prediction_note,,packet_local,v0.7.1 support-family monotonicity packet proposal,claim,prediction_note
RA-SIM-SUPPORT-FAMILY-MONO-001,Exact-k support families are replacement semantics and can violate no-worse behavior,claim,ART-SUPPORT-FAMILY-MONO-NOWORSE-v0-7-1,ra_support_family_no_worse_audit_v0_7_1.csv,csv,simulation_output,,packet_local,v0.7.1 support-family monotonicity packet proposal,claim,simulation_output
