claim_id,claim_name,claim_node_type,artifact_id,filename,artifact_type,relation,source_span,verification_status,notes,node_type,type
RA-MOTIF-SUPPORT-FAMILY-001,Support-cut families separate alternative support from single-cut width,claim,ART-SUPPORT-FAMILY-LEAN-v0_7,RA_MotifSupportFamilyBridge.lean,lean,formal_anchor,,packet_local,v0.7 support-family proposal edge,claim,claim_artifact_edge
RA-MOTIF-SUPPORT-FAMILY-001,Support-cut families separate alternative support from single-cut width,claim,ART-SUPPORT-FAMILY-REPORT-v0_7,RA_CausalDAG_MotifCommitSimulator_v0_7_SupportFamilyRedundancy_Report_May05_2026.md,md,supports,,packet_local,v0.7 support-family proposal edge,claim,claim_artifact_edge
RA-MOTIF-SUPPORT-FAMILY-002,Singleton support families recover single-cut readiness,claim,ART-SUPPORT-FAMILY-LEAN-v0_7,RA_MotifSupportFamilyBridge.lean,lean,formal_anchor,,packet_local,v0.7 support-family proposal edge,claim,claim_artifact_edge
RA-SIM-SUPPORT-FAMILY-001,v0.7 threshold support families operationalize genuine redundancy,claim,ART-SUPPORT-FAMILY-SIM-v0_7,ra_causal_dag_support_family_workbench.py,py,supports,,packet_local,v0.7 support-family proposal edge,claim,claim_artifact_edge
RA-SIM-SUPPORT-FAMILY-001,v0.7 threshold support families operationalize genuine redundancy,claim,ART-SUPPORT-FAMILY-TESTS-v0_7,test_v0_7_support_family.py,py,supports,,packet_local,v0.7 support-family proposal edge,claim,claim_artifact_edge
RA-SIM-SUPPORT-FAMILY-001,v0.7 threshold support families operationalize genuine redundancy,claim,ART-SUPPORT-FAMILY-VALIDATION-v0_7,validation_unittest_v0_7.log,log,supports,,packet_local,v0.7 support-family proposal edge,claim,claim_artifact_edge
RA-SIM-SUPPORT-FAMILY-002,Support-family rescue is distinct from selector-stress resolution,claim,ART-SUPPORT-FAMILY-SIM-v0_7,ra_causal_dag_support_family_workbench.py,py,supports,,packet_local,v0.7 support-family proposal edge,claim,claim_artifact_edge
RA-SIM-SUPPORT-FAMILY-002,Support-family rescue is distinct from selector-stress resolution,claim,ART-SUPPORT-FAMILY-TESTS-v0_7,test_v0_7_support_family.py,py,supports,,packet_local,v0.7 support-family proposal edge,claim,claim_artifact_edge
RA-SIM-SUPPORT-FAMILY-003,v0.7 distinguishes strict support-width exposure from support-family resilience,claim,ART-SUPPORT-FAMILY-COMPARISON-v0_7,ra_support_family_comparison_v0_7.csv,csv,supports,,packet_local,v0.7 support-family proposal edge,claim,claim_artifact_edge
RA-SIM-SUPPORT-FAMILY-003,v0.7 distinguishes strict support-width exposure from support-family resilience,claim,ART-SUPPORT-FAMILY-THRESHOLD-v0_7,ra_support_family_threshold_curves_v0_7.csv,csv,supports,,packet_local,v0.7 support-family proposal edge,claim,claim_artifact_edge
RA-SIM-SUPPORT-FAMILY-003,v0.7 distinguishes strict support-width exposure from support-family resilience,claim,ART-SUPPORT-FAMILY-WIDTH-v0_7,ra_support_family_resilience_by_width_v0_7.csv,csv,supports,,packet_local,v0.7 support-family proposal edge,claim,claim_artifact_edge
RA-SIM-SUPPORT-FAMILY-003,v0.7 distinguishes strict support-width exposure from support-family resilience,claim,ART-SUPPORT-FAMILY-PREDICTIONS-v0_7,ra_support_family_predictions_v0_7.md,md,supports,,packet_local,v0.7 support-family proposal edge,claim,claim_artifact_edge
RA-SIM-SUPPORT-FAMILY-METHOD-001,"Support-family redundancy is a simulator bridge, not a derived physical law",framing,ART-SUPPORT-FAMILY-README-v0_7,README_RA_CausalDAG_MotifCommitSimulator_v0_7_SupportFamilyRedundancy_May05_2026.md,md,supports,,packet_local,v0.7 support-family proposal edge,framing,claim_artifact_edge
RA-SIM-SUPPORT-FAMILY-METHOD-001,"Support-family redundancy is a simulator bridge, not a derived physical law",framing,ART-SUPPORT-FAMILY-AUDIT-v0_7,source_audit_RA_CausalDAG_MotifCommitSimulator_v0_7_May05_2026.log,log,source_audit,,packet_local,v0.7 support-family proposal edge,framing,claim_artifact_edge
