src,dst,kind,src_node_type,dst_node_type,src_name,dst_name
RA-SIM-NATIVE-CERT-CALIB-001,RA-SIM-NATIVE-CERT-OVERLAP-001,proof_dependency,claim,claim,Native-overlap family-semantics signal carriers can be audited independently of new simulator semantics,Native overlap can induce effective certificate correlation
RA-SIM-NATIVE-CERT-CALIB-001,RA-SIM-NATIVE-CERT-ROBUST-001,proof_dependency,claim,claim,Native-overlap family-semantics signal carriers can be audited independently of new simulator semantics,Native certificate-overlap rescue is robust under component-ablation analysis
RA-SIM-NATIVE-CERT-CALIB-002,RA-SIM-NATIVE-CERT-CALIB-001,proof_dependency,claim,claim,Native-overlap bins can be calibrated against external certificate-correlation baselines,Native-overlap family-semantics signal carriers can be audited independently of new simulator semantics
RA-SIM-NATIVE-CERT-CALIB-002,RA-SIM-CERT-CORRELATION-001,proof_dependency,claim,claim,Native-overlap bins can be calibrated against external certificate-correlation baselines,Certification rescue decays with certificate correlation
RA-SIM-NATIVE-CERT-CALIB-002,RA-SIM-NATIVE-CERT-OVERLAP-002,proof_dependency,claim,claim,Native-overlap bins can be calibrated against external certificate-correlation baselines,Certification rescue decreases with native witness overlap
RA-SIM-NATIVE-CERT-CALIB-003,RA-SIM-NATIVE-CERT-CALIB-001,proof_dependency,claim,claim,v0.9.2 identifies candidate support-family semantics for v1.0 native-certificate anchoring,Native-overlap family-semantics signal carriers can be audited independently of new simulator semantics
RA-SIM-NATIVE-CERT-CALIB-003,RA-SIM-NATIVE-CERT-CALIB-002,proof_dependency,claim,claim,v0.9.2 identifies candidate support-family semantics for v1.0 native-certificate anchoring,Native-overlap bins can be calibrated against external certificate-correlation baselines
RA-SIM-NATIVE-CERT-CALIB-003,RA-SIM-NATIVE-CERT-ROBUST-003,proof_dependency,claim,claim,v0.9.2 identifies candidate support-family semantics for v1.0 native-certificate anchoring,Native overlap component attribution identifies signal-carrying witness components
RA-SIM-NATIVE-CERT-CALIB-METHOD-001,RA-METHOD-001,interpretive_dependency,framing,framing,"Native-overlap calibration is diagnostic, not a final overlap law",RA framing discipline
RA-SIM-NATIVE-CERT-CALIB-METHOD-001,RA-METHOD-002,interpretive_dependency,framing,framing,"Native-overlap calibration is diagnostic, not a final overlap law",RA Nature-target discipline
RA-SIM-NATIVE-CERT-CALIB-METHOD-001,RA-SIM-CERT-CORRELATION-METHOD-001,interpretive_dependency,framing,framing,"Native-overlap calibration is diagnostic, not a final overlap law",Certificate-correlation analyses are operational diagnostics
RA-SIM-NATIVE-CERT-CALIB-METHOD-001,RA-SIM-NATIVE-CERT-OVERLAP-METHOD-001,interpretive_dependency,framing,framing,"Native-overlap calibration is diagnostic, not a final overlap law","Native certificate overlap is an operational bridge, not a final law"
RA-SIM-NATIVE-CERT-CALIB-METHOD-001,RA-SIM-NATIVE-CERT-ROBUST-METHOD-001,interpretive_dependency,framing,framing,"Native-overlap calibration is diagnostic, not a final overlap law","Native overlap robustness analyses are diagnostic, not derived overlap laws"
