candidate_id,title,source_artifact,current_status,proposed_kind,proposed_domain,summary,promotion_condition,family,candidate_statement,source_artifacts,recommended_status,next_action
RA-MATTER-HADRON-TRIAD-001,HadronTriad structural ledger and 2/3 mass-bound ratio,src/RA_AQFT/RA_D2_HadronMassTriad.lean,user_reported_lake_build_confirmed_no_sorry_updated_lakefile_pending_fresh_log,claim,matter,Defines HadronTriad as three persistent 4-chains plus a strong-gauge binding motif and proves the triad ledger ratio 2/3 via scaled_kval_ratio_two_thirds.,Archive a fresh lake_build log after adding RA_D2_HadronMassTriad to roots; map to Paper II; then add as a typed claim or leave as restoration candidate if it only supports a target.,,,,,
RA-O14-RICH-001,Rich O14 uniqueness core source,src/RA_AQFT/RA_O14_Uniqueness_Core_draft.lean,lean_build_confirmed_transitive_import_but_duplicate_hazard,legacy_or_canonical_choice,arithmetic,"Contains Yeats moments, Boolean-lattice choose values, d=4 binomial inversion, BDG action vector, second-order identity, and cross-dimensional arithmetic checks; duplicates declarations in RA_O14_ArithmeticCore_v1.",Choose canonical O14 module. Either namespace this draft or change RA_BDG_Coefficient_Arithmetic to import RA_O14_ArithmeticCore_v1 and demote this file to rich provenance.,,,,,
RA-BERRY-HOLONOMY-001,,,,,,,,berry_phase_gauge_holonomy,BDG sector-transfer structure generates discrete Berry/holonomy curvature and a possible sector-count gauge hierarchy.,ART-PY-berry_derive_f;ART-PY-berry_thinning;ART-PY-berry_final;ART-PY-berry_gauge,restoration_candidate_bridge_and_native_subclaims,Separate native Poisson-thinning transfer theorem from bridge/gauge-identification claims; map to canonical Paper II only as caveated frontier.
RA-BORN-KSNAP-001,,,,,,,,born_rule_measurement,Born rule arises from local QFT exchange-rate / Kinematic Snap competition.,ART-PY-born_rule_derivation,framing_or_non_target_bridge_only,"Do not promote to proof graph; if retained, place under framing/non-target or bridge appendix."
RA-AQFT-CASIMIR-RINDLER-001,,,,,,,,aqft_bridge,Casimir/Unruh/Rindler checks provide bridge benchmarks for stationarity and relative-entropy actualization criteria.,ART-PY-casimir_benchmark;ART-PY-rindler_relative_entropy,bridge_cartography,Keep outside active proof graph until formal modular-algebra proof exists.
RA-COSMO-EARLY-BH-001,,,,,,,,cosmology_phenomenology,Density-severance mechanism may accelerate early black-hole seed formation.,ART-PY-ra_early_bh,phenomenology_restoration_candidate,Require canonical TeX claim and observational-data provenance before adding target.
RA-COMP-DFT-F1-001,,,,,,,,complexity_life_thermo,DFT survey of biomolecular joins supports physical actualization-event energy ledger for assembly joins.,ART-PY-actualization_thermo;ART-PY-thermo_batch_b3lyp,blocked_missing_dependency,Add reproducible PySCF/RDKit environment and archived successful output; do not use as support yet.
RA-MATTER-NEFF-001,,,,,,,,matter_proton_scale,N_eff=64 may arise from L_q^3 or effective depth-space lattice volume; current evidence is diagnostic and caveated.,ART-PY-n_eff_mc_test;ART-PY-n_eff_factorization;ART-PY-n_eff_alternative,restoration_candidate_caveated,Decide whether N_eff remains in Paper II as CN/PI rather than DR.
RA-MATTER-SIGMA-FILTER-001,,,,,,,,matter_decay_scattering,σ-label/pathwise-exit filters produce resonance selection-rule hierarchy for decay/lifetime patterns.,ART-PY-sigma_analysis;ART-PY-sigma_table;ART-PY-pathwise_exit;ART-PY-rho_native,candidate_support_for_open_decay_program,Keep under RA-OPEN-002 until explicit native daughter-state enumeration replaces empirical classifications.
RA-KIN-BANDWIDTH-001,Propagation ceiling as graph bandwidth ratio,Paper I § finite propagation / historical D48,present_in_canonical_tex_not_registry,claim_candidate,kinematics,c = ℓP/tP is the maximum causal bandwidth of the finite growth graph; light-speed comparison is downstream.,Decide whether to promote to claims.yaml as derived_native or keep as kinematic restoration candidate.,,,,stageC_review_candidate,Decide whether to promote to claims.yaml as derived_native or keep as kinematic restoration candidate.
