src,dst,kind,src_node_type,dst_node_type,src_name,dst_name
RA-MOTIF-SUPPORT-FAMILY-MONO-001,RA-MOTIF-SUPPORT-FAMILY-001,proof_dependency,claim,claim,Support-family inclusion is an RA-native augmentation relation,RA-MOTIF-SUPPORT-FAMILY-001
RA-MOTIF-SUPPORT-FAMILY-MONO-001,RA-MOTIF-SUPPORT-FAMILY-002,proof_dependency,claim,claim,Support-family inclusion is an RA-native augmentation relation,RA-MOTIF-SUPPORT-FAMILY-002
RA-MOTIF-SUPPORT-FAMILY-MONO-002,RA-MOTIF-SUPPORT-FAMILY-MONO-001,proof_dependency,claim,claim,Any-cut support-family readiness is monotone under family inclusion,Support-family inclusion is an RA-native augmentation relation
RA-MOTIF-SUPPORT-FAMILY-MONO-002,RA-MOTIF-SUPPORT-FAMILY-002,proof_dependency,claim,claim,Any-cut support-family readiness is monotone under family inclusion,RA-MOTIF-SUPPORT-FAMILY-002
RA-SIM-SUPPORT-FAMILY-MONO-001,RA-MOTIF-SUPPORT-FAMILY-MONO-001,proof_dependency,claim,claim,Exact-k support families are replacement semantics and can violate no-worse behavior,Support-family inclusion is an RA-native augmentation relation
RA-SIM-SUPPORT-FAMILY-MONO-001,RA-SIM-SUPPORT-FAMILY-001,proof_dependency,claim,claim,Exact-k support families are replacement semantics and can violate no-worse behavior,RA-SIM-SUPPORT-FAMILY-001
RA-SIM-SUPPORT-FAMILY-MONO-002,RA-MOTIF-SUPPORT-FAMILY-MONO-002,proof_dependency,claim,claim,At-least-k and augmented-exact support families implement no-worse readiness augmentation in the packet-local audit,Any-cut support-family readiness is monotone under family inclusion
RA-SIM-SUPPORT-FAMILY-MONO-002,RA-SIM-SUPPORT-FAMILY-MONO-001,proof_dependency,claim,claim,At-least-k and augmented-exact support families implement no-worse readiness augmentation in the packet-local audit,Exact-k support families are replacement semantics and can violate no-worse behavior
RA-SIM-SUPPORT-FAMILY-MONO-003,RA-MOTIF-SUPPORT-FAMILY-MONO-001,proof_dependency,claim,claim,Parent-shared and cut-level certification regimes separate support-route redundancy from certification redundancy,Support-family inclusion is an RA-native augmentation relation
RA-SIM-SUPPORT-FAMILY-MONO-003,RA-SIM-SUPPORT-FAMILY-003,proof_dependency,claim,claim,Parent-shared and cut-level certification regimes separate support-route redundancy from certification redundancy,RA-SIM-SUPPORT-FAMILY-003
