artifact_id,filename,type,status,artifact_role,supports_results,repo_relative_path,sha256,git_sha,path_observed,notes,migration_note,path,role
ART-SUPPORT-FAMILY-MONO-LEAN-v0-7-1,RA_MotifSupportFamilyMonotonicity.lean,lean,formalization_module,formal_source,RA-MOTIF-SUPPORT-FAMILY-MONO-001;RA-MOTIF-SUPPORT-FAMILY-MONO-002,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_7_1_SupportFamilyMonotonicity_May05_2026/lean/RA_MotifSupportFamilyMonotonicity.lean,eadf0171e8549e168197013a699b846b7772a7d98a719302a356acad6fb8d080,,/mnt/data/RA_CausalDAG_MotifCommitSimulator_v0_7_1_SupportFamilyMonotonicity_May05_2026/lean/RA_MotifSupportFamilyMonotonicity.lean,Packet-local v0.7.1 support-family monotonicity artifact. Recompute installed SHA after local edits/compile.,Apply manually under active RAKB v0.5 schema; no auto-apply script included.,RA_CausalDAG_MotifCommitSimulator_v0_7_1_SupportFamilyMonotonicity_May05_2026/lean/RA_MotifSupportFamilyMonotonicity.lean,formal_source
ART-SUPPORT-FAMILY-MONO-SIM-v0-7-1,ra_causal_dag_support_family_monotonicity.py,py,simulation_module,simulation_source,RA-SIM-SUPPORT-FAMILY-MONO-001;RA-SIM-SUPPORT-FAMILY-MONO-002;RA-SIM-SUPPORT-FAMILY-MONO-003,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_7_1_SupportFamilyMonotonicity_May05_2026/simulator/ra_causal_dag_support_family_monotonicity.py,0a0cf293a92e1eba7bba820410c7e217522f8a494c2bf33c5fc38267c28e22e2,,/mnt/data/RA_CausalDAG_MotifCommitSimulator_v0_7_1_SupportFamilyMonotonicity_May05_2026/simulator/ra_causal_dag_support_family_monotonicity.py,Packet-local v0.7.1 support-family monotonicity artifact. Recompute installed SHA after local edits/compile.,Apply manually under active RAKB v0.5 schema; no auto-apply script included.,RA_CausalDAG_MotifCommitSimulator_v0_7_1_SupportFamilyMonotonicity_May05_2026/simulator/ra_causal_dag_support_family_monotonicity.py,simulation_source
ART-SUPPORT-FAMILY-MONO-TESTS-v0-7-1,test_v0_7_1_support_family_monotonicity.py,py,validated,test_suite,RA-SIM-SUPPORT-FAMILY-MONO-001;RA-SIM-SUPPORT-FAMILY-MONO-002;RA-SIM-SUPPORT-FAMILY-MONO-003,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_7_1_SupportFamilyMonotonicity_May05_2026/tests/test_v0_7_1_support_family_monotonicity.py,cf01d9d14096ff4192a5306262002c34dd284b2f063869f2e112979578c0c0dd,,/mnt/data/RA_CausalDAG_MotifCommitSimulator_v0_7_1_SupportFamilyMonotonicity_May05_2026/tests/test_v0_7_1_support_family_monotonicity.py,Packet-local v0.7.1 support-family monotonicity artifact. Recompute installed SHA after local edits/compile.,Apply manually under active RAKB v0.5 schema; no auto-apply script included.,RA_CausalDAG_MotifCommitSimulator_v0_7_1_SupportFamilyMonotonicity_May05_2026/tests/test_v0_7_1_support_family_monotonicity.py,test_suite
ART-SUPPORT-FAMILY-MONO-REPORT-v0-7-1,RA_CausalDAG_MotifCommitSimulator_v0_7_1_SupportFamilyMonotonicity_Report_May05_2026.md,md,packet_local,formal_bridge_report,RA-MOTIF-SUPPORT-FAMILY-MONO-001;RA-MOTIF-SUPPORT-FAMILY-MONO-002;RA-SIM-SUPPORT-FAMILY-MONO-001;RA-SIM-SUPPORT-FAMILY-MONO-002;RA-SIM-SUPPORT-FAMILY-MONO-003,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_7_1_SupportFamilyMonotonicity_May05_2026/reports/RA_CausalDAG_MotifCommitSimulator_v0_7_1_SupportFamilyMonotonicity_Report_May05_2026.md,73f9af4ceebcb7808360493c1d1eca57770d91e86270870d1f415090cb5bbde7,,/mnt/data/RA_CausalDAG_MotifCommitSimulator_v0_7_1_SupportFamilyMonotonicity_May05_2026/reports/RA_CausalDAG_MotifCommitSimulator_v0_7_1_SupportFamilyMonotonicity_Report_May05_2026.md,Packet-local v0.7.1 support-family monotonicity artifact. Recompute installed SHA after local edits/compile.,Apply manually under active RAKB v0.5 schema; no auto-apply script included.,RA_CausalDAG_MotifCommitSimulator_v0_7_1_SupportFamilyMonotonicity_May05_2026/reports/RA_CausalDAG_MotifCommitSimulator_v0_7_1_SupportFamilyMonotonicity_Report_May05_2026.md,formal_bridge_report
ART-SUPPORT-FAMILY-MONO-BRIDGE-v0-7-1,simulator_to_lean_support_family_monotonicity_v0_7_1.md,md,packet_local,bridge_mapping,RA-MOTIF-SUPPORT-FAMILY-MONO-001;RA-MOTIF-SUPPORT-FAMILY-MONO-002,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_7_1_SupportFamilyMonotonicity_May05_2026/bridge/simulator_to_lean_support_family_monotonicity_v0_7_1.md,7b6aa6dde9254ce553d3fa1aba5dbeb4c65f221d1367036eb07941ef54eff754,,/mnt/data/RA_CausalDAG_MotifCommitSimulator_v0_7_1_SupportFamilyMonotonicity_May05_2026/bridge/simulator_to_lean_support_family_monotonicity_v0_7_1.md,Packet-local v0.7.1 support-family monotonicity artifact. Recompute installed SHA after local edits/compile.,Apply manually under active RAKB v0.5 schema; no auto-apply script included.,RA_CausalDAG_MotifCommitSimulator_v0_7_1_SupportFamilyMonotonicity_May05_2026/bridge/simulator_to_lean_support_family_monotonicity_v0_7_1.md,bridge_mapping
ART-SUPPORT-FAMILY-MONO-VALIDATION-v0-7-1,validation_unittest_v0_7_1.log,log,validated,validation_log,RA-SIM-SUPPORT-FAMILY-MONO-001;RA-SIM-SUPPORT-FAMILY-MONO-002;RA-SIM-SUPPORT-FAMILY-MONO-003,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_7_1_SupportFamilyMonotonicity_May05_2026/reports/validation_unittest_v0_7_1.log,d2db67b91f6447b0fb97317536398d04995570815657a63d6f5bb60ddee9260c,,/mnt/data/RA_CausalDAG_MotifCommitSimulator_v0_7_1_SupportFamilyMonotonicity_May05_2026/reports/validation_unittest_v0_7_1.log,Packet-local v0.7.1 support-family monotonicity artifact. Recompute installed SHA after local edits/compile.,Apply manually under active RAKB v0.5 schema; no auto-apply script included.,RA_CausalDAG_MotifCommitSimulator_v0_7_1_SupportFamilyMonotonicity_May05_2026/reports/validation_unittest_v0_7_1.log,validation_log
ART-SUPPORT-FAMILY-MONO-AUDIT-v0-7-1,source_audit_RA_CausalDAG_MotifCommitSimulator_v0_7_1_May05_2026.log,log,source_audited,source_audit,RA-MOTIF-SUPPORT-FAMILY-MONO-001;RA-MOTIF-SUPPORT-FAMILY-MONO-002;RA-SIM-SUPPORT-FAMILY-MONO-001;RA-SIM-SUPPORT-FAMILY-MONO-002;RA-SIM-SUPPORT-FAMILY-MONO-003,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_7_1_SupportFamilyMonotonicity_May05_2026/reports/source_audit_RA_CausalDAG_MotifCommitSimulator_v0_7_1_May05_2026.log,fa4ba9fa9a610028795404ced42fc50874b5198fd60a81ad0132395b1c3643c8,,/mnt/data/RA_CausalDAG_MotifCommitSimulator_v0_7_1_SupportFamilyMonotonicity_May05_2026/reports/source_audit_RA_CausalDAG_MotifCommitSimulator_v0_7_1_May05_2026.log,Packet-local v0.7.1 support-family monotonicity artifact. Recompute installed SHA after local edits/compile.,Apply manually under active RAKB v0.5 schema; no auto-apply script included.,RA_CausalDAG_MotifCommitSimulator_v0_7_1_SupportFamilyMonotonicity_May05_2026/reports/source_audit_RA_CausalDAG_MotifCommitSimulator_v0_7_1_May05_2026.log,source_audit
ART-SUPPORT-FAMILY-MONO-SUMMARY-v0-7-1,ra_support_family_monotonicity_summary_v0_7_1.csv,csv,packet_local,simulation_output,RA-SIM-SUPPORT-FAMILY-MONO-001;RA-SIM-SUPPORT-FAMILY-MONO-002;RA-SIM-SUPPORT-FAMILY-MONO-003,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_7_1_SupportFamilyMonotonicity_May05_2026/outputs/ra_support_family_monotonicity_summary_v0_7_1.csv,cd3632532ad1269aef162af0392efe4fc3ca66b9a58297db8ad7ff4e052dd33c,,/mnt/data/RA_CausalDAG_MotifCommitSimulator_v0_7_1_SupportFamilyMonotonicity_May05_2026/outputs/ra_support_family_monotonicity_summary_v0_7_1.csv,Packet-local v0.7.1 support-family monotonicity artifact. Recompute installed SHA after local edits/compile.,Apply manually under active RAKB v0.5 schema; no auto-apply script included.,RA_CausalDAG_MotifCommitSimulator_v0_7_1_SupportFamilyMonotonicity_May05_2026/outputs/ra_support_family_monotonicity_summary_v0_7_1.csv,simulation_output
ART-SUPPORT-FAMILY-MONO-COMPARISON-v0-7-1,ra_support_family_semantics_comparison_v0_7_1.csv,csv,packet_local,simulation_output,RA-SIM-SUPPORT-FAMILY-MONO-001;RA-SIM-SUPPORT-FAMILY-MONO-002;RA-SIM-SUPPORT-FAMILY-MONO-003,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_7_1_SupportFamilyMonotonicity_May05_2026/outputs/ra_support_family_semantics_comparison_v0_7_1.csv,fdaf9e8fdb0e494bc218664e05dd1a01304b8b9bf6fe1acdf9e6de7acbc2eaa1,,/mnt/data/RA_CausalDAG_MotifCommitSimulator_v0_7_1_SupportFamilyMonotonicity_May05_2026/outputs/ra_support_family_semantics_comparison_v0_7_1.csv,Packet-local v0.7.1 support-family monotonicity artifact. Recompute installed SHA after local edits/compile.,Apply manually under active RAKB v0.5 schema; no auto-apply script included.,RA_CausalDAG_MotifCommitSimulator_v0_7_1_SupportFamilyMonotonicity_May05_2026/outputs/ra_support_family_semantics_comparison_v0_7_1.csv,simulation_output
ART-SUPPORT-FAMILY-MONO-NOWORSE-v0-7-1,ra_support_family_no_worse_audit_v0_7_1.csv,csv,packet_local,simulation_output,RA-SIM-SUPPORT-FAMILY-MONO-001;RA-SIM-SUPPORT-FAMILY-MONO-002,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_7_1_SupportFamilyMonotonicity_May05_2026/outputs/ra_support_family_no_worse_audit_v0_7_1.csv,d6acf36ee2f05069c43eda1288d18f4bd9c3daa569df60e377a52a9447a440c2,,/mnt/data/RA_CausalDAG_MotifCommitSimulator_v0_7_1_SupportFamilyMonotonicity_May05_2026/outputs/ra_support_family_no_worse_audit_v0_7_1.csv,Packet-local v0.7.1 support-family monotonicity artifact. Recompute installed SHA after local edits/compile.,Apply manually under active RAKB v0.5 schema; no auto-apply script included.,RA_CausalDAG_MotifCommitSimulator_v0_7_1_SupportFamilyMonotonicity_May05_2026/outputs/ra_support_family_no_worse_audit_v0_7_1.csv,simulation_output
