artifact_id,filename,type,status,artifact_role,supports_results,repo_relative_path,sha256,git_sha,path_observed,notes,migration_note,path,role
ART-SIM-V06-PACKET-ZIP,RA_CausalDAG_MotifCommitSimulator_v0_6_ChannelResolvingRedundancy_May05_2026.zip,zip,proposed,packet_provenance,RA-SIM-SEVERANCE-CHANNEL-001;RA-SIM-SEVERANCE-CHANNEL-002;RA-SIM-SEVERANCE-CHANNEL-003;RA-SIM-SEVERANCE-CHANNEL-004,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_6_ChannelResolvingRedundancy_May05_2026/RA_CausalDAG_MotifCommitSimulator_v0_6_ChannelResolvingRedundancy_May05_2026.zip,pending_after_zip_creation,,/mnt/data/RA_CausalDAG_MotifCommitSimulator_v0_6_ChannelResolvingRedundancy_May05_2026.zip,v0.6 channel-resolving redundancy packet artifact,active_schema_v0_5_proposal,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_6_ChannelResolvingRedundancy_May05_2026/RA_CausalDAG_MotifCommitSimulator_v0_6_ChannelResolvingRedundancy_May05_2026.zip,packet_provenance
ART-SIM-V06-CHANNEL-WORKBENCH,ra_causal_dag_channel_workbench.py,python,proposed,formalization_module,RA-SIM-SEVERANCE-CHANNEL-001;RA-SIM-SEVERANCE-CHANNEL-002;RA-SIM-SEVERANCE-CHANNEL-003;RA-SIM-SEVERANCE-CHANNEL-004,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_6_ChannelResolvingRedundancy_May05_2026/simulator/ra_causal_dag_channel_workbench.py,2e021c1d0c50b86505c4dd81f7da81a3c96f1f655e0f24059f8004dc360fd991,,/mnt/data/RA_CausalDAG_MotifCommitSimulator_v0_6_ChannelResolvingRedundancy_May05_2026/simulator/ra_causal_dag_channel_workbench.py,v0.6 channel-resolving redundancy packet artifact,active_schema_v0_5_proposal,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_6_ChannelResolvingRedundancy_May05_2026/simulator/ra_causal_dag_channel_workbench.py,formalization_module
ART-SIM-V06-SIM-CORE,ra_causal_dag_simulator.py,python,proposed,formal_source,RA-SIM-SEVERANCE-CHANNEL-001;RA-SIM-SEVERANCE-CHANNEL-002;RA-SIM-SEVERANCE-CHANNEL-003;RA-SIM-SEVERANCE-CHANNEL-004,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_6_ChannelResolvingRedundancy_May05_2026/simulator/ra_causal_dag_simulator.py,8d20a756e1f17192e42aad58ae4b6a009411b51d109cfd93488f21f6cf2a3e00,,/mnt/data/RA_CausalDAG_MotifCommitSimulator_v0_6_ChannelResolvingRedundancy_May05_2026/simulator/ra_causal_dag_simulator.py,v0.6 channel-resolving redundancy packet artifact,active_schema_v0_5_proposal,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_6_ChannelResolvingRedundancy_May05_2026/simulator/ra_causal_dag_simulator.py,formal_source
ART-SIM-V06-TESTS,test_v0_6_channel_separation.py,python,proposed,source_audit,RA-SIM-SEVERANCE-CHANNEL-001;RA-SIM-SEVERANCE-CHANNEL-002;RA-SIM-SEVERANCE-CHANNEL-003;RA-SIM-SEVERANCE-CHANNEL-004,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_6_ChannelResolvingRedundancy_May05_2026/tests/test_v0_6_channel_separation.py,9afa135a7c2a76f607003b0d989f01736eb3e59cf0ac2eb9c82141427d837e63,,/mnt/data/RA_CausalDAG_MotifCommitSimulator_v0_6_ChannelResolvingRedundancy_May05_2026/tests/test_v0_6_channel_separation.py,v0.6 channel-resolving redundancy packet artifact,active_schema_v0_5_proposal,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_6_ChannelResolvingRedundancy_May05_2026/tests/test_v0_6_channel_separation.py,source_audit
ART-SIM-V06-RUN-SCRIPT,run_channel_resolving_redundancy_v0_6.py,python,proposed,simulation_runner,RA-SIM-SEVERANCE-CHANNEL-001;RA-SIM-SEVERANCE-CHANNEL-002;RA-SIM-SEVERANCE-CHANNEL-003;RA-SIM-SEVERANCE-CHANNEL-004,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_6_ChannelResolvingRedundancy_May05_2026/scripts/run_channel_resolving_redundancy_v0_6.py,9a96e16da78c8433ff3140a432106bbef69c878e097a2dbdf830c5a5a43dffd3,,/mnt/data/RA_CausalDAG_MotifCommitSimulator_v0_6_ChannelResolvingRedundancy_May05_2026/scripts/run_channel_resolving_redundancy_v0_6.py,v0.6 channel-resolving redundancy packet artifact,active_schema_v0_5_proposal,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_6_ChannelResolvingRedundancy_May05_2026/scripts/run_channel_resolving_redundancy_v0_6.py,simulation_runner
ART-SIM-V06-README,README_RA_CausalDAG_MotifCommitSimulator_v0_6_ChannelResolvingRedundancy_May05_2026.md,md,proposed,packet_provenance,RA-SIM-SEVERANCE-CHANNEL-001;RA-SIM-SEVERANCE-CHANNEL-002;RA-SIM-SEVERANCE-CHANNEL-003;RA-SIM-SEVERANCE-CHANNEL-004,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_6_ChannelResolvingRedundancy_May05_2026/README_RA_CausalDAG_MotifCommitSimulator_v0_6_ChannelResolvingRedundancy_May05_2026.md,46737ac30a298a4d39c2e139b409334dec04ae2a0f7d4efff39e4be4a69da2f4,,/mnt/data/RA_CausalDAG_MotifCommitSimulator_v0_6_ChannelResolvingRedundancy_May05_2026/README_RA_CausalDAG_MotifCommitSimulator_v0_6_ChannelResolvingRedundancy_May05_2026.md,v0.6 channel-resolving redundancy packet artifact,active_schema_v0_5_proposal,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_6_ChannelResolvingRedundancy_May05_2026/README_RA_CausalDAG_MotifCommitSimulator_v0_6_ChannelResolvingRedundancy_May05_2026.md,packet_provenance
ART-SIM-V06-REPORT,RA_CausalDAG_MotifCommitSimulator_v0_6_ChannelResolvingRedundancy_Report_May05_2026.md,md,proposed,formal_bridge_report,RA-SIM-SEVERANCE-CHANNEL-001;RA-SIM-SEVERANCE-CHANNEL-002;RA-SIM-SEVERANCE-CHANNEL-003;RA-SIM-SEVERANCE-CHANNEL-004,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_6_ChannelResolvingRedundancy_May05_2026/reports/RA_CausalDAG_MotifCommitSimulator_v0_6_ChannelResolvingRedundancy_Report_May05_2026.md,b734faa8ffccf92f63859d6eee2989223476d75184c07dc82cd1224d59f790b4,,/mnt/data/RA_CausalDAG_MotifCommitSimulator_v0_6_ChannelResolvingRedundancy_May05_2026/reports/RA_CausalDAG_MotifCommitSimulator_v0_6_ChannelResolvingRedundancy_Report_May05_2026.md,v0.6 channel-resolving redundancy packet artifact,active_schema_v0_5_proposal,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_6_ChannelResolvingRedundancy_May05_2026/reports/RA_CausalDAG_MotifCommitSimulator_v0_6_ChannelResolvingRedundancy_Report_May05_2026.md,formal_bridge_report
ART-SIM-V06-VALIDATION,validation_unittest_v0_6.log,log,proposed,source_audit,RA-SIM-SEVERANCE-CHANNEL-001;RA-SIM-SEVERANCE-CHANNEL-002;RA-SIM-SEVERANCE-CHANNEL-003;RA-SIM-SEVERANCE-CHANNEL-004,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_6_ChannelResolvingRedundancy_May05_2026/reports/validation_unittest_v0_6.log,aeb6f997f65b4b79d69cbde6a6be59efab8b4970669affcbc85b60f5eb19f893,,/mnt/data/RA_CausalDAG_MotifCommitSimulator_v0_6_ChannelResolvingRedundancy_May05_2026/reports/validation_unittest_v0_6.log,v0.6 channel-resolving redundancy packet artifact,active_schema_v0_5_proposal,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_6_ChannelResolvingRedundancy_May05_2026/reports/validation_unittest_v0_6.log,source_audit
ART-SIM-V06-SIGNATURES,ra_channel_mode_signatures_v0_6.csv,csv,proposed,simulation_output,RA-SIM-SEVERANCE-CHANNEL-001;RA-SIM-SEVERANCE-CHANNEL-002;RA-SIM-SEVERANCE-CHANNEL-003;RA-SIM-SEVERANCE-CHANNEL-004,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_6_ChannelResolvingRedundancy_May05_2026/outputs/ra_channel_mode_signatures_v0_6.csv,aa26963fa2197bc8886fc6a18ef6e55c096ab02338f06afcda5d49d82c17d32a,,/mnt/data/RA_CausalDAG_MotifCommitSimulator_v0_6_ChannelResolvingRedundancy_May05_2026/outputs/ra_channel_mode_signatures_v0_6.csv,v0.6 channel-resolving redundancy packet artifact,active_schema_v0_5_proposal,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_6_ChannelResolvingRedundancy_May05_2026/outputs/ra_channel_mode_signatures_v0_6.csv,simulation_output
ART-SIM-V06-SEPARABILITY,ra_channel_mode_separability_v0_6.csv,csv,proposed,simulation_output,RA-SIM-SEVERANCE-CHANNEL-001;RA-SIM-SEVERANCE-CHANNEL-002;RA-SIM-SEVERANCE-CHANNEL-003;RA-SIM-SEVERANCE-CHANNEL-004,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_6_ChannelResolvingRedundancy_May05_2026/outputs/ra_channel_mode_separability_v0_6.csv,a1d27dea492762bb3a9caa0ef7b9898e6c5edc311c423b846ac52d3fcf888e86,,/mnt/data/RA_CausalDAG_MotifCommitSimulator_v0_6_ChannelResolvingRedundancy_May05_2026/outputs/ra_channel_mode_separability_v0_6.csv,v0.6 channel-resolving redundancy packet artifact,active_schema_v0_5_proposal,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_6_ChannelResolvingRedundancy_May05_2026/outputs/ra_channel_mode_separability_v0_6.csv,simulation_output
