paper,line,section_level,section_title_raw,section_title_normalized,mapped_node_ids,inserted_comment,replaced_existing_comments
Paper I,189,subsection,From causal order to universe-state,From causal order to universe-state,RA-ONT-001;RA-LLC-001,% RAKB: RA-ONT-001;RA-LLC-001,
Paper I,197,subsection,Relation to classical sequential growth,Relation to classical sequential growth,RA-ONT-002;RA-ONT-003;RA-KERNEL-003;RA-KERNEL-004,% RAKB: RA-ONT-002;RA-ONT-003;RA-KERNEL-003;RA-KERNEL-004,
Paper I,245,section,The Seven Axioms,The Seven Axioms,RA-ONT-001;RA-ONT-002;RA-ONT-003;RA-ONT-004;RA-LLC-001;RA-KERNEL-003,% RAKB: RA-ONT-001;RA-ONT-002;RA-ONT-003;RA-ONT-004;RA-LLC-001;RA-KERNEL-003,
Paper I,339,section,The BDG Action and Its Integers,The BDG Action and Its Integers,RA-KERNEL-001;RA-ARITH-001;RA-ARITH-002,% RAKB: RA-KERNEL-001;RA-ARITH-001;RA-ARITH-002,
Paper I,359,subsection,The second-order cancellation pattern,The second-order cancellation pattern,RA-KERNEL-001;RA-ARITH-001;RA-ARITH-002,% RAKB: RA-KERNEL-001;RA-ARITH-001;RA-ARITH-002,
Paper I,371,section,The Sequential Growth Rule,The Sequential Growth Rule,RA-ONT-002;RA-ONT-003;RA-KERNEL-003;RA-KERNEL-004,% RAKB: RA-ONT-002;RA-ONT-003;RA-KERNEL-003;RA-KERNEL-004,
Paper I,396,subsection,A worked toy growth step,A worked toy growth step,RA-ONT-002;RA-ONT-003;RA-KERNEL-003;RA-KERNEL-004,% RAKB: RA-ONT-002;RA-ONT-003;RA-KERNEL-003;RA-KERNEL-004,
Paper I,432,subsection,The bimodal ontology,The bimodal ontology,RA-ONT-002;RA-ONT-003;RA-KERNEL-003;RA-KERNEL-004,% RAKB: RA-ONT-002;RA-ONT-003;RA-KERNEL-003;RA-KERNEL-004,
Paper I,439,section,The BDG Filter and Acceptance Kernel,The BDG Filter and Acceptance Kernel,RA-KERNEL-001;RA-GRAV-001;RA-GRAV-002,% RAKB: RA-KERNEL-001;RA-GRAV-001;RA-GRAV-002,
Paper I,452,subsection,The actualization threshold,The actualization threshold,RA-KERNEL-001;RA-GRAV-001;RA-GRAV-002,% RAKB: RA-KERNEL-001;RA-GRAV-001;RA-GRAV-002,
Paper I,460,subsection,Kernel saturation theorem,Kernel saturation theorem,RA-KERNEL-001;RA-GRAV-001;RA-GRAV-002,% RAKB: RA-KERNEL-001;RA-GRAV-001;RA-GRAV-002,
Paper I,488,subsection,The selectivity profile,The selectivity profile,RA-D4-001;RA-ARITH-005,% RAKB: RA-D4-001;RA-ARITH-005,
Paper I,511,section,"The Actualization Criterion: Kernel First, Comparative Readouts Second","The Actualization Criterion: Kernel First, Comparative Readouts Second",RA-KERNEL-001;RA-KERNEL-004;RA-D4-001,% RAKB: RA-KERNEL-001;RA-KERNEL-004;RA-D4-001,
Paper I,564,section,The Measurement Problem Dissolved in Native Terms,The Measurement Problem Dissolved in Native Terms,RA-ONT-002;RA-OPEN-009,% RAKB: RA-ONT-002;RA-OPEN-009,
Paper I,581,section,"Finite Propagation, Event Counts, and Saturation","Finite Propagation, Event Counts, and Saturation",RA-KIN-BANDWIDTH-001,% RAKB: RA-KIN-BANDWIDTH-001,
Paper I,587,subsection,The propagation ceiling as graph bandwidth ratio,The propagation ceiling as graph bandwidth ratio,RA-KIN-BANDWIDTH-001,% RAKB: RA-KIN-BANDWIDTH-001,
Paper I,596,subsection,Proper time as event count,Proper time as event count,RA-KIN-PROPER-TIME-001,% RAKB: RA-KIN-PROPER-TIME-001,
