claim_id,claim_name,claim_node_type,artifact_id,filename,artifact_type,relation,source_span,verification_status,notes,node_type,type
RA-MOTIF-ORIENTATION-LINK-SURFACE-001,Distinct orientation-link surfaces refine generic orientation component evidence,claim,ART-MOTIF-ORIENTATION-LINK-SURFACE-LEAN-v1-2,RA_MotifOrientationLinkSurface.lean,lean,formal_anchor,,lean_build_confirmed_no_sorry_no_admit_no_axiom,active RAKB v0.5 12-column edge upsert,claim,formal_anchor
RA-MOTIF-ORIENTATION-LINK-SURFACE-001,Distinct orientation-link surfaces refine generic orientation component evidence,claim,ART-SIM-ORIENTATION-LINK-SURFACE-REPORT-v1-2,RA_CausalDAG_MotifCommitSimulator_v1_2_DistinctOrientationLinkSurface_Report_May05_2026.md,md,formal_bridge_report,,canonical_run_confirmed,active RAKB v0.5 12-column edge upsert,claim,formal_bridge_report
RA-MOTIF-ORIENTATION-LINK-SURFACE-001,Distinct orientation-link surfaces refine generic orientation component evidence,claim,ART-SIM-ORIENTATION-LINK-SURFACE-BRIDGE-v1-2,simulator_to_lean_orientation_link_surface_v1_2.md,md,bridge_mapping,,canonical_run_confirmed,active RAKB v0.5 12-column edge upsert,claim,bridge_mapping
RA-MOTIF-ORIENTATION-LINK-SURFACE-001,Distinct orientation-link surfaces refine generic orientation component evidence,claim,ART-SIM-ORIENTATION-LINK-SURFACE-SOURCE-AUDIT-v1-2,source_audit_RA_CausalDAG_MotifCommitSimulator_v1_2_May05_2026.log,log,source_audit,,generated_source_audit,active RAKB v0.5 12-column edge upsert,claim,source_audit
RA-SIM-ORIENTATION-LINK-SURFACE-001,v1.2 demonstrates that a decoupled orientation-link surface restores orientation specificity in the v1.1 audit,claim,ART-SIM-ORIENTATION-LINK-SURFACE-ANALYSIS-v1-2,ra_orientation_link_surface.py,py,analysis_source,,canonical_run_confirmed,active RAKB v0.5 12-column edge upsert,claim,analysis_source
RA-SIM-ORIENTATION-LINK-SURFACE-001,v1.2 demonstrates that a decoupled orientation-link surface restores orientation specificity in the v1.1 audit,claim,ART-SIM-ORIENTATION-LINK-SURFACE-RUNSCRIPT-v1-2,run_orientation_link_surface_v1_2.py,py,analysis_source,,canonical_run_confirmed,active RAKB v0.5 12-column edge upsert,claim,analysis_source
RA-SIM-ORIENTATION-LINK-SURFACE-001,v1.2 demonstrates that a decoupled orientation-link surface restores orientation specificity in the v1.1 audit,claim,ART-SIM-ORIENTATION-LINK-SURFACE-REPORT-v1-2,RA_CausalDAG_MotifCommitSimulator_v1_2_DistinctOrientationLinkSurface_Report_May05_2026.md,md,formal_bridge_report,,canonical_run_confirmed,active RAKB v0.5 12-column edge upsert,claim,formal_bridge_report
RA-SIM-ORIENTATION-LINK-SURFACE-001,v1.2 demonstrates that a decoupled orientation-link surface restores orientation specificity in the v1.1 audit,claim,ART-SIM-ORIENTATION-LINK-SURFACE-BRIDGE-v1-2,simulator_to_lean_orientation_link_surface_v1_2.md,md,bridge_mapping,,canonical_run_confirmed,active RAKB v0.5 12-column edge upsert,claim,bridge_mapping
RA-SIM-ORIENTATION-LINK-SURFACE-001,v1.2 demonstrates that a decoupled orientation-link surface restores orientation specificity in the v1.1 audit,claim,ART-SIM-ORIENTATION-LINK-SURFACE-VALIDATION-v1-2,validation_unittest_v1_2.log,log,validation_log,,canonical_run_confirmed,active RAKB v0.5 12-column edge upsert,claim,validation_log
RA-SIM-ORIENTATION-LINK-SURFACE-001,v1.2 demonstrates that a decoupled orientation-link surface restores orientation specificity in the v1.1 audit,claim,ART-SIM-ORIENTATION-LINK-SURFACE-SURFACE-CSV-v1-2,ra_orientation_link_surface_v1_2.csv,csv,analysis_output,,canonical_run_validated,active RAKB v0.5 12-column edge upsert,claim,analysis_output
