claim_id,claim_name,claim_node_type,artifact_id,filename,artifact_type,relation,source_span,verification_status,notes,node_type,type
RA-SIM-GRAPH-CUT-WITNESS-ACTIVE-001,Active simulator graph states support member-index-free graph/cut witness extraction,claim,ART-TRACKB2-SOURCE,ra_active_graph_witness_extraction.py,py,analysis_source,,packet_local_validated,supports active-state graph/cut witness extraction,claim,claim_artifact_edge
RA-SIM-GRAPH-CUT-WITNESS-ACTIVE-001,Active simulator graph states support member-index-free graph/cut witness extraction,claim,ART-TRACKB2-RUNNER,run_trackB_active_graph_witness_extraction.py,py,run_script,,packet_local_validated,runs active-state extraction,claim,claim_artifact_edge
RA-SIM-GRAPH-CUT-WITNESS-ACTIVE-001,Active simulator graph states support member-index-free graph/cut witness extraction,claim,ART-TRACKB2-README,README_RA_TrackB_ActiveSimulatorGraphWitnessExtraction_May06_2026.md,md,packet_readme,,packet_local_validated,packet documentation,claim,claim_artifact_edge
RA-SIM-GRAPH-CUT-WITNESS-ACTIVE-001,Active simulator graph states support member-index-free graph/cut witness extraction,claim,ART-TRACKB2-NOTE,RA_TrackB_ActiveSimulatorGraphWitnessExtraction_May06_2026.md,md,technical_note,,packet_local_validated,technical note,claim,claim_artifact_edge
RA-SIM-GRAPH-CUT-WITNESS-ACTIVE-001,Active simulator graph states support member-index-free graph/cut witness extraction,claim,ART-TRACKB2-TESTS,test_trackB_active_graph_witness_extraction.py,py,test_source,,packet_local_validated,unit tests,claim,claim_artifact_edge
RA-SIM-GRAPH-CUT-WITNESS-ACTIVE-001,Active simulator graph states support member-index-free graph/cut witness extraction,claim,ART-TRACKB2-VALIDATION,validation_unittest_trackB2.log,log,validation_log,,packet_local_validated,unit test validation,claim,claim_artifact_edge
RA-SIM-GRAPH-CUT-WITNESS-ACTIVE-001,Active simulator graph states support member-index-free graph/cut witness extraction,claim,ART-TRACKB2-SUMMARY,ra_trackB2_active_graph_witness_summary.csv,csv,simulation_output,,packet_local_validated,packet local summary,claim,claim_artifact_edge
RA-SIM-GRAPH-CUT-WITNESS-ACTIVE-001,Active simulator graph states support member-index-free graph/cut witness extraction,claim,ART-TRACKB2-WITNESS,ra_trackB2_active_graph_witness_members.csv,csv,simulation_output,,packet_local_validated,member-level witness rows,claim,claim_artifact_edge
RA-SIM-GRAPH-CUT-WITNESS-ACTIVE-001,Active simulator graph states support member-index-free graph/cut witness extraction,claim,ART-TRACKB2-OVERLAP,ra_trackB2_active_graph_orientation_overlap.csv,csv,simulation_output,,packet_local_validated,family overlap diagnostics,claim,claim_artifact_edge
RA-SIM-GRAPH-CUT-WITNESS-ACTIVE-001,Active simulator graph states support member-index-free graph/cut witness extraction,claim,ART-TRACKB2-AUDIT,ra_trackB2_member_index_audit.csv,csv,simulation_output,,packet_local_validated,member-index audit,claim,claim_artifact_edge
