action,source_path,destination_path,rationale
delete,__MACOSX/._RAKB_Update_Prompt.txt,,"macOS resource-fork metadata; should be removed, not archived."
delete,__MACOSX/._RA_Dependency_Analysis_Prompt.txt,,"macOS resource-fork metadata; should be removed, not archived."
delete,__MACOSX/._RA_Integrity_Check_Prompt.txt,,"macOS resource-fork metadata; should be removed, not archived."
delete,__MACOSX/._RA_Paper_Sync_Prompt.txt,,"macOS resource-fork metadata; should be removed, not archived."
delete,__MACOSX/._RA_Target_Prompt.txt,,"macOS resource-fork metadata; should be removed, not archived."
delete,__MACOSX/._RA_dependency_graph_analysis_v0_3.md,,"macOS resource-fork metadata; should be removed, not archived."
delete,__MACOSX/._RA_dependency_graph_v0_3.dot,,"macOS resource-fork metadata; should be removed, not archived."
delete,__MACOSX/._RA_dependency_graph_v0_3.png,,"macOS resource-fork metadata; should be removed, not archived."
delete,__MACOSX/._RA_dependency_metrics_v0_3.csv,,"macOS resource-fork metadata; should be removed, not archived."
delete,__MACOSX/._RA_results_master_v0_2.yaml,,"macOS resource-fork metadata; should be removed, not archived."
delete,__MACOSX/._RA_results_master_v0_3_expanded.yaml,,"macOS resource-fork metadata; should be removed, not archived."
delete,__MACOSX/._RA_results_master_v0_3_summary.md,,"macOS resource-fork metadata; should be removed, not archived."
delete,__MACOSX/._README_RAKB.md,,"macOS resource-fork metadata; should be removed, not archived."
delete,__MACOSX/._rakb_pipeline.py,,"macOS resource-fork metadata; should be removed, not archived."
delete,__MACOSX/RAKB_prediction_linkage_candidates/._RA_prediction_source_linkage_candidate_report.md,,"macOS resource-fork metadata; should be removed, not archived."
