claim_id,claim_name,claim_node_type,artifact_id,filename,artifact_type,relation,source_span,verification_status,notes
RA-OPEN-FRONTIER-NORMAL-FORM-001,Frontier/incidence normal form for actualization candidates,issue,ART-SEL-LEAN-RA_HasseFrontier_FiniteMaxExist_v1,RA_HasseFrontier_FiniteMaxExist_v1.lean,lean,formalization_scaffold,reachableUpperPastFinsetOfFiniteGraph; topoMaxFromReachableUpperPastFinset; finiteTopoMaxFrontierDataOfFiniteGraph; coverOfFiniteGraph,lean_env_compile_confirmed_no_sorry_no_admit_no_axiom,Compile-confirmed finite maximum existence scaffold; derives topological maximum data and Hasse frontier covers from finite graph enumeration.
RA-OPEN-FRONTIER-NORMAL-FORM-001,Frontier/incidence normal form for actualization candidates,issue,ART-SEL-REPORT-HasseFrontierFiniteMaxExistCompileConfirmed,RA_HasseFrontier_FiniteMaxExist_CompileConfirmed_Report_Apr29_2026.md,md,documents_compile_confirmation,full report,generated_reviewed,Records compile confirmation and transition to incidence-sign theorem target.
RA-OPEN-ACTUALIZATION-SELECTOR-001,RA-native actualization selector,issue,ART-SEL-LEAN-RA_HasseFrontier_FiniteMaxExist_v1,RA_HasseFrontier_FiniteMaxExist_v1.lean,lean,formalization_scaffold,reachableUpperPastFinsetOfFiniteGraph; topoMaxFromReachableUpperPastFinset; finiteTopoMaxFrontierDataOfFiniteGraph; coverOfFiniteGraph,lean_env_compile_confirmed_no_sorry_no_admit_no_axiom,Compile-confirmed finite maximum existence scaffold; derives topological maximum data and Hasse frontier covers from finite graph enumeration.
RA-OPEN-SELECTOR-CLOSURE-001,Selector Closure Theorem,issue,ART-SEL-LEAN-RA_HasseFrontier_FiniteMaxExist_v1,RA_HasseFrontier_FiniteMaxExist_v1.lean,lean,formalization_scaffold,reachableUpperPastFinsetOfFiniteGraph; topoMaxFromReachableUpperPastFinset; finiteTopoMaxFrontierDataOfFiniteGraph; coverOfFiniteGraph,lean_env_compile_confirmed_no_sorry_no_admit_no_axiom,Compile-confirmed finite maximum existence scaffold; derives topological maximum data and Hasse frontier covers from finite graph enumeration.
RA-OPEN-SELECTOR-CLOSURE-001,Selector Closure Theorem,issue,ART-SEL-REPORT-HasseFrontierFiniteMaxExistCompileConfirmed,RA_HasseFrontier_FiniteMaxExist_CompileConfirmed_Report_Apr29_2026.md,md,documents_compile_confirmation,full report,generated_reviewed,Records compile confirmation and transition to incidence-sign theorem target.
RA-OPEN-NO-HISTORY-QUOTIENT-001,No actual-history quotient principle,issue,ART-SEL-LEAN-RA_HasseFrontier_FiniteMaxExist_v1,RA_HasseFrontier_FiniteMaxExist_v1.lean,lean,formalization_scaffold,reachableUpperPastFinsetOfFiniteGraph; topoMaxFromReachableUpperPastFinset; finiteTopoMaxFrontierDataOfFiniteGraph; coverOfFiniteGraph,lean_env_compile_confirmed_no_sorry_no_admit_no_axiom,Compile-confirmed finite maximum existence scaffold; derives topological maximum data and Hasse frontier covers from finite graph enumeration.
RA-OPEN-TOPOLOGICAL-LEDGER-001,Topological/incidence derivation of the RA ledger rule,issue,ART-SEL-LEAN-RA_HasseFrontier_FiniteMaxExist_v1,RA_HasseFrontier_FiniteMaxExist_v1.lean,lean,formalization_scaffold,reachableUpperPastFinsetOfFiniteGraph; topoMaxFromReachableUpperPastFinset; finiteTopoMaxFrontierDataOfFiniteGraph; coverOfFiniteGraph,lean_env_compile_confirmed_no_sorry_no_admit_no_axiom,Compile-confirmed finite maximum existence scaffold; derives topological maximum data and Hasse frontier covers from finite graph enumeration.
RA-OPEN-TOPOLOGICAL-LEDGER-001,Topological/incidence derivation of the RA ledger rule,issue,ART-SEL-REPORT-HasseFrontierFiniteMaxExistCompileConfirmed,RA_HasseFrontier_FiniteMaxExist_CompileConfirmed_Report_Apr29_2026.md,md,documents_compile_confirmation,full report,generated_reviewed,Records compile confirmation and transition to incidence-sign theorem target.
RA-OPEN-CHARGE-SIGN-001,Edge-level sign-source for signed N1 charge,issue,ART-SEL-LEAN-RA_HasseFrontier_FiniteMaxExist_v1,RA_HasseFrontier_FiniteMaxExist_v1.lean,lean,formalization_scaffold,reachableUpperPastFinsetOfFiniteGraph; topoMaxFromReachableUpperPastFinset; finiteTopoMaxFrontierDataOfFiniteGraph; coverOfFiniteGraph,lean_env_compile_confirmed_no_sorry_no_admit_no_axiom,Compile-confirmed finite maximum existence scaffold; derives topological maximum data and Hasse frontier covers from finite graph enumeration.
RA-OPEN-CHARGE-SIGN-001,Edge-level sign-source for signed N1 charge,issue,ART-SEL-REPORT-HasseFrontierFiniteMaxExistCompileConfirmed,RA_HasseFrontier_FiniteMaxExist_CompileConfirmed_Report_Apr29_2026.md,md,documents_compile_confirmation,full report,generated_reviewed,Records compile confirmation and transition to incidence-sign theorem target.
