claim_id,claim_name,claim_node_type,artifact_id,filename,artifact_type,relation,source_span,verification_status,notes
RA-OPEN-TOPOLOGICAL-LEDGER-001,Topological/incidence derivation of the RA ledger rule,issue,ART-SEL-LEAN-RA_IncidenceCharge_v1,RA_IncidenceCharge_v1.lean,lean,formalization_scaffold,IncidenceSignSource; SignedN1ThreeFrame; sevenCharge_of_three_incidence_signs; ledgerOfThreeDirectionalBoundary,static_no_sorry_no_admit_no_axiom_build_pending,Conditional topological charge scaffold; proves seven-value N1 range for supplied three-direction incidence signs; sign-source derivation remains open.
RA-OPEN-TOPOLOGICAL-LEDGER-001,Topological/incidence derivation of the RA ledger rule,issue,ART-SEL-NOTE-IncidenceChargeProgramme,RA_IncidenceCharge_Programme_Apr29_2026.md,md,formalization_notes,full note,generated_reviewed,Explains conditional status and next theorem target for incidence sign-source derivation.
RA-OPEN-TOPOLOGICAL-LEDGER-001,Topological/incidence derivation of the RA ledger rule,issue,ART-SEL-REPORT-IncidenceChargeFirstFormalization,RA_IncidenceCharge_First_Formalization_Report_Apr29_2026.md,md,formalization_report,full report,generated_reviewed,Documents static audit and main definitions/lemmas for RA_IncidenceCharge_v1.
RA-OPEN-CHARGE-SIGN-001,Edge-level sign-source for signed N1 charge,issue,ART-SEL-LEAN-RA_IncidenceCharge_v1,RA_IncidenceCharge_v1.lean,lean,formalization_scaffold,IncidenceSignSource; SignedN1ThreeFrame; sevenCharge_of_three_incidence_signs; ledgerOfThreeDirectionalBoundary,static_no_sorry_no_admit_no_axiom_build_pending,Conditional topological charge scaffold; proves seven-value N1 range for supplied three-direction incidence signs; sign-source derivation remains open.
RA-OPEN-CHARGE-SIGN-001,Edge-level sign-source for signed N1 charge,issue,ART-SEL-NOTE-IncidenceChargeProgramme,RA_IncidenceCharge_Programme_Apr29_2026.md,md,formalization_notes,full note,generated_reviewed,Explains conditional status and next theorem target for incidence sign-source derivation.
RA-OPEN-CHARGE-SIGN-001,Edge-level sign-source for signed N1 charge,issue,ART-SEL-REPORT-IncidenceChargeFirstFormalization,RA_IncidenceCharge_First_Formalization_Report_Apr29_2026.md,md,formalization_report,full report,generated_reviewed,Documents static audit and main definitions/lemmas for RA_IncidenceCharge_v1.
RA-OPEN-FRONTIER-NORMAL-FORM-001,Frontier/incidence normal form for actualization candidates,issue,ART-SEL-LEAN-RA_IncidenceCharge_v1,RA_IncidenceCharge_v1.lean,lean,formalization_scaffold,IncidenceSignSource; SignedN1ThreeFrame; sevenCharge_of_three_incidence_signs; ledgerOfThreeDirectionalBoundary,static_no_sorry_no_admit_no_axiom_build_pending,Conditional topological charge scaffold; proves seven-value N1 range for supplied three-direction incidence signs; sign-source derivation remains open.
RA-OPEN-ACTUALIZATION-SELECTOR-001,RA-native actualization selector,issue,ART-SEL-LEAN-RA_IncidenceCharge_v1,RA_IncidenceCharge_v1.lean,lean,formalization_scaffold,IncidenceSignSource; SignedN1ThreeFrame; sevenCharge_of_three_incidence_signs; ledgerOfThreeDirectionalBoundary,static_no_sorry_no_admit_no_axiom_build_pending,Conditional topological charge scaffold; proves seven-value N1 range for supplied three-direction incidence signs; sign-source derivation remains open.
RA-OPEN-SELECTOR-CLOSURE-001,Selector Closure Theorem,issue,ART-SEL-LEAN-RA_IncidenceCharge_v1,RA_IncidenceCharge_v1.lean,lean,formalization_scaffold,IncidenceSignSource; SignedN1ThreeFrame; sevenCharge_of_three_incidence_signs; ledgerOfThreeDirectionalBoundary,static_no_sorry_no_admit_no_axiom_build_pending,Conditional topological charge scaffold; proves seven-value N1 range for supplied three-direction incidence signs; sign-source derivation remains open.
RA-MOTIF-006,Signed three-direction charge spectrum,claim,ART-SEL-LEAN-RA_IncidenceCharge_v1,RA_IncidenceCharge_v1.lean,lean,formalization_scaffold,IncidenceSignSource; SignedN1ThreeFrame; sevenCharge_of_three_incidence_signs; ledgerOfThreeDirectionalBoundary,static_no_sorry_no_admit_no_axiom_build_pending,Conditional topological charge scaffold; proves seven-value N1 range for supplied three-direction incidence signs; sign-source derivation remains open.
RA-MOTIF-006,Signed three-direction charge spectrum,claim,ART-SEL-NOTE-IncidenceChargeProgramme,RA_IncidenceCharge_Programme_Apr29_2026.md,md,formalization_notes,full note,generated_reviewed,Explains conditional status and next theorem target for incidence sign-source derivation.
RA-MOTIF-006,Signed three-direction charge spectrum,claim,ART-SEL-REPORT-IncidenceChargeFirstFormalization,RA_IncidenceCharge_First_Formalization_Report_Apr29_2026.md,md,formalization_report,full report,generated_reviewed,Documents static audit and main definitions/lemmas for RA_IncidenceCharge_v1.
