claim_id,claim_name,claim_node_type,artifact_id,filename,artifact_type,relation,source_span,verification_status,notes,node_type,type
RA-SIM-SEVERANCE-CHANNEL-001,Channel-resolved severance workbench separates formerly degenerate failure modes,claim,ART-SIM-V06-CHANNEL-WORKBENCH,ra_causal_dag_channel_workbench.py,python,formal_source,,proposed,v0.6 channel-resolving redundancy proposal,claim,claim_artifact_edge
RA-SIM-SEVERANCE-CHANNEL-001,Channel-resolved severance workbench separates formerly degenerate failure modes,claim,ART-SIM-V06-REPORT,RA_CausalDAG_MotifCommitSimulator_v0_6_ChannelResolvingRedundancy_Report_May05_2026.md,md,formal_source,,proposed,v0.6 channel-resolving redundancy proposal,claim,claim_artifact_edge
RA-SIM-SEVERANCE-CHANNEL-001,Channel-resolved severance workbench separates formerly degenerate failure modes,claim,ART-SIM-V06-VALIDATION,validation_unittest_v0_6.log,log,formal_source,,proposed,v0.6 channel-resolving redundancy proposal,claim,claim_artifact_edge
RA-SIM-SEVERANCE-CHANNEL-001,Channel-resolved severance workbench separates formerly degenerate failure modes,claim,ART-SIM-V06-SIGNATURES,ra_channel_mode_signatures_v0_6.csv,csv,supports,,proposed,v0.6 channel-resolving redundancy proposal,claim,claim_artifact_edge
RA-SIM-SEVERANCE-CHANNEL-001,Channel-resolved severance workbench separates formerly degenerate failure modes,claim,ART-SIM-V06-SEPARABILITY,ra_channel_mode_separability_v0_6.csv,csv,supports,,proposed,v0.6 channel-resolving redundancy proposal,claim,claim_artifact_edge
RA-SIM-SEVERANCE-CHANNEL-002,Support-diverse growth exposes Hasse-frontier width classes greater than one,claim,ART-SIM-V06-CHANNEL-WORKBENCH,ra_causal_dag_channel_workbench.py,python,formal_source,,proposed,v0.6 channel-resolving redundancy proposal,claim,claim_artifact_edge
RA-SIM-SEVERANCE-CHANNEL-002,Support-diverse growth exposes Hasse-frontier width classes greater than one,claim,ART-SIM-V06-REPORT,RA_CausalDAG_MotifCommitSimulator_v0_6_ChannelResolvingRedundancy_Report_May05_2026.md,md,formal_source,,proposed,v0.6 channel-resolving redundancy proposal,claim,claim_artifact_edge
RA-SIM-SEVERANCE-CHANNEL-002,Support-diverse growth exposes Hasse-frontier width classes greater than one,claim,ART-SIM-V06-VALIDATION,validation_unittest_v0_6.log,log,formal_source,,proposed,v0.6 channel-resolving redundancy proposal,claim,claim_artifact_edge
RA-SIM-SEVERANCE-CHANNEL-002,Support-diverse growth exposes Hasse-frontier width classes greater than one,claim,ART-SIM-V06-WIDTH-CURVE,ra_support_width_fragility_curve_v0_6.csv,csv,supports,,proposed,v0.6 channel-resolving redundancy proposal,claim,claim_artifact_edge
RA-SIM-SEVERANCE-CHANNEL-003,"Gate-failure decomposition distinguishes certification, reachability, availability, and selector-exclusion channels",claim,ART-SIM-V06-CHANNEL-WORKBENCH,ra_causal_dag_channel_workbench.py,python,formal_source,,proposed,v0.6 channel-resolving redundancy proposal,claim,claim_artifact_edge
RA-SIM-SEVERANCE-CHANNEL-003,"Gate-failure decomposition distinguishes certification, reachability, availability, and selector-exclusion channels",claim,ART-SIM-V06-REPORT,RA_CausalDAG_MotifCommitSimulator_v0_6_ChannelResolvingRedundancy_Report_May05_2026.md,md,formal_source,,proposed,v0.6 channel-resolving redundancy proposal,claim,claim_artifact_edge
RA-SIM-SEVERANCE-CHANNEL-003,"Gate-failure decomposition distinguishes certification, reachability, availability, and selector-exclusion channels",claim,ART-SIM-V06-VALIDATION,validation_unittest_v0_6.log,log,formal_source,,proposed,v0.6 channel-resolving redundancy proposal,claim,claim_artifact_edge
RA-SIM-SEVERANCE-CHANNEL-003,"Gate-failure decomposition distinguishes certification, reachability, availability, and selector-exclusion channels",claim,ART-SIM-V06-GATE-DECOMP,ra_gate_failure_decomposition_v0_6.csv,csv,supports,,proposed,v0.6 channel-resolving redundancy proposal,claim,claim_artifact_edge
RA-SIM-SEVERANCE-CHANNEL-004,v0.6 packet-local tests validate channel separation and support-width diversity,claim,ART-SIM-V06-CHANNEL-WORKBENCH,ra_causal_dag_channel_workbench.py,python,formal_source,,proposed,v0.6 channel-resolving redundancy proposal,claim,claim_artifact_edge
RA-SIM-SEVERANCE-CHANNEL-004,v0.6 packet-local tests validate channel separation and support-width diversity,claim,ART-SIM-V06-TESTS,test_v0_6_channel_separation.py,python,formal_source,,proposed,v0.6 channel-resolving redundancy proposal,claim,claim_artifact_edge
RA-SIM-SEVERANCE-CHANNEL-004,v0.6 packet-local tests validate channel separation and support-width diversity,claim,ART-SIM-V06-REPORT,RA_CausalDAG_MotifCommitSimulator_v0_6_ChannelResolvingRedundancy_Report_May05_2026.md,md,formal_source,,proposed,v0.6 channel-resolving redundancy proposal,claim,claim_artifact_edge
RA-SIM-SEVERANCE-CHANNEL-004,v0.6 packet-local tests validate channel separation and support-width diversity,claim,ART-SIM-V06-VALIDATION,validation_unittest_v0_6.log,log,formal_source,,proposed,v0.6 channel-resolving redundancy proposal,claim,claim_artifact_edge
RA-SIM-SEVERANCE-CHANNEL-METHOD-001,Channel-resolved severance diagnostics remain RA-native modeling tools,framing,ART-SIM-V06-README,README_RA_CausalDAG_MotifCommitSimulator_v0_6_ChannelResolvingRedundancy_May05_2026.md,md,methodological_anchor,,proposed,modeling guardrail anchor,framing,claim_artifact_edge
RA-SIM-SEVERANCE-CHANNEL-METHOD-001,Channel-resolved severance diagnostics remain RA-native modeling tools,framing,ART-SIM-V06-REPORT,RA_CausalDAG_MotifCommitSimulator_v0_6_ChannelResolvingRedundancy_Report_May05_2026.md,md,methodological_anchor,,proposed,modeling guardrail anchor,framing,claim_artifact_edge
