claim_id,claim_name,claim_node_type,artifact_id,filename,artifact_type,relation,source_span,verification_status,notes
RA-OPEN-FRONTIER-NORMAL-FORM-001,Frontier/incidence normal form for actualization candidates,issue,ART-SEL-LEAN-RA_HasseFrontier_Maximal_v1,RA_HasseFrontier_Maximal_v1.lean,lean,formalization_scaffold,MaximalReachableAbove; MaximalFrontierCertificate; coverOfMaximalCertificate,static_no_sorry_no_admit_no_axiom_build_pending,Shows that maximal reachable-above certificates produce Hasse-frontier covers.
RA-OPEN-ACTUALIZATION-SELECTOR-001,RA-native actualization selector,issue,ART-SEL-LEAN-RA_HasseFrontier_Maximal_v1,RA_HasseFrontier_Maximal_v1.lean,lean,formalization_scaffold,frontierOfMaximalCertificate; boundaryDataOfMaximalHassePackage,static_no_sorry_no_admit_no_axiom_build_pending,Supplies maximal-frontier data that can feed selector/frontier vocabulary.
RA-OPEN-SELECTOR-CLOSURE-001,Selector Closure Theorem,issue,ART-SEL-LEAN-RA_HasseFrontier_Maximal_v1,RA_HasseFrontier_Maximal_v1.lean,lean,formalization_scaffold,TopoMaxCertificate; maximalReachableAboveOfTopoMax; coverOfTopoMaxCertificate,static_no_sorry_no_admit_no_axiom_build_pending,Moves theorem ladder toward deriving frontier covers from finite graph/topological maximality.
RA-OPEN-NO-HISTORY-QUOTIENT-001,No actual-history quotient principle,issue,ART-SEL-LEAN-RA_HasseFrontier_Maximal_v1,RA_HasseFrontier_Maximal_v1.lean,lean,formalization_scaffold,MaximalFrontierCertificate; TopoMaxFrontierCertificate,static_no_sorry_no_admit_no_axiom_build_pending,Provides normal-form frontier structure without merging distinct actual histories.
RA-OPEN-TOPOLOGICAL-LEDGER-001,Topological/incidence derivation of the RA ledger rule,issue,ART-SEL-LEAN-RA_HasseFrontier_Maximal_v1,RA_HasseFrontier_Maximal_v1.lean,lean,formalization_scaffold,MaximalHasseBoundaryPackage; boundaryDataOfMaximalHassePackage,static_no_sorry_no_admit_no_axiom_build_pending,Prepares a maximal frontier on which oriented incidence ledger data can later be defined.
RA-OPEN-CHARGE-SIGN-001,Edge-level sign-source for signed N1 charge,issue,ART-SEL-LEAN-RA_HasseFrontier_Maximal_v1,RA_HasseFrontier_Maximal_v1.lean,lean,formalization_scaffold,cutBoundaryPackageFromMaximal; cutBoundaryFromMaximal_qN1_seven,static_no_sorry_no_admit_no_axiom_build_pending,Conserved-cut boundary charge remains zero; nonzero local signs are the next incidence-source target.
RA-OPEN-GROWTH-MEASURE-001,Derived growth measure as selector shadow,issue,ART-SEL-LEAN-RA_HasseFrontier_Maximal_v1,RA_HasseFrontier_Maximal_v1.lean,lean,formalization_scaffold,TopoMaxFrontierCertificate; frontierOfTopoMaxCertificate,static_no_sorry_no_admit_no_axiom_build_pending,Constrains candidate representation toward graph-native maximal-frontier structure before discussing measure/selector shadows.
RA-LLC-001,Local Ledger Condition,claim,ART-SEL-LEAN-RA_HasseFrontier_Maximal_v1,RA_HasseFrontier_Maximal_v1.lean,lean,formalization_bridge,cutBoundaryPackageFromMaximal; cutBoundaryFromMaximal_qN1_seven,static_no_sorry_no_admit_no_axiom_build_pending,Repackages the existing conserved-cut LLC bridge through maximal-frontier certificates.
RA-OPEN-FRONTIER-NORMAL-FORM-001,Frontier/incidence normal form for actualization candidates,issue,ART-SEL-NOTE-HasseFrontierMaximalProgramme,RA_HasseFrontier_Maximal_Programme_Apr29_2026.md,md,formalization_notes,full note,generated_reviewed,Explains role of topological maximum certificates in deriving Hasse-frontier covers.
RA-OPEN-SELECTOR-CLOSURE-001,Selector Closure Theorem,issue,ART-SEL-REPORT-HasseFrontierMaximalFirstFormalization,RA_HasseFrontier_Maximal_First_Formalization_Report_Apr29_2026.md,md,formalization_report,full report,generated_reviewed,Summarizes first formalization pass and next finite-existence theorem target.
