artifact_id,filename,type,status,artifact_role,supports_results,repo_relative_path,sha256,git_sha,path_observed,notes,migration_note
ART-PY-actualization_thermo,actualization_thermo.py,py,blocked_missing_dependency_pending_reproduction,computation_source,RA-COMP-004;RA-COMP-005,data/DFT_Survey/actualization_thermo.py,f46813fec272bb20ad2296dcc9b29aef1478b06bc1113b281361674bc3be29e1,,/mnt/data/RA_python_computation_sources_Apr28_2026.zip,"PySCF/RDKit DFT script; failed locally due missing PySCF, so support pending environment/output.","Stage B Python audit Apr28 2026; upsert candidate, not automatically active proof support."
ART-PY-thermo_batch_b3lyp,thermo_batch_b3lyp.py,py,blocked_missing_dependency_pending_reproduction,computation_source,RA-COMP-004;RA-COMP-005,data/DFT_Survey/thermo_batch_b3lyp.py,c2213f5763e58b46977ddcbac68ae959673c82fb08d2b342ab308673f6bf3eec,,/mnt/data/RA_python_computation_sources_Apr28_2026.zip,B3LYP/6-311+G* DFT survey; failed locally due missing PySCF.,"Stage B Python audit Apr28 2026; upsert candidate, not automatically active proof support."
ART-PY-D1_BDG_MCMC_simulation,D1_BDG_MCMC_simulation.py,py,uploaded_static_audited,computation_source,RA-MOTIF-007;RA-PRED-002;RA-ARITH-004,src/RA_AQFT/D1_BDG_MCMC_simulation.py,6fefd24e0fb0550cb87c6214e7d5e8710be8211f7ad23c141db37c28c04932e9,,/mnt/data/RA_python_computation_sources_Apr28_2026.zip,Seeded MCMC/phase-diagram script; reproduces several matter-sector claims but imports Λ_QCD/PDG/FLAG constants.,"Stage B Python audit Apr28 2026; upsert candidate, not automatically active proof support."
ART-PY-RA_BDG_Simulation,RA_BDG_Simulation.py,py,uploaded_static_audited,computation_source,RA-MOTIF-002;RA-MOTIF-003;RA-MOTIF-004,src/RA_AQFT/RA_BDG_Simulation.py,89b953811c9dd42ad32370f2acc415d37b0ddaee978a7c99910ffc8a0962e004,,/mnt/data/RA_python_computation_sources_Apr28_2026.zip,Stable BDG pattern enumeration / D1 foundation; useful but says full proof requires systematic enumeration.,"Stage B Python audit Apr28 2026; upsert candidate, not automatically active proof support."
ART-PY-RA_D1_Proof,RA_D1_Proof.py,py,uploaded_static_audited,computation_source,RA-MOTIF-002;RA-MOTIF-003;RA-MOTIF-004;RA-MOTIF-005;RA-MOTIF-008,src/RA_AQFT/RA_D1_Proof.py,3e9cebcae335bf0bd1f7db1ec569f971ba9502189d3c90d5767d5d26547f7eeb,,/mnt/data/RA_python_computation_sources_Apr28_2026.zip,"Computational proof script for D1 families; smoke test timed under 8s, needs command/runtime capture.","Stage B Python audit Apr28 2026; upsert candidate, not automatically active proof support."
ART-PY-RA_RASM_Verification,RA_RASM_Verification.py,py,uploaded_static_audited,computation_source,RA-ARITH-003;RA-MOTIF-006;RA-PRED-001;RA-PRED-002,src/RA_AQFT/RA_RASM_Verification.py,2fdedcec0f8019896c8f3e6d800f98234a23379f35ef15ed8c08756a657c4da1,,/mnt/data/RA_python_computation_sources_Apr28_2026.zip,Broad verification harness; mixes native algebraic identities with hybrid/PDG checks.,"Stage B Python audit Apr28 2026; upsert candidate, not automatically active proof support."
ART-PY-antichain_drift,antichain_drift.py,py,uploaded_static_audited,computation_source,RA-GRAV-007;RA-OPEN-004;RA-PRED-005,src/RA_AQFT/antichain_drift.py,29530a5bb0b82db4a79feb35a48d0879d2997c117690261b43efcf04001d6094,,/mnt/data/RA_python_computation_sources_Apr28_2026.zip,Seeded antichain-drift computation; supports local drift statistic and expansion-environment targets.,"Stage B Python audit Apr28 2026; upsert candidate, not automatically active proof support."
ART-PY-bdg_multicoupling,bdg_multicoupling.py,py,uploaded_static_audited,computation_source,RA-OPEN-001;RA-OPEN-002,src/RA_AQFT/bdg_multicoupling.py,a695904d71644d77ff39c301720de59f7e3f3d5defe56cb839c95fb5102c515f,,/mnt/data/RA_python_computation_sources_Apr28_2026.zip,Depth-level force/coupling model; conceptually rich but bridge-heavy and not an active proof.,"Stage B Python audit Apr28 2026; upsert candidate, not automatically active proof support."
ART-PY-berry_bridge,berry_bridge.py,py,uploaded_static_audited,computation_source,,src/RA_AQFT/berry_bridge.py,6030a1d42dbb55aa7df4677fcccbf1ebcde92400cfe8be8d2743ac66f5554f1e,,/mnt/data/RA_python_computation_sources_Apr28_2026.zip,"Berry/spin bridge; keep as restoration/cartography source, not active proof.","Stage B Python audit Apr28 2026; upsert candidate, not automatically active proof support."
ART-PY-berry_computation,berry_computation.py,py,uploaded_static_audited,computation_source,,src/RA_AQFT/berry_computation.py,a289e23e6ee1a73156b59fc6e52eb9a0dfa056ed543cb4fdcaa07171a01d6d0c,,/mnt/data/RA_python_computation_sources_Apr28_2026.zip,Berry phase computation with boundary-coupled BDG action; restoration candidate only.,"Stage B Python audit Apr28 2026; upsert candidate, not automatically active proof support."
