claim_id,claim_name,claim_node_type,artifact_id,filename,artifact_type,relation,source_span,verification_status,notes,node_type,type
RA-SIM-NATIVE-CERT-CALIB-001,Native-overlap family-semantics signal carriers can be audited independently of new simulator semantics,claim,ART-SIM-NATIVE-CERT-CALIB-SOURCE-v0_9_2,ra_native_overlap_calibration_audit.py,py,analysis_anchor,,packet_local_validated_pending_canonical,manual v0.5 schema application recommended,claim,claim_artifact_edge
RA-SIM-NATIVE-CERT-CALIB-001,Native-overlap family-semantics signal carriers can be audited independently of new simulator semantics,claim,ART-SIM-NATIVE-CERT-CALIB-README-v0_9_2,README_RA_CausalDAG_MotifCommitSimulator_v0_9_2_NativeOverlapCalibration_May05_2026.md,md,analysis_anchor,,packet_local_validated_pending_canonical,manual v0.5 schema application recommended,claim,claim_artifact_edge
RA-SIM-NATIVE-CERT-CALIB-001,Native-overlap family-semantics signal carriers can be audited independently of new simulator semantics,claim,ART-SIM-NATIVE-CERT-CALIB-REPORT-v0_9_2,RA_CausalDAG_MotifCommitSimulator_v0_9_2_NativeOverlapCalibration_Report_May05_2026.md,md,analysis_anchor,,packet_local_validated_pending_canonical,manual v0.5 schema application recommended,claim,claim_artifact_edge
RA-SIM-NATIVE-CERT-CALIB-001,Native-overlap family-semantics signal carriers can be audited independently of new simulator semantics,claim,ART-SIM-NATIVE-CERT-CALIB-VALIDATION-v0_9_2,validation_unittest_v0_9_2.log,log,analysis_anchor,,packet_local_validated_pending_canonical,manual v0.5 schema application recommended,claim,claim_artifact_edge
RA-SIM-NATIVE-CERT-CALIB-002,Native-overlap bins can be calibrated against external certificate-correlation baselines,claim,ART-SIM-NATIVE-CERT-CALIB-SOURCE-v0_9_2,ra_native_overlap_calibration_audit.py,py,analysis_anchor,,packet_local_validated_pending_canonical,manual v0.5 schema application recommended,claim,claim_artifact_edge
RA-SIM-NATIVE-CERT-CALIB-002,Native-overlap bins can be calibrated against external certificate-correlation baselines,claim,ART-SIM-NATIVE-CERT-CALIB-README-v0_9_2,README_RA_CausalDAG_MotifCommitSimulator_v0_9_2_NativeOverlapCalibration_May05_2026.md,md,analysis_anchor,,packet_local_validated_pending_canonical,manual v0.5 schema application recommended,claim,claim_artifact_edge
RA-SIM-NATIVE-CERT-CALIB-002,Native-overlap bins can be calibrated against external certificate-correlation baselines,claim,ART-SIM-NATIVE-CERT-CALIB-REPORT-v0_9_2,RA_CausalDAG_MotifCommitSimulator_v0_9_2_NativeOverlapCalibration_Report_May05_2026.md,md,analysis_anchor,,packet_local_validated_pending_canonical,manual v0.5 schema application recommended,claim,claim_artifact_edge
RA-SIM-NATIVE-CERT-CALIB-003,v0.9.2 identifies candidate support-family semantics for v1.0 native-certificate anchoring,claim,ART-SIM-NATIVE-CERT-CALIB-SOURCE-v0_9_2,ra_native_overlap_calibration_audit.py,py,analysis_anchor,,packet_local_validated_pending_canonical,manual v0.5 schema application recommended,claim,claim_artifact_edge
RA-SIM-NATIVE-CERT-CALIB-003,v0.9.2 identifies candidate support-family semantics for v1.0 native-certificate anchoring,claim,ART-SIM-NATIVE-CERT-CALIB-README-v0_9_2,README_RA_CausalDAG_MotifCommitSimulator_v0_9_2_NativeOverlapCalibration_May05_2026.md,md,analysis_anchor,,packet_local_validated_pending_canonical,manual v0.5 schema application recommended,claim,claim_artifact_edge
RA-SIM-NATIVE-CERT-CALIB-003,v0.9.2 identifies candidate support-family semantics for v1.0 native-certificate anchoring,claim,ART-SIM-NATIVE-CERT-CALIB-REPORT-v0_9_2,RA_CausalDAG_MotifCommitSimulator_v0_9_2_NativeOverlapCalibration_Report_May05_2026.md,md,analysis_anchor,,packet_local_validated_pending_canonical,manual v0.5 schema application recommended,claim,claim_artifact_edge
RA-SIM-NATIVE-CERT-CALIB-003,v0.9.2 identifies candidate support-family semantics for v1.0 native-certificate anchoring,claim,ART-SIM-NATIVE-CERT-CALIB-SUMMARY-v0_9_2,ra_native_overlap_v1_candidate_summary_v0_9_2.md,md,analysis_anchor,,packet_local_validated_pending_canonical,manual v0.5 schema application recommended,claim,claim_artifact_edge
