src,dst,kind,src_node_type,dst_node_type,src_name,dst_name
RA-MOTIF-NATIVE-CERT-COMPONENTS-001,RA-MOTIF-NATIVE-CERT-OVERLAP-001,proof_dependency,claim,claim,Native certificate-component contexts refine native-overlap certified-family readiness,Native certificate-overlap contexts refine certified support families
RA-SIM-NATIVE-CERT-ANCHOR-001,RA-SIM-NATIVE-CERT-OVERLAP-001,proof_dependency,claim,claim,v1.0 packages native certificate-overlap components into an anchoring profile,Native overlap can induce effective certificate correlation
RA-SIM-NATIVE-CERT-ANCHOR-001,RA-SIM-NATIVE-CERT-OVERLAP-002,proof_dependency,claim,claim,v1.0 packages native certificate-overlap components into an anchoring profile,Certification rescue decreases with native witness overlap
RA-SIM-NATIVE-CERT-ANCHOR-001,RA-SIM-NATIVE-CERT-ROBUST-001,proof_dependency,claim,claim,v1.0 packages native certificate-overlap components into an anchoring profile,Native certificate-overlap rescue is robust under component-ablation analysis
RA-SIM-NATIVE-CERT-ANCHOR-001,RA-MOTIF-NATIVE-CERT-COMPONENTS-001,proof_dependency,claim,claim,v1.0 packages native certificate-overlap components into an anchoring profile,Native certificate-component contexts refine native-overlap certified-family readiness
RA-SIM-NATIVE-CERT-ANCHOR-002,RA-SIM-NATIVE-CERT-CALIB-002,proof_dependency,claim,claim,v1.0 records augmented_exact_k as primary signal-carrier and at_least_k as monotone guardrail,Native-overlap bins can be calibrated against external certificate-correlation baselines
RA-SIM-NATIVE-CERT-ANCHOR-002,RA-SIM-NATIVE-CERT-CALIB-003,proof_dependency,claim,claim,v1.0 records augmented_exact_k as primary signal-carrier and at_least_k as monotone guardrail,v0.9.2 identifies candidate support-family semantics for v1.0 native-certificate anchoring
RA-SIM-NATIVE-CERT-ANCHOR-002,RA-SIM-NATIVE-CERT-ANCHOR-001,proof_dependency,claim,claim,v1.0 records augmented_exact_k as primary signal-carrier and at_least_k as monotone guardrail,v1.0 packages native certificate-overlap components into an anchoring profile
RA-SIM-NATIVE-CERT-ANCHOR-003,RA-SIM-NATIVE-CERT-CALIB-001,proof_dependency,claim,claim,"v1.0 native-overlap calibration to external scale remains qualitative, not absolute",Native-overlap family-semantics signal carriers can be audited independently of new simulator semantics
RA-SIM-NATIVE-CERT-ANCHOR-003,RA-SIM-NATIVE-CERT-CALIB-002,proof_dependency,claim,claim,"v1.0 native-overlap calibration to external scale remains qualitative, not absolute",Native-overlap bins can be calibrated against external certificate-correlation baselines
RA-SIM-NATIVE-CERT-ANCHOR-003,RA-SIM-NATIVE-CERT-ANCHOR-001,proof_dependency,claim,claim,"v1.0 native-overlap calibration to external scale remains qualitative, not absolute",v1.0 packages native certificate-overlap components into an anchoring profile
RA-SIM-NATIVE-CERT-ANCHOR-METHOD-001,RA-METHOD-001,interpretive_dependency,framing,framing,Native certificate anchoring is component-level and qualitative until BDG-LLC derivation,RA framing discipline
RA-SIM-NATIVE-CERT-ANCHOR-METHOD-001,RA-METHOD-002,interpretive_dependency,framing,framing,Native certificate anchoring is component-level and qualitative until BDG-LLC derivation,RA Nature-target discipline
RA-SIM-NATIVE-CERT-ANCHOR-METHOD-001,RA-SIM-CERT-CORRELATION-METHOD-001,interpretive_dependency,framing,framing,Native certificate anchoring is component-level and qualitative until BDG-LLC derivation,Certificate-correlation analyses are operational diagnostics
RA-SIM-NATIVE-CERT-ANCHOR-METHOD-001,RA-SIM-NATIVE-CERT-OVERLAP-METHOD-001,interpretive_dependency,framing,framing,Native certificate anchoring is component-level and qualitative until BDG-LLC derivation,"Native certificate overlap is an operational bridge, not a final law"
RA-SIM-NATIVE-CERT-ANCHOR-METHOD-001,RA-SIM-NATIVE-CERT-ROBUST-METHOD-001,interpretive_dependency,framing,framing,Native certificate anchoring is component-level and qualitative until BDG-LLC derivation,"Native overlap robustness analyses are diagnostic, not derived overlap laws"
RA-SIM-NATIVE-CERT-ANCHOR-METHOD-001,RA-SIM-NATIVE-CERT-CALIB-METHOD-001,interpretive_dependency,framing,framing,Native certificate anchoring is component-level and qualitative until BDG-LLC derivation,"Native-overlap calibration is diagnostic, not a final overlap law"
