module,anchor_name,kind,layer,refines_into,controlling_claim_id,notes
RA_MotifCertificationResilienceConsolidation,DAGStrictParentRescueAt,definition,1,DAGFamilyInternalResilienceAt;DAGCertifiedFamilyReadyAt;DAGFamilyReadyAt,RA-MOTIF-CERT-RESILIENCE-CONSOL-001,Strict-parent rescue: parent cut not ready while an independently certified family member is ready.
RA_MotifCertificationResilienceConsolidation,DAGFamilyInternalResilienceAt,definition,1,DAGCertifiedFamilyReadyAt,RA-MOTIF-CERT-RESILIENCE-CONSOL-001,Family-internal resilience: some independently certified family member is ready (no requirement that parent failed first).
RA_MotifCertificationResilienceConsolidation,DAGStrictParentRescueAt.to_family_internal_resilience,theorem,1,DAGFamilyInternalResilienceAt,RA-MOTIF-CERT-RESILIENCE-CONSOL-001,Strict-parent rescue refines into family-internal resilience.
RA_MotifCertificationResilienceConsolidation,DAGStrictParentRescueAt.parent_not_ready,theorem,1,(parent not ready),RA-MOTIF-CERT-RESILIENCE-CONSOL-001,Records that the strict-parent rescue branch carries the parent-failure component.
RA_MotifCertificationResilienceConsolidation,DAGStrictParentRescueAt.to_certified_family_ready,theorem,1,DAGCertifiedFamilyReadyAt,RA-MOTIF-CERT-RESILIENCE-CONSOL-001,Strict-parent rescue refines to certified-family readiness via family-internal resilience.
RA_MotifCertificationResilienceConsolidation,DAGStrictParentRescueAt.to_family_ready,theorem,1,DAGFamilyReadyAt,RA-MOTIF-CERT-RESILIENCE-CONSOL-001,Strict-parent rescue refines to ordinary family readiness.
RA_MotifCertificationResilienceConsolidation,DAGFamilyInternalResilienceAt.to_certified_family_ready,theorem,1,DAGCertifiedFamilyReadyAt,RA-MOTIF-CERT-RESILIENCE-CONSOL-001,Family-internal resilience refines to certified-family readiness.
RA_MotifCertificationResilienceConsolidation,DAGFamilyInternalResilienceAt.future_mono,theorem,1,(future-mono on DAG.precedes),RA-MOTIF-CERT-RESILIENCE-CONSOL-001,Family-internal resilience is preserved along DAG precedence.
RA_MotifCertificationResilienceConsolidation,GraphStrictParentRescueAt,definition,1,GraphFamilyInternalResilienceAt;GraphCertifiedFamilyReadyAt;GraphFamilyReadyAt,RA-MOTIF-CERT-RESILIENCE-CONSOL-001,Graph-layer strict-parent rescue (parallel to DAG variant).
RA_MotifCertificationResilienceConsolidation,GraphFamilyInternalResilienceAt,definition,1,GraphCertifiedFamilyReadyAt,RA-MOTIF-CERT-RESILIENCE-CONSOL-001,Graph-layer family-internal resilience.
RA_MotifCertificationResilienceConsolidation,GraphStrictParentRescueAt.to_family_internal_resilience,theorem,1,GraphFamilyInternalResilienceAt,RA-MOTIF-CERT-RESILIENCE-CONSOL-001,Graph variant of strict-parent rescue refinement.
RA_MotifCertificationResilienceConsolidation,GraphStrictParentRescueAt.parent_not_ready,theorem,1,(parent not ready),RA-MOTIF-CERT-RESILIENCE-CONSOL-001,Graph variant of parent-not-ready accessor.
RA_MotifCertificationResilienceConsolidation,GraphStrictParentRescueAt.to_certified_family_ready,theorem,1,GraphCertifiedFamilyReadyAt,RA-MOTIF-CERT-RESILIENCE-CONSOL-001,Graph variant of certified-family readiness refinement.
RA_MotifCertificationResilienceConsolidation,GraphStrictParentRescueAt.to_family_ready,theorem,1,GraphFamilyReadyAt,RA-MOTIF-CERT-RESILIENCE-CONSOL-001,Graph variant of family-readiness refinement.
RA_MotifCertificationResilienceConsolidation,GraphFamilyInternalResilienceAt.to_certified_family_ready,theorem,1,GraphCertifiedFamilyReadyAt,RA-MOTIF-CERT-RESILIENCE-CONSOL-001,Graph variant of family-internal resilience refinement.
RA_MotifCertificationResilienceConsolidation,GraphFamilyInternalResilienceAt.future_mono,theorem,1,(future-mono on Graph.Reachable),RA-MOTIF-CERT-RESILIENCE-CONSOL-001,Graph variant of family-internal resilience future-monotonicity.
RA_MotifCertificateCorrelationBridge,DAGCertificateFateContext,structure,2,(none),RA-MOTIF-CERT-CORRELATION-BRIDGE-001,Type-valued certificate-fate vocabulary: coupled relation with reflexivity / symmetry / cert_equiv_of_coupled.
RA_MotifCertificateCorrelationBridge,DAGSharedFateFamily,definition,2,(coupled is universal),RA-MOTIF-CERT-CORRELATION-BRIDGE-001,Fully-shared certificate-fate endpoint marker.
RA_MotifCertificateCorrelationBridge,DAGMemberDistinctFates,definition,2,(member-distinct marker),RA-MOTIF-CERT-CORRELATION-BRIDGE-001,Member-distinct certificate-fate endpoint marker (with the underlying Ξ.member_distinct flag exposed).
RA_MotifCertificateCorrelationBridge,DAGWeaklySharedFates,definition,2,(qualitative middle range),RA-MOTIF-CERT-CORRELATION-BRIDGE-001,Qualitative marker between member-distinct and shared-fate; presently the trivial proposition.
RA_MotifCertificateCorrelationBridge,DAGCertificateSharingPreorder,structure,2,(none),RA-MOTIF-CERT-CORRELATION-BRIDGE-001,Placeholder for future qualitative ordering on certificate-fate contexts.
RA_MotifCertificateCorrelationBridge,DAGSharedFateFamily.cert_equiv,theorem,2,(certifies equivalence),RA-MOTIF-CERT-CORRELATION-BRIDGE-001,In a shared-fate family any two members have equivalent certification status.
RA_MotifCertificateCorrelationBridge,DAGSharedFateFamily.certifies_iff_parent,theorem,2,(certifies parent equivalence),RA-MOTIF-CERT-CORRELATION-BRIDGE-001,Shared-fate collapses every family member to the parent member's certification status.
RA_MotifCertificateCorrelationBridge,DAGMemberDistinctCertificateResilienceAt,definition,2,DAGFamilyInternalResilienceAt;DAGCertifiedFamilyReadyAt,RA-MOTIF-CERT-CORRELATION-BRIDGE-001,Member-distinct fates plus family-internal resilience.
RA_MotifCertificateCorrelationBridge,DAGSharedFateResilienceAt,definition,2,DAGFamilyInternalResilienceAt;DAGCertifiedFamilyReadyAt,RA-MOTIF-CERT-CORRELATION-BRIDGE-001,Shared-fate fates plus family-internal resilience.
RA_MotifCertificateCorrelationBridge,DAGMemberDistinctCertificateResilienceAt.future_mono,theorem,2,(future-mono on DAG.precedes),RA-MOTIF-CERT-CORRELATION-BRIDGE-001,Member-distinct certificate resilience inherits future-monotonicity from family-internal resilience.
RA_MotifCertificateCorrelationBridge,GraphCertificateFateContext,structure,2,(none),RA-MOTIF-CERT-CORRELATION-BRIDGE-001,Graph-layer certificate-fate vocabulary.
RA_MotifCertificateCorrelationBridge,GraphSharedFateFamily,definition,2,(coupled is universal on graph cuts),RA-MOTIF-CERT-CORRELATION-BRIDGE-001,Graph-layer shared-fate endpoint.
RA_MotifCertificateCorrelationBridge,GraphMemberDistinctFates,definition,2,(member-distinct marker on graph cuts),RA-MOTIF-CERT-CORRELATION-BRIDGE-001,Graph-layer member-distinct endpoint.
