site,component_id,candidates,selected,rejected,stalemate,reason,selector_mode,selector_tie_policy
1,0,"[""choice_A_1"", ""choice_B_1""]","[""choice_A_1""]","[""choice_B_1""]",False,greedy_compatible_subset_selected,greedy,lexicographic
1,1,"[""genesis_seed""]","[""genesis_seed""]",[],False,singleton_component_selected,greedy,lexicographic
1,2,"[""renewal_1""]","[""renewal_1""]",[],False,singleton_component_selected,greedy,lexicographic
2,0,"[""choice_A_1"", ""choice_B_1""]","[""choice_A_1""]","[""choice_B_1""]",False,greedy_compatible_subset_selected,greedy,lexicographic
2,1,"[""choice_A_2"", ""choice_B_2""]","[""choice_A_2""]","[""choice_B_2""]",False,greedy_compatible_subset_selected,greedy,lexicographic
2,2,"[""genesis_seed""]","[""genesis_seed""]",[],False,singleton_component_selected,greedy,lexicographic
2,3,"[""renewal_1""]","[""renewal_1""]",[],False,singleton_component_selected,greedy,lexicographic
2,4,"[""renewal_2""]","[""renewal_2""]",[],False,singleton_component_selected,greedy,lexicographic
3,0,"[""choice_A_1"", ""choice_B_1""]","[""choice_A_1""]","[""choice_B_1""]",False,greedy_compatible_subset_selected,greedy,lexicographic
3,1,"[""choice_A_2"", ""choice_B_2""]","[""choice_A_2""]","[""choice_B_2""]",False,greedy_compatible_subset_selected,greedy,lexicographic
3,2,"[""genesis_seed""]","[""genesis_seed""]",[],False,singleton_component_selected,greedy,lexicographic
3,3,"[""renewal_1""]","[""renewal_1""]",[],False,singleton_component_selected,greedy,lexicographic
3,4,"[""renewal_2""]","[""renewal_2""]",[],False,singleton_component_selected,greedy,lexicographic
3,5,"[""renewal_3""]","[""renewal_3""]",[],False,singleton_component_selected,greedy,lexicographic
4,0,"[""choice_A_1"", ""choice_B_1""]","[""choice_A_1""]","[""choice_B_1""]",False,greedy_compatible_subset_selected,greedy,lexicographic
4,1,"[""choice_A_2"", ""choice_B_2""]","[""choice_A_2""]","[""choice_B_2""]",False,greedy_compatible_subset_selected,greedy,lexicographic
4,2,"[""genesis_seed""]","[""genesis_seed""]",[],False,singleton_component_selected,greedy,lexicographic
4,3,"[""renewal_1""]","[""renewal_1""]",[],False,singleton_component_selected,greedy,lexicographic
4,4,"[""renewal_2""]","[""renewal_2""]",[],False,singleton_component_selected,greedy,lexicographic
4,5,"[""renewal_3""]","[""renewal_3""]",[],False,singleton_component_selected,greedy,lexicographic
4,6,"[""renewal_4""]","[""renewal_4""]",[],False,singleton_component_selected,greedy,lexicographic
5,0,"[""choice_A_1"", ""choice_B_1""]","[""choice_A_1""]","[""choice_B_1""]",False,greedy_compatible_subset_selected,greedy,lexicographic
5,1,"[""choice_A_2"", ""choice_B_2""]","[""choice_A_2""]","[""choice_B_2""]",False,greedy_compatible_subset_selected,greedy,lexicographic
5,2,"[""genesis_seed""]","[""genesis_seed""]",[],False,singleton_component_selected,greedy,lexicographic
5,3,"[""renewal_1""]","[""renewal_1""]",[],False,singleton_component_selected,greedy,lexicographic
5,4,"[""renewal_2""]","[""renewal_2""]",[],False,singleton_component_selected,greedy,lexicographic
5,5,"[""renewal_3""]","[""renewal_3""]",[],False,singleton_component_selected,greedy,lexicographic
5,6,"[""renewal_4""]","[""renewal_4""]",[],False,singleton_component_selected,greedy,lexicographic
5,7,"[""renewal_5""]","[""renewal_5""]",[],False,singleton_component_selected,greedy,lexicographic
6,0,"[""choice_A_1"", ""choice_B_1""]","[""choice_A_1""]","[""choice_B_1""]",False,greedy_compatible_subset_selected,greedy,lexicographic
6,1,"[""choice_A_2"", ""choice_B_2""]","[""choice_A_2""]","[""choice_B_2""]",False,greedy_compatible_subset_selected,greedy,lexicographic
6,2,"[""genesis_seed""]","[""genesis_seed""]",[],False,singleton_component_selected,greedy,lexicographic
6,3,"[""renewal_1""]","[""renewal_1""]",[],False,singleton_component_selected,greedy,lexicographic
6,4,"[""renewal_2""]","[""renewal_2""]",[],False,singleton_component_selected,greedy,lexicographic
6,5,"[""renewal_3""]","[""renewal_3""]",[],False,singleton_component_selected,greedy,lexicographic
6,6,"[""renewal_4""]","[""renewal_4""]",[],False,singleton_component_selected,greedy,lexicographic
6,7,"[""renewal_5""]","[""renewal_5""]",[],False,singleton_component_selected,greedy,lexicographic
6,8,"[""renewal_6""]","[""renewal_6""]",[],False,singleton_component_selected,greedy,lexicographic
7,0,"[""choice_A_1"", ""choice_B_1""]","[""choice_A_1""]","[""choice_B_1""]",False,greedy_compatible_subset_selected,greedy,lexicographic
7,1,"[""choice_A_2"", ""choice_B_2""]","[""choice_A_2""]","[""choice_B_2""]",False,greedy_compatible_subset_selected,greedy,lexicographic
7,2,"[""genesis_seed""]","[""genesis_seed""]",[],False,singleton_component_selected,greedy,lexicographic
7,3,"[""renewal_1""]","[""renewal_1""]",[],False,singleton_component_selected,greedy,lexicographic
7,4,"[""renewal_2""]","[""renewal_2""]",[],False,singleton_component_selected,greedy,lexicographic
7,5,"[""renewal_3""]","[""renewal_3""]",[],False,singleton_component_selected,greedy,lexicographic
7,6,"[""renewal_4""]","[""renewal_4""]",[],False,singleton_component_selected,greedy,lexicographic
7,7,"[""renewal_5""]","[""renewal_5""]",[],False,singleton_component_selected,greedy,lexicographic
7,8,"[""renewal_6""]","[""renewal_6""]",[],False,singleton_component_selected,greedy,lexicographic
7,9,"[""renewal_7""]","[""renewal_7""]",[],False,singleton_component_selected,greedy,lexicographic
8,0,"[""choice_A_1"", ""choice_B_1""]","[""choice_A_1""]","[""choice_B_1""]",False,greedy_compatible_subset_selected,greedy,lexicographic
8,1,"[""choice_A_2"", ""choice_B_2""]","[""choice_A_2""]","[""choice_B_2""]",False,greedy_compatible_subset_selected,greedy,lexicographic
8,2,"[""genesis_seed""]","[""genesis_seed""]",[],False,singleton_component_selected,greedy,lexicographic
8,3,"[""renewal_1""]","[""renewal_1""]",[],False,singleton_component_selected,greedy,lexicographic
8,4,"[""renewal_2""]","[""renewal_2""]",[],False,singleton_component_selected,greedy,lexicographic
8,5,"[""renewal_3""]","[""renewal_3""]",[],False,singleton_component_selected,greedy,lexicographic
8,6,"[""renewal_4""]","[""renewal_4""]",[],False,singleton_component_selected,greedy,lexicographic
8,7,"[""renewal_5""]","[""renewal_5""]",[],False,singleton_component_selected,greedy,lexicographic
8,8,"[""renewal_6""]","[""renewal_6""]",[],False,singleton_component_selected,greedy,lexicographic
8,9,"[""renewal_7""]","[""renewal_7""]",[],False,singleton_component_selected,greedy,lexicographic
8,10,"[""renewal_8""]","[""renewal_8""]",[],False,singleton_component_selected,greedy,lexicographic
9,0,"[""choice_A_1"", ""choice_B_1""]","[""choice_A_1""]","[""choice_B_1""]",False,greedy_compatible_subset_selected,greedy,lexicographic
9,1,"[""choice_A_2"", ""choice_B_2""]","[""choice_A_2""]","[""choice_B_2""]",False,greedy_compatible_subset_selected,greedy,lexicographic
9,2,"[""genesis_seed""]","[""genesis_seed""]",[],False,singleton_component_selected,greedy,lexicographic
9,3,"[""renewal_1""]","[""renewal_1""]",[],False,singleton_component_selected,greedy,lexicographic
9,4,"[""renewal_2""]","[""renewal_2""]",[],False,singleton_component_selected,greedy,lexicographic
9,5,"[""renewal_3""]","[""renewal_3""]",[],False,singleton_component_selected,greedy,lexicographic
9,6,"[""renewal_4""]","[""renewal_4""]",[],False,singleton_component_selected,greedy,lexicographic
9,7,"[""renewal_5""]","[""renewal_5""]",[],False,singleton_component_selected,greedy,lexicographic
9,8,"[""renewal_6""]","[""renewal_6""]",[],False,singleton_component_selected,greedy,lexicographic
9,9,"[""renewal_7""]","[""renewal_7""]",[],False,singleton_component_selected,greedy,lexicographic
9,10,"[""renewal_8""]","[""renewal_8""]",[],False,singleton_component_selected,greedy,lexicographic
9,11,"[""renewal_9""]","[""renewal_9""]",[],False,singleton_component_selected,greedy,lexicographic
10,0,"[""choice_A_1"", ""choice_B_1""]","[""choice_A_1""]","[""choice_B_1""]",False,greedy_compatible_subset_selected,greedy,lexicographic
10,1,"[""choice_A_2"", ""choice_B_2""]","[""choice_A_2""]","[""choice_B_2""]",False,greedy_compatible_subset_selected,greedy,lexicographic
10,2,"[""genesis_seed""]","[""genesis_seed""]",[],False,singleton_component_selected,greedy,lexicographic
10,3,"[""renewal_1""]","[""renewal_1""]",[],False,singleton_component_selected,greedy,lexicographic
10,4,"[""renewal_10""]","[""renewal_10""]",[],False,singleton_component_selected,greedy,lexicographic
10,5,"[""renewal_2""]","[""renewal_2""]",[],False,singleton_component_selected,greedy,lexicographic
10,6,"[""renewal_3""]","[""renewal_3""]",[],False,singleton_component_selected,greedy,lexicographic
10,7,"[""renewal_4""]","[""renewal_4""]",[],False,singleton_component_selected,greedy,lexicographic
10,8,"[""renewal_5""]","[""renewal_5""]",[],False,singleton_component_selected,greedy,lexicographic
10,9,"[""renewal_6""]","[""renewal_6""]",[],False,singleton_component_selected,greedy,lexicographic
10,10,"[""renewal_7""]","[""renewal_7""]",[],False,singleton_component_selected,greedy,lexicographic
10,11,"[""renewal_8""]","[""renewal_8""]",[],False,singleton_component_selected,greedy,lexicographic
10,12,"[""renewal_9""]","[""renewal_9""]",[],False,singleton_component_selected,greedy,lexicographic
11,0,"[""choice_A_1"", ""choice_B_1""]","[""choice_A_1""]","[""choice_B_1""]",False,greedy_compatible_subset_selected,greedy,lexicographic
11,1,"[""choice_A_2"", ""choice_B_2""]","[""choice_A_2""]","[""choice_B_2""]",False,greedy_compatible_subset_selected,greedy,lexicographic
11,2,"[""genesis_seed""]","[""genesis_seed""]",[],False,singleton_component_selected,greedy,lexicographic
11,3,"[""renewal_1""]","[""renewal_1""]",[],False,singleton_component_selected,greedy,lexicographic
11,4,"[""renewal_10""]","[""renewal_10""]",[],False,singleton_component_selected,greedy,lexicographic
11,5,"[""renewal_11""]","[""renewal_11""]",[],False,singleton_component_selected,greedy,lexicographic
11,6,"[""renewal_2""]","[""renewal_2""]",[],False,singleton_component_selected,greedy,lexicographic
11,7,"[""renewal_3""]","[""renewal_3""]",[],False,singleton_component_selected,greedy,lexicographic
11,8,"[""renewal_4""]","[""renewal_4""]",[],False,singleton_component_selected,greedy,lexicographic
11,9,"[""renewal_5""]","[""renewal_5""]",[],False,singleton_component_selected,greedy,lexicographic
11,10,"[""renewal_6""]","[""renewal_6""]",[],False,singleton_component_selected,greedy,lexicographic
11,11,"[""renewal_7""]","[""renewal_7""]",[],False,singleton_component_selected,greedy,lexicographic
11,12,"[""renewal_8""]","[""renewal_8""]",[],False,singleton_component_selected,greedy,lexicographic
11,13,"[""renewal_9""]","[""renewal_9""]",[],False,singleton_component_selected,greedy,lexicographic
12,0,"[""choice_A_1"", ""choice_B_1""]","[""choice_A_1""]","[""choice_B_1""]",False,greedy_compatible_subset_selected,greedy,lexicographic
12,1,"[""choice_A_2"", ""choice_B_2""]","[""choice_A_2""]","[""choice_B_2""]",False,greedy_compatible_subset_selected,greedy,lexicographic
12,2,"[""genesis_seed""]","[""genesis_seed""]",[],False,singleton_component_selected,greedy,lexicographic
12,3,"[""renewal_1""]","[""renewal_1""]",[],False,singleton_component_selected,greedy,lexicographic
12,4,"[""renewal_10""]","[""renewal_10""]",[],False,singleton_component_selected,greedy,lexicographic
12,5,"[""renewal_11""]","[""renewal_11""]",[],False,singleton_component_selected,greedy,lexicographic
12,6,"[""renewal_12""]","[""renewal_12""]",[],False,singleton_component_selected,greedy,lexicographic
12,7,"[""renewal_2""]","[""renewal_2""]",[],False,singleton_component_selected,greedy,lexicographic
12,8,"[""renewal_3""]","[""renewal_3""]",[],False,singleton_component_selected,greedy,lexicographic
12,9,"[""renewal_4""]","[""renewal_4""]",[],False,singleton_component_selected,greedy,lexicographic
12,10,"[""renewal_5""]","[""renewal_5""]",[],False,singleton_component_selected,greedy,lexicographic
12,11,"[""renewal_6""]","[""renewal_6""]",[],False,singleton_component_selected,greedy,lexicographic
12,12,"[""renewal_7""]","[""renewal_7""]",[],False,singleton_component_selected,greedy,lexicographic
12,13,"[""renewal_8""]","[""renewal_8""]",[],False,singleton_component_selected,greedy,lexicographic
12,14,"[""renewal_9""]","[""renewal_9""]",[],False,singleton_component_selected,greedy,lexicographic
13,0,"[""choice_A_1"", ""choice_B_1""]","[""choice_A_1""]","[""choice_B_1""]",False,greedy_compatible_subset_selected,greedy,lexicographic
13,1,"[""choice_A_2"", ""choice_B_2""]","[""choice_A_2""]","[""choice_B_2""]",False,greedy_compatible_subset_selected,greedy,lexicographic
13,2,"[""genesis_seed""]","[""genesis_seed""]",[],False,singleton_component_selected,greedy,lexicographic
13,3,"[""renewal_1""]","[""renewal_1""]",[],False,singleton_component_selected,greedy,lexicographic
13,4,"[""renewal_10""]","[""renewal_10""]",[],False,singleton_component_selected,greedy,lexicographic
13,5,"[""renewal_11""]","[""renewal_11""]",[],False,singleton_component_selected,greedy,lexicographic
13,6,"[""renewal_12""]","[""renewal_12""]",[],False,singleton_component_selected,greedy,lexicographic
13,7,"[""renewal_13""]","[""renewal_13""]",[],False,singleton_component_selected,greedy,lexicographic
13,8,"[""renewal_2""]","[""renewal_2""]",[],False,singleton_component_selected,greedy,lexicographic
13,9,"[""renewal_3""]","[""renewal_3""]",[],False,singleton_component_selected,greedy,lexicographic
13,10,"[""renewal_4""]","[""renewal_4""]",[],False,singleton_component_selected,greedy,lexicographic
13,11,"[""renewal_5""]","[""renewal_5""]",[],False,singleton_component_selected,greedy,lexicographic
13,12,"[""renewal_6""]","[""renewal_6""]",[],False,singleton_component_selected,greedy,lexicographic
13,13,"[""renewal_7""]","[""renewal_7""]",[],False,singleton_component_selected,greedy,lexicographic
13,14,"[""renewal_8""]","[""renewal_8""]",[],False,singleton_component_selected,greedy,lexicographic
13,15,"[""renewal_9""]","[""renewal_9""]",[],False,singleton_component_selected,greedy,lexicographic
14,0,"[""choice_A_1"", ""choice_B_1""]","[""choice_A_1""]","[""choice_B_1""]",False,greedy_compatible_subset_selected,greedy,lexicographic
14,1,"[""choice_A_14"", ""choice_B_14""]","[""choice_A_14""]","[""choice_B_14""]",False,greedy_compatible_subset_selected,greedy,lexicographic
14,2,"[""choice_A_2"", ""choice_B_2""]","[""choice_A_2""]","[""choice_B_2""]",False,greedy_compatible_subset_selected,greedy,lexicographic
14,3,"[""genesis_seed""]","[""genesis_seed""]",[],False,singleton_component_selected,greedy,lexicographic
14,4,"[""renewal_1""]","[""renewal_1""]",[],False,singleton_component_selected,greedy,lexicographic
14,5,"[""renewal_10""]","[""renewal_10""]",[],False,singleton_component_selected,greedy,lexicographic
14,6,"[""renewal_11""]","[""renewal_11""]",[],False,singleton_component_selected,greedy,lexicographic
14,7,"[""renewal_12""]","[""renewal_12""]",[],False,singleton_component_selected,greedy,lexicographic
14,8,"[""renewal_13""]","[""renewal_13""]",[],False,singleton_component_selected,greedy,lexicographic
14,9,"[""renewal_14""]","[""renewal_14""]",[],False,singleton_component_selected,greedy,lexicographic
14,10,"[""renewal_2""]","[""renewal_2""]",[],False,singleton_component_selected,greedy,lexicographic
14,11,"[""renewal_3""]","[""renewal_3""]",[],False,singleton_component_selected,greedy,lexicographic
14,12,"[""renewal_4""]","[""renewal_4""]",[],False,singleton_component_selected,greedy,lexicographic
14,13,"[""renewal_5""]","[""renewal_5""]",[],False,singleton_component_selected,greedy,lexicographic
14,14,"[""renewal_6""]","[""renewal_6""]",[],False,singleton_component_selected,greedy,lexicographic
14,15,"[""renewal_7""]","[""renewal_7""]",[],False,singleton_component_selected,greedy,lexicographic
14,16,"[""renewal_8""]","[""renewal_8""]",[],False,singleton_component_selected,greedy,lexicographic
14,17,"[""renewal_9""]","[""renewal_9""]",[],False,singleton_component_selected,greedy,lexicographic
15,0,"[""choice_A_1"", ""choice_B_1""]","[""choice_A_1""]","[""choice_B_1""]",False,greedy_compatible_subset_selected,greedy,lexicographic
15,1,"[""choice_A_14"", ""choice_B_14""]","[""choice_A_14""]","[""choice_B_14""]",False,greedy_compatible_subset_selected,greedy,lexicographic
15,2,"[""choice_A_2"", ""choice_B_2""]","[""choice_A_2""]","[""choice_B_2""]",False,greedy_compatible_subset_selected,greedy,lexicographic
15,3,"[""genesis_seed""]","[""genesis_seed""]",[],False,singleton_component_selected,greedy,lexicographic
15,4,"[""renewal_1""]","[""renewal_1""]",[],False,singleton_component_selected,greedy,lexicographic
15,5,"[""renewal_10""]","[""renewal_10""]",[],False,singleton_component_selected,greedy,lexicographic
15,6,"[""renewal_11""]","[""renewal_11""]",[],False,singleton_component_selected,greedy,lexicographic
15,7,"[""renewal_12""]","[""renewal_12""]",[],False,singleton_component_selected,greedy,lexicographic
15,8,"[""renewal_13""]","[""renewal_13""]",[],False,singleton_component_selected,greedy,lexicographic
15,9,"[""renewal_14""]","[""renewal_14""]",[],False,singleton_component_selected,greedy,lexicographic
15,10,"[""renewal_15""]","[""renewal_15""]",[],False,singleton_component_selected,greedy,lexicographic
15,11,"[""renewal_2""]","[""renewal_2""]",[],False,singleton_component_selected,greedy,lexicographic
15,12,"[""renewal_3""]","[""renewal_3""]",[],False,singleton_component_selected,greedy,lexicographic
15,13,"[""renewal_4""]","[""renewal_4""]",[],False,singleton_component_selected,greedy,lexicographic
15,14,"[""renewal_5""]","[""renewal_5""]",[],False,singleton_component_selected,greedy,lexicographic
15,15,"[""renewal_6""]","[""renewal_6""]",[],False,singleton_component_selected,greedy,lexicographic
15,16,"[""renewal_7""]","[""renewal_7""]",[],False,singleton_component_selected,greedy,lexicographic
15,17,"[""renewal_8""]","[""renewal_8""]",[],False,singleton_component_selected,greedy,lexicographic
15,18,"[""renewal_9""]","[""renewal_9""]",[],False,singleton_component_selected,greedy,lexicographic
16,0,"[""choice_A_1"", ""choice_B_1""]","[""choice_A_1""]","[""choice_B_1""]",False,greedy_compatible_subset_selected,greedy,lexicographic
