claim_id,claim_name,claim_node_type,artifact_id,filename,artifact_type,relation,source_span,verification_status,notes
RA-OPEN-FRONTIER-NORMAL-FORM-001,Frontier/incidence normal form for actualization candidates,issue,ART-SEL-LEAN-RA_FrontierIncidence_v1,RA_FrontierIncidence_v1.lean,lean,formalization_scaffold,CandidatePast; Frontier; CandidateBoundaryData; FrontierNormalForm,lean_env_compile_confirmed_no_sorry_no_admit_no_axiom,Compile-confirmed frontier-normal-form vocabulary.
RA-OPEN-TOPOLOGICAL-LEDGER-001,Topological/incidence derivation of the RA ledger rule,issue,ART-SEL-LEAN-RA_FrontierIncidence_v1,RA_FrontierIncidence_v1.lean,lean,formalization_scaffold,IncidenceSign; SevenCharge; BoundaryLedger,lean_env_compile_confirmed_no_sorry_no_admit_no_axiom,Compile-confirmed incidence and boundary-ledger vocabulary; sign-source still open.
RA-OPEN-CHARGE-SIGN-001,Edge-level sign-source for signed N1 charge,issue,ART-SEL-LEAN-RA_FrontierIncidence_v1,RA_FrontierIncidence_v1.lean,lean,formalization_scaffold,IncidenceSign.toInt; SevenCharge; boundaryLedger_qN1_seven,lean_env_compile_confirmed_no_sorry_no_admit_no_axiom,Compile-confirmed seven-value boundary-ledger scaffold.
RA-OPEN-ACTUALIZATION-SELECTOR-001,RA-native actualization selector,issue,ART-SEL-LEAN-RA_FrontierIncidence_v1,RA_FrontierIncidence_v1.lean,lean,formalization_scaffold,FrontierConstraintClosureData; selectorFromFrontierClosureData,lean_env_compile_confirmed_no_sorry_no_admit_no_axiom,Compile-confirmed connection from frontier closure data to selector scaffold.
RA-OPEN-SELECTOR-CLOSURE-001,Selector Closure Theorem,issue,ART-SEL-LEAN-RA_FrontierIncidence_v1,RA_FrontierIncidence_v1.lean,lean,formalization_scaffold,weak_frontier_selector_closure,lean_env_compile_confirmed_no_sorry_no_admit_no_axiom,Compile-confirmed weak frontier selector closure theorem.
RA-OPEN-GROWTH-MEASURE-001,Derived growth measure as selector shadow,issue,ART-SEL-LEAN-RA_FrontierIncidence_v1,RA_FrontierIncidence_v1.lean,lean,formalization_scaffold,CandidateWeight; NormalFormInvariantWeight; same_weight_of_same_frontier_data,lean_env_compile_confirmed_no_sorry_no_admit_no_axiom,Compile-confirmed no-hidden-multiplicity/normal-form invariant-weight scaffold.
RA-OPEN-ACTUALIZATION-SELECTOR-001,RA-native actualization selector,issue,ART-SEL-LEAN-RA_ActualizationSelector_v1,RA_ActualizationSelector_v1.lean,lean,formalization_scaffold,import dependency for RA_FrontierIncidence_v1; selector vocabulary,lean_env_compile_confirmed_no_sorry_no_admit_no_axiom_import_root,Selector scaffold is compile-confirmed and provides the imported abstract selector layer for Frontier/Incidence formalization.
RA-OPEN-SELECTOR-CLOSURE-001,Selector Closure Theorem,issue,ART-SEL-LEAN-RA_ActualizationSelector_v1,RA_ActualizationSelector_v1.lean,lean,formalization_scaffold,import dependency for RA_FrontierIncidence_v1; selector vocabulary,lean_env_compile_confirmed_no_sorry_no_admit_no_axiom_import_root,Selector scaffold is compile-confirmed and provides the imported abstract selector layer for Frontier/Incidence formalization.
RA-OPEN-NO-HISTORY-QUOTIENT-001,No actual-history quotient principle,issue,ART-SEL-LEAN-RA_ActualizationSelector_v1,RA_ActualizationSelector_v1.lean,lean,formalization_scaffold,import dependency for RA_FrontierIncidence_v1; selector vocabulary,lean_env_compile_confirmed_no_sorry_no_admit_no_axiom_import_root,Selector scaffold is compile-confirmed and provides the imported abstract selector layer for Frontier/Incidence formalization.
RA-OPEN-FRONTIER-NORMAL-FORM-001,Frontier/incidence normal form for actualization candidates,issue,ART-SEL-LEAN-RA_ActualizationSelector_v1,RA_ActualizationSelector_v1.lean,lean,formalization_scaffold,import dependency for RA_FrontierIncidence_v1; selector vocabulary,lean_env_compile_confirmed_no_sorry_no_admit_no_axiom_import_root,Selector scaffold is compile-confirmed and provides the imported abstract selector layer for Frontier/Incidence formalization.
RA-OPEN-FRONTIER-NORMAL-FORM-001,Frontier/incidence normal form for actualization candidates,issue,ART-SEL-REPORT-FrontierIncidenceCompileConfirmed,RA_FrontierIncidence_CompileConfirmed_Report_Apr29_2026.md,md,compile_confirmation_report,entire report,generated_reviewed_user_compile_confirmed,Records local compile success and corrected Lake import/root workflow.
RA-OPEN-TOPOLOGICAL-LEDGER-001,Topological/incidence derivation of the RA ledger rule,issue,ART-SEL-REPORT-FrontierIncidenceCompileConfirmed,RA_FrontierIncidence_CompileConfirmed_Report_Apr29_2026.md,md,compile_confirmation_report,entire report,generated_reviewed_user_compile_confirmed,Records local compile success and corrected Lake import/root workflow.
RA-OPEN-CHARGE-SIGN-001,Edge-level sign-source for signed N1 charge,issue,ART-SEL-REPORT-FrontierIncidenceCompileConfirmed,RA_FrontierIncidence_CompileConfirmed_Report_Apr29_2026.md,md,compile_confirmation_report,entire report,generated_reviewed_user_compile_confirmed,Records local compile success and corrected Lake import/root workflow.
RA-OPEN-ACTUALIZATION-SELECTOR-001,RA-native actualization selector,issue,ART-SEL-REPORT-FrontierIncidenceCompileConfirmed,RA_FrontierIncidence_CompileConfirmed_Report_Apr29_2026.md,md,compile_confirmation_report,entire report,generated_reviewed_user_compile_confirmed,Records local compile success and corrected Lake import/root workflow.
RA-OPEN-SELECTOR-CLOSURE-001,Selector Closure Theorem,issue,ART-SEL-REPORT-FrontierIncidenceCompileConfirmed,RA_FrontierIncidence_CompileConfirmed_Report_Apr29_2026.md,md,compile_confirmation_report,entire report,generated_reviewed_user_compile_confirmed,Records local compile success and corrected Lake import/root workflow.
