claim_id,claim_name,claim_node_type,artifact_id,filename,artifact_type,relation,source_span,verification_status,notes,node_type,type
RA-MOTIF-SEVERANCE-001,Post-severance reachability profiles formalize causal-support disruption,claim,ART-RA-MOTIFCAUSALSEVERANCEBRIDGE-MAY04-2026,RA_MotifCausalSeveranceBridge.lean,lean,formal_anchor,,proposed_pending_manual_registry_update,v0.5 causal-severance packet proposal,claim,formal_anchor
RA-MOTIF-SEVERANCE-001,Post-severance reachability profiles formalize causal-support disruption,claim,ART-SIMULATOR-TO-LEAN-CAUSAL-SEVERANCE-V0-5-MAY04-2026,simulator_to_lean_causal_severance_v0_5.md,md,bridge_mapping,,proposed_pending_manual_registry_update,v0.5 causal-severance packet proposal,claim,bridge_mapping
RA-MOTIF-SEVERANCE-002,Destroyed support cuts are not ready after severance,claim,ART-RA-MOTIFCAUSALSEVERANCEBRIDGE-MAY04-2026,RA_MotifCausalSeveranceBridge.lean,lean,formal_anchor,,proposed_pending_manual_registry_update,v0.5 causal-severance packet proposal,claim,formal_anchor
RA-MOTIF-SEVERANCE-002,Destroyed support cuts are not ready after severance,claim,ART-SIMULATOR-TO-LEAN-CAUSAL-SEVERANCE-V0-5-MAY04-2026,simulator_to_lean_causal_severance_v0_5.md,md,bridge_mapping,,proposed_pending_manual_registry_update,v0.5 causal-severance packet proposal,claim,bridge_mapping
RA-MOTIF-SEVERANCE-003,Destroyed support blocks post-severance commitment,claim,ART-RA-MOTIFCAUSALSEVERANCEBRIDGE-MAY04-2026,RA_MotifCausalSeveranceBridge.lean,lean,formal_anchor,,proposed_pending_manual_registry_update,v0.5 causal-severance packet proposal,claim,formal_anchor
RA-MOTIF-SEVERANCE-003,Destroyed support blocks post-severance commitment,claim,ART-SIMULATOR-TO-LEAN-CAUSAL-SEVERANCE-V0-5-MAY04-2026,simulator_to_lean_causal_severance_v0_5.md,md,bridge_mapping,,proposed_pending_manual_registry_update,v0.5 causal-severance packet proposal,claim,bridge_mapping
RA-SIM-MOTIF-SEVERANCE-001,Causal-severance interventions operationalize support disruption,claim,ART-RA-CAUSAL-DAG-SIMULATOR-MAY04-2026,ra_causal_dag_simulator.py,python,simulation_source,,proposed_pending_manual_registry_update,v0.5 causal-severance packet proposal,claim,simulation_source
RA-SIM-MOTIF-SEVERANCE-001,Causal-severance interventions operationalize support disruption,claim,ART-VALIDATION-UNITTEST-V0-5-MAY04-2026,validation_unittest_v0_5.log,log,validation_log,,proposed_pending_manual_registry_update,v0.5 causal-severance packet proposal,claim,validation_log
RA-SIM-MOTIF-SEVERANCE-001,Causal-severance interventions operationalize support disruption,claim,ART-RA-CAUSALDAG-MOTIFCOMMITSIMULATOR-V0-5-MAY04-2026-REPORT-MAY04-2026,RA_CausalDAG_MotifCommitSimulator_v0_5_May04_2026_Report.md,md,simulator_report,,proposed_pending_manual_registry_update,v0.5 causal-severance packet proposal,claim,simulator_report
RA-SIM-MOTIF-SEVERANCE-002,Support loss and readiness loss are separately measured,claim,ART-RA-CAUSAL-DAG-SIMULATOR-MAY04-2026,ra_causal_dag_simulator.py,python,simulation_source,,proposed_pending_manual_registry_update,v0.5 causal-severance packet proposal,claim,simulation_source
RA-SIM-MOTIF-SEVERANCE-002,Support loss and readiness loss are separately measured,claim,ART-VALIDATION-UNITTEST-V0-5-MAY04-2026,validation_unittest_v0_5.log,log,validation_log,,proposed_pending_manual_registry_update,v0.5 causal-severance packet proposal,claim,validation_log
RA-SIM-MOTIF-SEVERANCE-002,Support loss and readiness loss are separately measured,claim,ART-RA-CAUSALDAG-MOTIFCOMMITSIMULATOR-V0-5-MAY04-2026-REPORT-MAY04-2026,RA_CausalDAG_MotifCommitSimulator_v0_5_May04_2026_Report.md,md,simulator_report,,proposed_pending_manual_registry_update,v0.5 causal-severance packet proposal,claim,simulator_report
RA-SIM-MOTIF-SEVERANCE-003,Finality-depth shift is measured under support disruption,claim,ART-RA-CAUSAL-DAG-SIMULATOR-MAY04-2026,ra_causal_dag_simulator.py,python,simulation_source,,proposed_pending_manual_registry_update,v0.5 causal-severance packet proposal,claim,simulation_source
RA-SIM-MOTIF-SEVERANCE-003,Finality-depth shift is measured under support disruption,claim,ART-VALIDATION-UNITTEST-V0-5-MAY04-2026,validation_unittest_v0_5.log,log,validation_log,,proposed_pending_manual_registry_update,v0.5 causal-severance packet proposal,claim,validation_log
RA-SIM-MOTIF-SEVERANCE-003,Finality-depth shift is measured under support disruption,claim,ART-RA-CAUSALDAG-MOTIFCOMMITSIMULATOR-V0-5-MAY04-2026-REPORT-MAY04-2026,RA_CausalDAG_MotifCommitSimulator_v0_5_May04_2026_Report.md,md,simulator_report,,proposed_pending_manual_registry_update,v0.5 causal-severance packet proposal,claim,simulator_report
RA-SIM-MOTIF-SEVERANCE-004,Recovery length measures post-severance readiness restoration,claim,ART-RA-CAUSAL-DAG-SIMULATOR-MAY04-2026,ra_causal_dag_simulator.py,python,simulation_source,,proposed_pending_manual_registry_update,v0.5 causal-severance packet proposal,claim,simulation_source
RA-SIM-MOTIF-SEVERANCE-004,Recovery length measures post-severance readiness restoration,claim,ART-VALIDATION-UNITTEST-V0-5-MAY04-2026,validation_unittest_v0_5.log,log,validation_log,,proposed_pending_manual_registry_update,v0.5 causal-severance packet proposal,claim,validation_log
RA-SIM-MOTIF-SEVERANCE-004,Recovery length measures post-severance readiness restoration,claim,ART-RA-CAUSALDAG-MOTIFCOMMITSIMULATOR-V0-5-MAY04-2026-REPORT-MAY04-2026,RA_CausalDAG_MotifCommitSimulator_v0_5_May04_2026_Report.md,md,simulator_report,,proposed_pending_manual_registry_update,v0.5 causal-severance packet proposal,claim,simulator_report
RA-SIM-MOTIF-SEVERANCE-005,"Selector stress is separated from support, ledger, and orientation degradation",claim,ART-RA-CAUSAL-DAG-SIMULATOR-MAY04-2026,ra_causal_dag_simulator.py,python,simulation_source,,proposed_pending_manual_registry_update,v0.5 causal-severance packet proposal,claim,simulation_source
RA-SIM-MOTIF-SEVERANCE-005,"Selector stress is separated from support, ledger, and orientation degradation",claim,ART-VALIDATION-UNITTEST-V0-5-MAY04-2026,validation_unittest_v0_5.log,log,validation_log,,proposed_pending_manual_registry_update,v0.5 causal-severance packet proposal,claim,validation_log
