claim_id,claim_name,claim_node_type,artifact_id,filename,artifact_type,relation,source_span,verification_status,notes,node_type,type
RA-SIM-GRAPH-COUPLED-ORIENT-001,v1.6 closes the v1.5 rescue/topology disconnection by extracting orientation overlap on the same v0.9 CausalDAG instance per trial,claim,ART-SIM-GRAPH-COUPLED-ORIENT-ANALYSIS-v1-6,ra_graph_coupled_orientation_extraction.py,py,analysis_source,,canonical_run_confirmed,active RAKB v0.5 12-column edge upsert,claim,analysis_source
RA-SIM-GRAPH-COUPLED-ORIENT-002,"On matched graphs at v1.6 sample size, v1.5's orientation-specificity verdict does not replicate (reversed-sign rescue gap for orientation_degradation)",claim,ART-SIM-GRAPH-COUPLED-ORIENT-ANALYSIS-v1-6,ra_graph_coupled_orientation_extraction.py,py,analysis_source,,canonical_run_confirmed,active RAKB v0.5 12-column edge upsert,claim,analysis_source
RA-SIM-GRAPH-COUPLED-ORIENT-001,v1.6 closes the v1.5 rescue/topology disconnection by extracting orientation overlap on the same v0.9 CausalDAG instance per trial,claim,ART-SIM-GRAPH-COUPLED-ORIENT-RUNSCRIPT-v1-6,run_graph_coupled_orientation_extraction_v1_6.py,py,analysis_source,,canonical_run_confirmed,active RAKB v0.5 12-column edge upsert,claim,analysis_source
RA-SIM-GRAPH-COUPLED-ORIENT-001,v1.6 closes the v1.5 rescue/topology disconnection by extracting orientation overlap on the same v0.9 CausalDAG instance per trial,claim,ART-SIM-GRAPH-COUPLED-ORIENT-TESTS-v1-6,test_v1_6_graph_coupled_orientation_extraction.py,py,validation_log,,canonical_run_validated,active RAKB v0.5 12-column edge upsert,claim,validation_log
RA-SIM-GRAPH-COUPLED-ORIENT-001,v1.6 closes the v1.5 rescue/topology disconnection by extracting orientation overlap on the same v0.9 CausalDAG instance per trial,claim,ART-SIM-GRAPH-COUPLED-ORIENT-README-v1-6,README_RA_CausalDAG_MotifCommitSimulator_v1_6_GraphCoupledOrientationExtraction_May05_2026.md,md,packet_provenance,,canonical_run_confirmed,active RAKB v0.5 12-column edge upsert,claim,packet_provenance
RA-SIM-GRAPH-COUPLED-ORIENT-001,v1.6 closes the v1.5 rescue/topology disconnection by extracting orientation overlap on the same v0.9 CausalDAG instance per trial,claim,ART-SIM-GRAPH-COUPLED-ORIENT-REPORT-v1-6,RA_CausalDAG_MotifCommitSimulator_v1_6_GraphCoupledOrientationExtraction_Report_May05_2026.md,md,formal_bridge_report,,canonical_run_confirmed,active RAKB v0.5 12-column edge upsert,claim,formal_bridge_report
RA-SIM-GRAPH-COUPLED-ORIENT-002,"On matched graphs at v1.6 sample size, v1.5's orientation-specificity verdict does not replicate (reversed-sign rescue gap for orientation_degradation)",claim,ART-SIM-GRAPH-COUPLED-ORIENT-REPORT-v1-6,RA_CausalDAG_MotifCommitSimulator_v1_6_GraphCoupledOrientationExtraction_Report_May05_2026.md,md,formal_bridge_report,,canonical_run_confirmed,active RAKB v0.5 12-column edge upsert,claim,formal_bridge_report
RA-SIM-GRAPH-COUPLED-ORIENT-001,v1.6 closes the v1.5 rescue/topology disconnection by extracting orientation overlap on the same v0.9 CausalDAG instance per trial,claim,ART-SIM-GRAPH-COUPLED-ORIENT-VALIDATION-v1-6,validation_unittest_v1_6.log,log,validation_log,,canonical_run_confirmed,active RAKB v0.5 12-column edge upsert,claim,validation_log
RA-SIM-GRAPH-COUPLED-ORIENT-001,v1.6 closes the v1.5 rescue/topology disconnection by extracting orientation overlap on the same v0.9 CausalDAG instance per trial,claim,ART-SIM-GRAPH-COUPLED-ORIENT-TRIAL-ROWS-v1-6,ra_v1_6_trial_rows.csv,csv,analysis_output,,canonical_run_validated,active RAKB v0.5 12-column edge upsert,claim,analysis_output
RA-SIM-GRAPH-COUPLED-ORIENT-001,v1.6 closes the v1.5 rescue/topology disconnection by extracting orientation overlap on the same v0.9 CausalDAG instance per trial,claim,ART-SIM-GRAPH-COUPLED-ORIENT-PER-CELL-v1-6,ra_v1_6_per_cell_aggregated.csv,csv,analysis_output,,canonical_run_validated,active RAKB v0.5 12-column edge upsert,claim,analysis_output
