claim_id,claim_name,claim_node_type,artifact_id,filename,artifact_type,relation,source_span,verification_status,notes,node_type,type
RA-MOTIF-PER-GRAPH-ORIENT-WITNESS-001,Per-graph orientation-link witness evidence refines native orientation catalog evidence,claim,ART-MOTIF-PER-GRAPH-ORIENT-WITNESS-LEAN-v1-4,RA_MotifPerGraphOrientationWitness.lean,lean,formal_anchor,,lean_build_confirmed_no_sorry_no_admit_no_axiom,active RAKB v0.5 12-column edge upsert,claim,formal_anchor
RA-MOTIF-PER-GRAPH-ORIENT-WITNESS-001,Per-graph orientation-link witness evidence refines native orientation catalog evidence,claim,ART-SIM-PER-GRAPH-ORIENT-WITNESS-REPORT-v1-4,RA_CausalDAG_MotifCommitSimulator_v1_4_PerGraphOrientationWitness_Report_May05_2026.md,md,formal_bridge_report,,canonical_run_confirmed,active RAKB v0.5 12-column edge upsert,claim,formal_bridge_report
RA-MOTIF-PER-GRAPH-ORIENT-WITNESS-001,Per-graph orientation-link witness evidence refines native orientation catalog evidence,claim,ART-SIM-PER-GRAPH-ORIENT-WITNESS-BRIDGE-v1-4,simulator_to_lean_per_graph_orientation_witness_v1_4.md,md,bridge_mapping,,canonical_run_confirmed,active RAKB v0.5 12-column edge upsert,claim,bridge_mapping
RA-MOTIF-PER-GRAPH-ORIENT-WITNESS-001,Per-graph orientation-link witness evidence refines native orientation catalog evidence,claim,ART-SIM-PER-GRAPH-ORIENT-WITNESS-SOURCE-AUDIT-v1-4,source_audit_RA_CausalDAG_MotifCommitSimulator_v1_4_May05_2026.log,log,source_audit,,generated_source_audit,active RAKB v0.5 12-column edge upsert,claim,source_audit
RA-SIM-PER-GRAPH-ORIENT-WITNESS-001,Per-graph orientation-link witness records can be extracted from simulator state contexts,claim,ART-SIM-PER-GRAPH-ORIENT-WITNESS-ANALYSIS-v1-4,ra_per_graph_orientation_witness.py,py,analysis_source,,canonical_run_confirmed,active RAKB v0.5 12-column edge upsert,claim,analysis_source
RA-SIM-PER-GRAPH-ORIENT-WITNESS-002,Per-graph orientation-link witness overlap separates orientation diagnostics from support-frontier overlap,claim,ART-SIM-PER-GRAPH-ORIENT-WITNESS-ANALYSIS-v1-4,ra_per_graph_orientation_witness.py,py,analysis_source,,canonical_run_confirmed,active RAKB v0.5 12-column edge upsert,claim,analysis_source
RA-SIM-PER-GRAPH-ORIENT-WITNESS-001,Per-graph orientation-link witness records can be extracted from simulator state contexts,claim,ART-SIM-PER-GRAPH-ORIENT-WITNESS-RUNSCRIPT-v1-4,run_per_graph_orientation_witness_v1_4.py,py,analysis_source,,canonical_run_confirmed,active RAKB v0.5 12-column edge upsert,claim,analysis_source
RA-SIM-PER-GRAPH-ORIENT-WITNESS-001,Per-graph orientation-link witness records can be extracted from simulator state contexts,claim,ART-SIM-PER-GRAPH-ORIENT-WITNESS-TESTS-v1-4,test_v1_4_per_graph_orientation_witness.py,py,validation_log,,canonical_run_validated,active RAKB v0.5 12-column edge upsert,claim,validation_log
RA-SIM-PER-GRAPH-ORIENT-WITNESS-001,Per-graph orientation-link witness records can be extracted from simulator state contexts,claim,ART-SIM-PER-GRAPH-ORIENT-WITNESS-REPORT-v1-4,RA_CausalDAG_MotifCommitSimulator_v1_4_PerGraphOrientationWitness_Report_May05_2026.md,md,formal_bridge_report,,canonical_run_confirmed,active RAKB v0.5 12-column edge upsert,claim,formal_bridge_report
RA-SIM-PER-GRAPH-ORIENT-WITNESS-002,Per-graph orientation-link witness overlap separates orientation diagnostics from support-frontier overlap,claim,ART-SIM-PER-GRAPH-ORIENT-WITNESS-REPORT-v1-4,RA_CausalDAG_MotifCommitSimulator_v1_4_PerGraphOrientationWitness_Report_May05_2026.md,md,formal_bridge_report,,canonical_run_confirmed,active RAKB v0.5 12-column edge upsert,claim,formal_bridge_report
RA-SIM-PER-GRAPH-ORIENT-WITNESS-001,Per-graph orientation-link witness records can be extracted from simulator state contexts,claim,ART-SIM-PER-GRAPH-ORIENT-WITNESS-VALIDATION-v1-4,validation_unittest_v1_4.log,log,validation_log,,canonical_run_confirmed,active RAKB v0.5 12-column edge upsert,claim,validation_log
RA-SIM-PER-GRAPH-ORIENT-WITNESS-001,Per-graph orientation-link witness records can be extracted from simulator state contexts,claim,ART-SIM-PER-GRAPH-ORIENT-WITNESS-MEMBERS-v1-4,ra_per_graph_orientation_witness_members_v1_4.csv,csv,analysis_output,,canonical_run_validated,active RAKB v0.5 12-column edge upsert,claim,analysis_output
RA-SIM-PER-GRAPH-ORIENT-WITNESS-001,Per-graph orientation-link witness records can be extracted from simulator state contexts,claim,ART-SIM-PER-GRAPH-ORIENT-WITNESS-MANIFEST-v1-4,ra_native_orientation_manifest_used_v1_4.csv,csv,analysis_output,,canonical_run_validated,active RAKB v0.5 12-column edge upsert,claim,analysis_output
RA-SIM-PER-GRAPH-ORIENT-WITNESS-002,Per-graph orientation-link witness overlap separates orientation diagnostics from support-frontier overlap,claim,ART-SIM-PER-GRAPH-ORIENT-WITNESS-OVERLAP-v1-4,ra_per_graph_orientation_link_overlap_v1_4.csv,csv,analysis_output,,canonical_run_validated,active RAKB v0.5 12-column edge upsert,claim,analysis_output
RA-SIM-PER-GRAPH-ORIENT-WITNESS-002,Per-graph orientation-link witness overlap separates orientation diagnostics from support-frontier overlap,claim,ART-SIM-PER-GRAPH-ORIENT-WITNESS-DECOUPLING-v1-4,ra_per_graph_orientation_support_decoupling_audit_v1_4.csv,csv,analysis_output,,canonical_run_validated,active RAKB v0.5 12-column edge upsert,claim,analysis_output
RA-SIM-PER-GRAPH-ORIENT-WITNESS-002,Per-graph orientation-link witness overlap separates orientation diagnostics from support-frontier overlap,claim,ART-SIM-PER-GRAPH-ORIENT-WITNESS-MATCHED-STRATA-v1-4,ra_per_graph_orientation_matched_strata_v1_4.csv,csv,analysis_output,,canonical_run_validated,active RAKB v0.5 12-column edge upsert,claim,analysis_output
RA-SIM-PER-GRAPH-ORIENT-WITNESS-002,Per-graph orientation-link witness overlap separates orientation diagnostics from support-frontier overlap,claim,ART-SIM-PER-GRAPH-ORIENT-WITNESS-SPECIFICITY-v1-4,ra_per_graph_orientation_specificity_v1_4.csv,csv,analysis_output,,canonical_run_validated,active RAKB v0.5 12-column edge upsert,claim,analysis_output
RA-SIM-PER-GRAPH-ORIENT-WITNESS-002,Per-graph orientation-link witness overlap separates orientation diagnostics from support-frontier overlap,claim,ART-SIM-PER-GRAPH-ORIENT-WITNESS-PARTIAL-CORR-v1-4,ra_per_graph_orientation_partial_correlation_v1_4.csv,csv,analysis_output,,canonical_run_validated,active RAKB v0.5 12-column edge upsert,claim,analysis_output
RA-SIM-PER-GRAPH-ORIENT-WITNESS-001,Per-graph orientation-link witness records can be extracted from simulator state contexts,claim,ART-SIM-PER-GRAPH-ORIENT-WITNESS-SUMMARY-CSV-v1-4,ra_per_graph_orientation_witness_summary_v1_4.csv,csv,analysis_summary,,canonical_run_validated,active RAKB v0.5 12-column edge upsert,claim,analysis_summary
RA-SIM-PER-GRAPH-ORIENT-WITNESS-002,Per-graph orientation-link witness overlap separates orientation diagnostics from support-frontier overlap,claim,ART-SIM-PER-GRAPH-ORIENT-WITNESS-SUMMARY-CSV-v1-4,ra_per_graph_orientation_witness_summary_v1_4.csv,csv,analysis_summary,,canonical_run_validated,active RAKB v0.5 12-column edge upsert,claim,analysis_summary
RA-SIM-PER-GRAPH-ORIENT-WITNESS-001,Per-graph orientation-link witness records can be extracted from simulator state contexts,claim,ART-SIM-PER-GRAPH-ORIENT-WITNESS-SUMMARY-MD-v1-4,ra_per_graph_orientation_witness_summary_v1_4.md,md,analysis_summary,,canonical_run_validated,active RAKB v0.5 12-column edge upsert,claim,analysis_summary
RA-SIM-PER-GRAPH-ORIENT-WITNESS-002,Per-graph orientation-link witness overlap separates orientation diagnostics from support-frontier overlap,claim,ART-SIM-PER-GRAPH-ORIENT-WITNESS-SUMMARY-MD-v1-4,ra_per_graph_orientation_witness_summary_v1_4.md,md,analysis_summary,,canonical_run_validated,active RAKB v0.5 12-column edge upsert,claim,analysis_summary
RA-SIM-PER-GRAPH-ORIENT-WITNESS-001,Per-graph orientation-link witness records can be extracted from simulator state contexts,claim,ART-SIM-PER-GRAPH-ORIENT-WITNESS-STATE-v1-4,ra_per_graph_orientation_witness_state_v1_4.json,json,analysis_summary,,canonical_run_validated,active RAKB v0.5 12-column edge upsert,claim,analysis_summary
