claim_id,claim_name,claim_node_type,artifact_id,filename,artifact_type,relation,source_span,verification_status,notes,node_type,type
RA-MOTIF-NATIVE-CERT-COMPONENTS-001,Native certificate components package support-family witness surfaces,claim,ART-MOTIF-NATIVE-CERT-COMPONENTS-LEAN-v1-0,RA_MotifNativeCertificateComponents.lean,lean,formal_anchor,,source_level_pending_compile,,claim,formal_anchor
RA-MOTIF-NATIVE-CERT-COMPONENTS-001,Native certificate components package support-family witness surfaces,claim,ART-SIM-NATIVE-CERT-ANCHOR-BRIDGE-v1-0,simulator_to_lean_native_certificate_components_v1_0.md,md,bridge_mapping,,packet_bridge,,claim,bridge_mapping
RA-MOTIF-NATIVE-CERT-COMPONENTS-001,Native certificate components package support-family witness surfaces,claim,ART-SIM-NATIVE-CERT-ANCHOR-SOURCE-AUDIT-v1-0,source_audit_RA_CausalDAG_MotifCommitSimulator_v1_0_May05_2026.log,log,source_audit,,source_audit_clean,,claim,source_audit
RA-SIM-NATIVE-CERT-ANCHOR-001,v1.0 packages native certificate-overlap components into an anchoring profile,claim,ART-SIM-NATIVE-CERT-ANCHOR-ANALYSIS-v1-0,ra_native_certificate_anchoring.py,python,analysis_source,,validated_canonical_analysis,,claim,analysis_source
RA-SIM-NATIVE-CERT-ANCHOR-001,v1.0 packages native certificate-overlap components into an anchoring profile,claim,ART-SIM-NATIVE-CERT-ANCHOR-REPORT-v1-0,RA_CausalDAG_MotifCommitSimulator_v1_0_NativeCertificateAnchoring_Report_May05_2026.md,md,analysis_report,,packet_report,,claim,analysis_report
RA-SIM-NATIVE-CERT-ANCHOR-001,v1.0 packages native certificate-overlap components into an anchoring profile,claim,ART-SIM-NATIVE-CERT-ANCHOR-VALIDATION-v1-0,validation_unittest_v1_0.log,log,validation_log,,validated_canonical_analysis,,claim,validation_log
RA-SIM-NATIVE-CERT-ANCHOR-002,v1.0 records augmented_exact_k as primary signal carrier and at_least_k as guardrail,claim,ART-SIM-NATIVE-CERT-ANCHOR-ANALYSIS-v1-0,ra_native_certificate_anchoring.py,python,analysis_source,,validated_canonical_analysis,,claim,analysis_source
RA-SIM-NATIVE-CERT-ANCHOR-002,v1.0 records augmented_exact_k as primary signal carrier and at_least_k as guardrail,claim,ART-SIM-NATIVE-CERT-ANCHOR-REPORT-v1-0,RA_CausalDAG_MotifCommitSimulator_v1_0_NativeCertificateAnchoring_Report_May05_2026.md,md,analysis_report,,packet_report,,claim,analysis_report
RA-SIM-NATIVE-CERT-ANCHOR-002,v1.0 records augmented_exact_k as primary signal carrier and at_least_k as guardrail,claim,ART-SIM-NATIVE-CERT-ANCHOR-VALIDATION-v1-0,validation_unittest_v1_0.log,log,validation_log,,validated_canonical_analysis,,claim,validation_log
RA-SIM-NATIVE-CERT-ANCHOR-003,Native-overlap calibration remains qualitative at v1.0,claim,ART-SIM-NATIVE-CERT-ANCHOR-ANALYSIS-v1-0,ra_native_certificate_anchoring.py,python,analysis_source,,validated_canonical_analysis,,claim,analysis_source
