claim_id,claim_name,claim_node_type,artifact_id,filename,artifact_type,relation,source_span,verification_status,notes,node_type,type
RA-MOTIF-NATIVE-ORIENT-LINK-001,Native orientation catalog evidence refines orientation-link surface,claim,ART-MOTIF-NATIVE-ORIENT-LINK-LEAN-v1-3,RA_MotifNativeOrientationLinkDerivation.lean,lean,formal_anchor,,lean_build_confirmed_no_sorry_no_admit_no_axiom,active RAKB v0.5 12-column edge upsert,claim,formal_anchor
RA-MOTIF-NATIVE-ORIENT-LINK-001,Native orientation catalog evidence refines orientation-link surface,claim,ART-SIM-NATIVE-ORIENT-LINK-REPORT-v1-3,RA_CausalDAG_MotifCommitSimulator_v1_3_NativeOrientationLinkDerivation_Report_May05_2026.md,md,formal_bridge_report,,canonical_run_confirmed,active RAKB v0.5 12-column edge upsert,claim,formal_bridge_report
RA-MOTIF-NATIVE-ORIENT-LINK-001,Native orientation catalog evidence refines orientation-link surface,claim,ART-SIM-NATIVE-ORIENT-LINK-BRIDGE-v1-3,simulator_to_lean_native_orientation_derivation_v1_3.md,md,bridge_mapping,,canonical_run_confirmed,active RAKB v0.5 12-column edge upsert,claim,bridge_mapping
RA-MOTIF-NATIVE-ORIENT-LINK-001,Native orientation catalog evidence refines orientation-link surface,claim,ART-SIM-NATIVE-ORIENT-LINK-SOURCE-AUDIT-v1-3,source_audit_RA_CausalDAG_MotifCommitSimulator_v1_3_May05_2026.log,log,source_audit,,generated_source_audit,active RAKB v0.5 12-column edge upsert,claim,source_audit
RA-SIM-NATIVE-ORIENT-LINK-001,Native theorem-catalog orientation surface separates from support/frontier overlap,claim,ART-SIM-NATIVE-ORIENT-LINK-ANALYSIS-v1-3,ra_native_orientation_link_derivation.py,py,analysis_source,,canonical_run_confirmed,active RAKB v0.5 12-column edge upsert,claim,analysis_source
RA-SIM-NATIVE-ORIENT-LINK-002,Native catalog orientation surface supports orientation-specific diagnostics after support/frontier control,claim,ART-SIM-NATIVE-ORIENT-LINK-ANALYSIS-v1-3,ra_native_orientation_link_derivation.py,py,analysis_source,,canonical_run_confirmed,active RAKB v0.5 12-column edge upsert,claim,analysis_source
RA-SIM-NATIVE-ORIENT-LINK-001,Native theorem-catalog orientation surface separates from support/frontier overlap,claim,ART-SIM-NATIVE-ORIENT-LINK-RUNSCRIPT-v1-3,run_native_orientation_derivation_v1_3.py,py,analysis_source,,canonical_run_confirmed,active RAKB v0.5 12-column edge upsert,claim,analysis_source
RA-SIM-NATIVE-ORIENT-LINK-001,Native theorem-catalog orientation surface separates from support/frontier overlap,claim,ART-SIM-NATIVE-ORIENT-LINK-REPORT-v1-3,RA_CausalDAG_MotifCommitSimulator_v1_3_NativeOrientationLinkDerivation_Report_May05_2026.md,md,formal_bridge_report,,canonical_run_confirmed,active RAKB v0.5 12-column edge upsert,claim,formal_bridge_report
RA-SIM-NATIVE-ORIENT-LINK-002,Native catalog orientation surface supports orientation-specific diagnostics after support/frontier control,claim,ART-SIM-NATIVE-ORIENT-LINK-REPORT-v1-3,RA_CausalDAG_MotifCommitSimulator_v1_3_NativeOrientationLinkDerivation_Report_May05_2026.md,md,formal_bridge_report,,canonical_run_confirmed,active RAKB v0.5 12-column edge upsert,claim,formal_bridge_report
RA-SIM-NATIVE-ORIENT-LINK-001,Native theorem-catalog orientation surface separates from support/frontier overlap,claim,ART-SIM-NATIVE-ORIENT-LINK-VALIDATION-v1-3,validation_unittest_v1_3.log,log,validation_log,,canonical_run_confirmed,active RAKB v0.5 12-column edge upsert,claim,validation_log
RA-SIM-NATIVE-ORIENT-LINK-001,Native theorem-catalog orientation surface separates from support/frontier overlap,claim,ART-SIM-NATIVE-ORIENT-LINK-MANIFEST-v1-3,ra_native_orientation_theorem_manifest_v1_3.csv,csv,analysis_output,,canonical_run_validated,active RAKB v0.5 12-column edge upsert,claim,analysis_output
RA-SIM-NATIVE-ORIENT-LINK-001,Native theorem-catalog orientation surface separates from support/frontier overlap,claim,ART-SIM-NATIVE-ORIENT-LINK-SURFACE-CSV-v1-3,ra_native_orientation_link_surface_v1_3.csv,csv,analysis_output,,canonical_run_validated,active RAKB v0.5 12-column edge upsert,claim,analysis_output
RA-SIM-NATIVE-ORIENT-LINK-001,Native theorem-catalog orientation surface separates from support/frontier overlap,claim,ART-SIM-NATIVE-ORIENT-LINK-DECOUPLING-v1-3,ra_native_orientation_support_decoupling_audit_v1_3.csv,csv,analysis_output,,canonical_run_validated,active RAKB v0.5 12-column edge upsert,claim,analysis_output
