claim_id,claim_name,claim_node_type,artifact_id,filename,artifact_type,relation,source_span,verification_status,notes,node_type,type
RA-SIM-ORIENT-CONFOUND-001,v1.8 audits whether orientation-overlap bins are confounded by support width and family structure,claim,ART-SIM-ORIENT-CONFOUND-V18-PY,ra_support_width_family_confound.py,python,analysis_module,,packet_local_validated_pending_canonical,v1.8 proposal edge,claim,claim_artifact_edge
RA-SIM-ORIENT-CONFOUND-001,v1.8 audits whether orientation-overlap bins are confounded by support width and family structure,claim,ART-SIM-ORIENT-CONFOUND-V18-RUN,run_support_width_family_confound_v1_8.py,python,run_script,,packet_local_validated_pending_canonical,v1.8 proposal edge,claim,claim_artifact_edge
RA-SIM-ORIENT-CONFOUND-001,v1.8 audits whether orientation-overlap bins are confounded by support width and family structure,claim,ART-SIM-ORIENT-CONFOUND-V18-TEST,test_v1_8_support_width_family_confound.py,python,validation_test,,packet_local_validated_pending_canonical,v1.8 proposal edge,claim,claim_artifact_edge
RA-SIM-ORIENT-CONFOUND-001,v1.8 audits whether orientation-overlap bins are confounded by support width and family structure,claim,ART-SIM-ORIENT-CONFOUND-V18-VALIDATION,validation_unittest_v1_8.log,log,validation_log,,packet_local_validated_pending_canonical,v1.8 proposal edge,claim,claim_artifact_edge
RA-SIM-ORIENT-CONFOUND-001,v1.8 audits whether orientation-overlap bins are confounded by support width and family structure,claim,ART-SIM-ORIENT-CONFOUND-V18-REPORT,RA_CausalDAG_MotifCommitSimulator_v1_8_SupportWidthFamilyStructureConfound_Report_May06_2026.md,md,analysis_report,,packet_local_validated_pending_canonical,v1.8 proposal edge,claim,claim_artifact_edge
RA-SIM-ORIENT-CONFOUND-001,v1.8 audits whether orientation-overlap bins are confounded by support width and family structure,claim,ART-SIM-ORIENT-CONFOUND-V18-SUMMARY,ra_v1_8_confound_summary.md,md,analysis_summary,,packet_local_validated_pending_canonical,v1.8 proposal edge,claim,claim_artifact_edge
RA-SIM-ORIENT-CONFOUND-002,Orientation-overlap gaps require width and family-size matching before specificity claims,claim,ART-SIM-ORIENT-CONFOUND-V18-PY,ra_support_width_family_confound.py,python,analysis_module,,packet_local_validated_pending_canonical,v1.8 proposal edge,claim,claim_artifact_edge
RA-SIM-ORIENT-CONFOUND-002,Orientation-overlap gaps require width and family-size matching before specificity claims,claim,ART-SIM-ORIENT-CONFOUND-V18-REPORT,RA_CausalDAG_MotifCommitSimulator_v1_8_SupportWidthFamilyStructureConfound_Report_May06_2026.md,md,analysis_report,,packet_local_validated_pending_canonical,v1.8 proposal edge,claim,claim_artifact_edge
RA-SIM-ORIENT-CONFOUND-002,Orientation-overlap gaps require width and family-size matching before specificity claims,claim,ART-SIM-ORIENT-CONFOUND-V18-SUMMARY,ra_v1_8_confound_summary.md,md,analysis_summary,,packet_local_validated_pending_canonical,v1.8 proposal edge,claim,claim_artifact_edge
RA-SIM-ORIENT-CONFOUND-METHOD-001,Orientation-rescue gaps must be controlled for support-width and family-structure binning,framing,ART-SIM-ORIENT-CONFOUND-V18-PY,ra_support_width_family_confound.py,python,analysis_module,,packet_local_validated_pending_canonical,v1.8 proposal edge,framing,claim_artifact_edge
RA-SIM-ORIENT-CONFOUND-METHOD-001,Orientation-rescue gaps must be controlled for support-width and family-structure binning,framing,ART-SIM-ORIENT-CONFOUND-V18-RUN,run_support_width_family_confound_v1_8.py,python,run_script,,packet_local_validated_pending_canonical,v1.8 proposal edge,framing,claim_artifact_edge
RA-SIM-ORIENT-CONFOUND-METHOD-001,Orientation-rescue gaps must be controlled for support-width and family-structure binning,framing,ART-SIM-ORIENT-CONFOUND-V18-TEST,test_v1_8_support_width_family_confound.py,python,validation_test,,packet_local_validated_pending_canonical,v1.8 proposal edge,framing,claim_artifact_edge
RA-SIM-ORIENT-CONFOUND-METHOD-001,Orientation-rescue gaps must be controlled for support-width and family-structure binning,framing,ART-SIM-ORIENT-CONFOUND-V18-VALIDATION,validation_unittest_v1_8.log,log,validation_log,,packet_local_validated_pending_canonical,v1.8 proposal edge,framing,claim_artifact_edge
RA-SIM-ORIENT-CONFOUND-METHOD-001,Orientation-rescue gaps must be controlled for support-width and family-structure binning,framing,ART-SIM-ORIENT-CONFOUND-V18-REPORT,RA_CausalDAG_MotifCommitSimulator_v1_8_SupportWidthFamilyStructureConfound_Report_May06_2026.md,md,analysis_report,,packet_local_validated_pending_canonical,v1.8 proposal edge,framing,claim_artifact_edge
RA-SIM-ORIENT-CONFOUND-METHOD-001,Orientation-rescue gaps must be controlled for support-width and family-structure binning,framing,ART-SIM-ORIENT-CONFOUND-V18-SUMMARY,ra_v1_8_confound_summary.md,md,analysis_summary,,packet_local_validated_pending_canonical,v1.8 proposal edge,framing,claim_artifact_edge
