claim_id,claim_name,claim_node_type,artifact_id,filename,artifact_type,relation,source_span,verification_status,notes
RA-OPEN-FRONTIER-NORMAL-FORM-001,Frontier/incidence normal form for actualization candidates,issue,ART-SEL-LEAN-RA_FrontierGraphBridge_v1,RA_FrontierGraphBridge_v1.lean,lean,formalization_scaffold,"GraphVertex; graphUniverseState; CutDownsetCertificate; candidatePastOfCut; GraphCutFrontierBridge",lean_env_compile_confirmed_no_sorry_no_admit_no_axiom_warning_free,"Concrete graph-core bridge for candidate past/downset and cut/frontier data. Compile confirmed locally with no warnings/errors."
RA-OPEN-TOPOLOGICAL-LEDGER-001,Topological/incidence derivation of the RA ledger rule,issue,ART-SEL-LEAN-RA_FrontierGraphBridge_v1,RA_FrontierGraphBridge_v1.lean,lean,formalization_scaffold,"cutBoundaryCharge; cutBoundaryCharge_zero; boundaryLedgerOfCut",lean_env_compile_confirmed_no_sorry_no_admit_no_axiom_warning_free,"Re-expresses graph-core cut conservation as frontier-boundary ledger conservation. Nonzero local charge signs remain open."
RA-OPEN-CHARGE-SIGN-001,Edge-level sign-source for signed N1 charge,issue,ART-SEL-LEAN-RA_FrontierGraphBridge_v1,RA_FrontierGraphBridge_v1.lean,lean,formalization_scaffold,"boundaryLedgerOfCut; GraphCutFrontierBridge.boundaryLedger_qN1_seven",lean_env_compile_confirmed_no_sorry_no_admit_no_axiom_warning_free,"Shows conserved cut ledger has seven-value N1 range by zero flux; does not yet derive edge-level sign-source."
RA-OPEN-ACTUALIZATION-SELECTOR-001,RA-native actualization selector,issue,ART-SEL-LEAN-RA_FrontierGraphBridge_v1,RA_FrontierGraphBridge_v1.lean,lean,formalization_scaffold,"GraphCutFrontierBridge.boundaryData",lean_env_compile_confirmed_no_sorry_no_admit_no_axiom_warning_free,"Supplies graph-core boundary data that can feed the frontier/selector vocabulary."
RA-OPEN-SELECTOR-CLOSURE-001,Selector Closure Theorem,issue,ART-SEL-LEAN-RA_FrontierGraphBridge_v1,RA_FrontierGraphBridge_v1.lean,lean,formalization_scaffold,"graphUniverseState; topoOrderCausalOrder; graph_edge_forward_in_topo_order",lean_env_compile_confirmed_no_sorry_no_admit_no_axiom_warning_free,"Concrete graph-state bridge needed before attempting hard selector closure."
RA-OPEN-GROWTH-MEASURE-001,Derived growth measure as selector shadow,issue,ART-SEL-LEAN-RA_FrontierGraphBridge_v1,RA_FrontierGraphBridge_v1.lean,lean,formalization_scaffold,"GraphCutFrontierBridge; candidatePastOfCut",lean_env_compile_confirmed_no_sorry_no_admit_no_axiom_warning_free,"Moves candidate-measure discussion toward graph-normal-form and boundary-data objects rather than arbitrary parent-subset measures."
RA-LLC-001,Local Ledger Condition,claim,ART-SEL-LEAN-RA_FrontierGraphBridge_v1,RA_FrontierGraphBridge_v1.lean,lean,bridges,"cutBoundaryCharge_zero; GraphCutFrontierBridge.boundaryCharge_zero",lean_env_compile_confirmed_no_sorry_no_admit_no_axiom_warning_free,"Uses the existing graph-core LLC/cut theorem as the source for conserved frontier-boundary ledger data."
RA-OPEN-FRONTIER-NORMAL-FORM-001,Frontier/incidence normal form for actualization candidates,issue,ART-SEL-REPORT-FrontierGraphBridgeCompileConfirmed,RA_FrontierGraphBridge_CompileConfirmed_Report_Apr29_2026.md,md,documents_compile_confirmation,"full report",generated_reviewed,"Records warning-free local compile confirmation and next Hasse-frontier target."
RA-OPEN-TOPOLOGICAL-LEDGER-001,Topological/incidence derivation of the RA ledger rule,issue,ART-SEL-REPORT-FrontierGraphBridgeCompileConfirmed,RA_FrontierGraphBridge_CompileConfirmed_Report_Apr29_2026.md,md,documents_compile_confirmation,"full report",generated_reviewed,"Records graph-core cut conservation as frontier-boundary ledger bridge."
RA-OPEN-SELECTOR-CLOSURE-001,Selector Closure Theorem,issue,ART-SEL-REPORT-FrontierGraphBridgeCompileConfirmed,RA_FrontierGraphBridge_CompileConfirmed_Report_Apr29_2026.md,md,documents_compile_confirmation,"full report",generated_reviewed,"Records theorem-ladder status after successful graph-core bridge compilation."
RA-LLC-001,Local Ledger Condition,claim,ART-SEL-REPORT-FrontierGraphBridgeCompileConfirmed,RA_FrontierGraphBridge_CompileConfirmed_Report_Apr29_2026.md,md,documents_compile_confirmation,"full report",generated_reviewed,"Documents compile-confirmed bridge from local LLC/cut theorem to frontier-boundary ledger."
