site,depth,parents,candidate_past_size,hasse_frontier_support_cut,support_width,introduced_conflict,selector_mode,selector_tie_policy,eligible_count,selected_count,strict_ready_count,strict_supported_count,unsupported_count,strict_committed_count,strict_blocked_count,selector_committed_count,selector_rejected_count,selector_stalemate_count,selector_selected_blocked_count,strict_committed_motifs,strict_blocked_ready_motifs,selector_committed_motifs,selector_rejected_motifs,selector_stalemate_motifs,unsupported_motifs,support_failure_histogram
1,1,[0],1,[0],1,True,greedy,lexicographic,4,3,4,4,0,2,2,3,1,0,0,"[""genesis_seed"", ""renewal_1""]","[""choice_A_1"", ""choice_B_1""]","[""genesis_seed"", ""renewal_1"", ""choice_A_1""]","[""choice_B_1""]",[],[],{}
2,2,[1],2,[1],1,True,greedy,lexicographic,7,5,7,7,0,3,4,5,2,0,0,"[""genesis_seed"", ""renewal_1"", ""renewal_2""]","[""choice_A_1"", ""choice_B_1"", ""choice_A_2"", ""choice_B_2""]","[""genesis_seed"", ""renewal_1"", ""choice_A_1"", ""renewal_2"", ""choice_A_2""]","[""choice_B_1"", ""choice_B_2""]",[],[],{}
3,3,[2],3,[2],1,False,greedy,lexicographic,8,6,8,8,0,4,4,6,2,0,0,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3""]","[""choice_A_1"", ""choice_B_1"", ""choice_A_2"", ""choice_B_2""]","[""genesis_seed"", ""renewal_1"", ""choice_A_1"", ""renewal_2"", ""choice_A_2"", ""renewal_3""]","[""choice_B_1"", ""choice_B_2""]",[],[],{}
4,4,[3],4,[3],1,False,greedy,lexicographic,9,7,9,9,0,5,4,7,2,0,0,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""renewal_4""]","[""choice_A_1"", ""choice_B_1"", ""choice_A_2"", ""choice_B_2""]","[""genesis_seed"", ""renewal_1"", ""choice_A_1"", ""renewal_2"", ""choice_A_2"", ""renewal_3"", ""renewal_4""]","[""choice_B_1"", ""choice_B_2""]",[],[],{}
5,5,[4],5,[4],1,False,greedy,lexicographic,10,8,10,10,0,6,4,8,2,0,0,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""renewal_4"", ""renewal_5""]","[""choice_A_1"", ""choice_B_1"", ""choice_A_2"", ""choice_B_2""]","[""genesis_seed"", ""renewal_1"", ""choice_A_1"", ""renewal_2"", ""choice_A_2"", ""renewal_3"", ""renewal_4"", ""renewal_5""]","[""choice_B_1"", ""choice_B_2""]",[],[],{}
6,6,"[3, 5]",6,[5],1,False,greedy,lexicographic,11,9,11,11,0,7,4,9,2,0,0,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""renewal_4"", ""renewal_5"", ""renewal_6""]","[""choice_A_1"", ""choice_B_1"", ""choice_A_2"", ""choice_B_2""]","[""genesis_seed"", ""renewal_1"", ""choice_A_1"", ""renewal_2"", ""choice_A_2"", ""renewal_3"", ""renewal_4"", ""renewal_5"", ""renewal_6""]","[""choice_B_1"", ""choice_B_2""]",[],[],{}
7,7,"[2, 6]",7,[6],1,False,greedy,lexicographic,12,10,12,12,0,8,4,10,2,0,0,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""renewal_4"", ""renewal_5"", ""renewal_6"", ""renewal_7""]","[""choice_A_1"", ""choice_B_1"", ""choice_A_2"", ""choice_B_2""]","[""genesis_seed"", ""renewal_1"", ""choice_A_1"", ""renewal_2"", ""choice_A_2"", ""renewal_3"", ""renewal_4"", ""renewal_5"", ""renewal_6"", ""renewal_7""]","[""choice_B_1"", ""choice_B_2""]",[],[],{}
8,8,[7],8,[7],1,False,greedy,lexicographic,13,11,13,13,0,9,4,11,2,0,0,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""renewal_4"", ""renewal_5"", ""renewal_6"", ""renewal_7"", ""renewal_8""]","[""choice_A_1"", ""choice_B_1"", ""choice_A_2"", ""choice_B_2""]","[""genesis_seed"", ""renewal_1"", ""choice_A_1"", ""renewal_2"", ""choice_A_2"", ""renewal_3"", ""renewal_4"", ""renewal_5"", ""renewal_6"", ""renewal_7"", ""renewal_8""]","[""choice_B_1"", ""choice_B_2""]",[],[],{}
9,9,"[3, 8]",9,[8],1,False,greedy,lexicographic,14,12,14,14,0,10,4,12,2,0,0,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""renewal_4"", ""renewal_5"", ""renewal_6"", ""renewal_7"", ""renewal_8"", ""renewal_9""]","[""choice_A_1"", ""choice_B_1"", ""choice_A_2"", ""choice_B_2""]","[""genesis_seed"", ""renewal_1"", ""choice_A_1"", ""renewal_2"", ""choice_A_2"", ""renewal_3"", ""renewal_4"", ""renewal_5"", ""renewal_6"", ""renewal_7"", ""renewal_8"", ""renewal_9""]","[""choice_B_1"", ""choice_B_2""]",[],[],{}
10,10,"[4, 9]",10,[9],1,False,greedy,lexicographic,15,13,15,15,0,11,4,13,2,0,0,"[""genesis_seed"", ""renewal_1"", ""renewal_2"", ""renewal_3"", ""renewal_4"", ""renewal_5"", ""renewal_6"", ""renewal_7"", ""renewal_8"", ""renewal_9"", ""renewal_10""]","[""choice_A_1"", ""choice_B_1"", ""choice_A_2"", ""choice_B_2""]","[""genesis_seed"", ""renewal_1"", ""choice_A_1"", ""renewal_2"", ""choice_A_2"", ""renewal_3"", ""renewal_4"", ""renewal_5"", ""renewal_6"", ""renewal_7"", ""renewal_8"", ""renewal_9"", ""renewal_10""]","[""choice_B_1"", ""choice_B_2""]",[],[],{}
