claim_id,claim_name,claim_node_type,artifact_id,filename,artifact_type,relation,source_span,verification_status,notes
RA-OPEN-ACTUALIZATION-SELECTOR-001,RA-OPEN-ACTUALIZATION-SELECTOR-001,issue,ART-REPORT-RAKB-ACTUALIZATION-SELECTOR-APR29,RAKB_Actualization_Selector_Framework_Report_Apr29_2026.md,md,theory_analysis,,generated_analysis_not_claim_proof,Supports issue definition/formalization tracking; not evidence for settled physical claim.
RA-OPEN-SELECTOR-CLOSURE-001,RA-OPEN-SELECTOR-CLOSURE-001,issue,ART-REPORT-RAKB-ACTUALIZATION-SELECTOR-APR29,RAKB_Actualization_Selector_Framework_Report_Apr29_2026.md,md,theory_analysis,,generated_analysis_not_claim_proof,Supports issue definition/formalization tracking; not evidence for settled physical claim.
RA-OPEN-NO-HISTORY-QUOTIENT-001,RA-OPEN-NO-HISTORY-QUOTIENT-001,issue,ART-REPORT-RAKB-ACTUALIZATION-SELECTOR-APR29,RAKB_Actualization_Selector_Framework_Report_Apr29_2026.md,md,theory_analysis,,generated_analysis_not_claim_proof,Supports issue definition/formalization tracking; not evidence for settled physical claim.
RA-OPEN-RELATIONAL-DETERMINACY-001,RA-OPEN-RELATIONAL-DETERMINACY-001,issue,ART-REPORT-RAKB-ACTUALIZATION-SELECTOR-APR29,RAKB_Actualization_Selector_Framework_Report_Apr29_2026.md,md,theory_analysis,,generated_analysis_not_claim_proof,Supports issue definition/formalization tracking; not evidence for settled physical claim.
RA-KERNEL-004,RA-KERNEL-004,issue,ART-REPORT-RAKB-ACTUALIZATION-SELECTOR-APR29,RAKB_Actualization_Selector_Framework_Report_Apr29_2026.md,md,theory_analysis,,generated_analysis_not_claim_proof,Supports issue definition/formalization tracking; not evidence for settled physical claim.
RA-OPEN-GROWTH-MEASURE-001,RA-OPEN-GROWTH-MEASURE-001,issue,ART-REPORT-RAKB-ACTUALIZATION-SELECTOR-APR29,RAKB_Actualization_Selector_Framework_Report_Apr29_2026.md,md,theory_analysis,,generated_analysis_not_claim_proof,Supports issue definition/formalization tracking; not evidence for settled physical claim.
RA-OPEN-SELECTOR-CLOSURE-001,RA-OPEN-SELECTOR-CLOSURE-001,issue,ART-NOTES-RA-SELECTOR-CLOSURE-PROGRAMME-APR29,RA_Selector_Closure_Theorem_Programme_Apr29_2026.md,md,formalization_plan,,generated_analysis_not_claim_proof,Supports issue definition/formalization tracking; not evidence for settled physical claim.
RA-OPEN-ACTUALIZATION-SELECTOR-001,RA-OPEN-ACTUALIZATION-SELECTOR-001,issue,ART-NOTES-RA-SELECTOR-CLOSURE-PROGRAMME-APR29,RA_Selector_Closure_Theorem_Programme_Apr29_2026.md,md,formalization_plan,,generated_analysis_not_claim_proof,Supports issue definition/formalization tracking; not evidence for settled physical claim.
RA-OPEN-FRONTIER-NORMAL-FORM-001,RA-OPEN-FRONTIER-NORMAL-FORM-001,issue,ART-NOTES-RA-SELECTOR-CLOSURE-PROGRAMME-APR29,RA_Selector_Closure_Theorem_Programme_Apr29_2026.md,md,formalization_plan,,generated_analysis_not_claim_proof,Supports issue definition/formalization tracking; not evidence for settled physical claim.
RA-OPEN-SELECTOR-CLOSURE-001,RA-OPEN-SELECTOR-CLOSURE-001,issue,ART-LEAN-SCAFFOLD-RA-ACTUALIZATION-SELECTOR-APR29,RA_ActualizationSelector_Scaffold.lean,lean,formalization_scaffold,,generated_analysis_not_claim_proof,Exploratory Lean scaffold; not active root and not compiled in this packet.
RA-OPEN-ACTUALIZATION-SELECTOR-001,RA-OPEN-ACTUALIZATION-SELECTOR-001,issue,ART-LEAN-SCAFFOLD-RA-ACTUALIZATION-SELECTOR-APR29,RA_ActualizationSelector_Scaffold.lean,lean,formalization_scaffold,,generated_analysis_not_claim_proof,Exploratory Lean scaffold; not active root and not compiled in this packet.
RA-OPEN-GROWTH-MEASURE-001,RA-OPEN-GROWTH-MEASURE-001,issue,ART-DATA-RAGROWSIM-SELECTOR-REFRAMING-APR29,RAGrowSim_selector_reframing_summary_Apr29_2026.csv,csv,simulation_summary,,generated_analysis_not_claim_proof,Summarizes simulation findings motivating selector/formalization issues; not claim proof.
RA-OPEN-ACTUALIZATION-SELECTOR-001,RA-OPEN-ACTUALIZATION-SELECTOR-001,issue,ART-DATA-RAGROWSIM-SELECTOR-REFRAMING-APR29,RAGrowSim_selector_reframing_summary_Apr29_2026.csv,csv,simulation_summary,,generated_analysis_not_claim_proof,Summarizes simulation findings motivating selector/formalization issues; not claim proof.
RA-OPEN-NO-HISTORY-QUOTIENT-001,RA-OPEN-NO-HISTORY-QUOTIENT-001,issue,ART-DATA-RAGROWSIM-SELECTOR-REFRAMING-APR29,RAGrowSim_selector_reframing_summary_Apr29_2026.csv,csv,simulation_summary,,generated_analysis_not_claim_proof,Summarizes simulation findings motivating selector/formalization issues; not claim proof.
RA-OPEN-POISSON-DYNAMICS-001,RA-OPEN-POISSON-DYNAMICS-001,issue,ART-DATA-RAGROWSIM-SELECTOR-REFRAMING-APR29,RAGrowSim_selector_reframing_summary_Apr29_2026.csv,csv,simulation_summary,,generated_analysis_not_claim_proof,Summarizes simulation findings motivating selector/formalization issues; not claim proof.
