historical_id,historical_status,historical_statement,historical_evidence,historical_gap,canonical_assessment,recommended_action,rationale,priority,destination
D09,DR,RACL seven-step chain: LLC + amplitude locality + d=4 + Benincasa-Dowker theorem → G_μν = 8πG P_act[T_μν] with Λ = 0. Does NOT use Lovelock. ,"Paper III §2.1; each step individually LV, published, or DR.",—,absent_or_rejected_as_active_support,do_not_restore_as_DR; optionally preserve as bridge-cartography issue,Canonical Paper III now explicitly says continuum field equations are not active native support; the seven-step GR/RACL chain is not present as a theorem.,review,archive_or_bridge_note
D10,DR,"BIANCHI_DISSOLUTION: ∇_μG^μν = 0 IS the LLC in continuum language, not a separate identity requiring proof. Both are the same conservation law at different levels of description. ",Paper III §2.2,none (this dissolves O10),absent_correctly_demoted,do_not_restore_as proof; optional comparison note,Bianchi-as-LLC dissolution is not present; under current framing it should remain a continuum translation claim until formalized.,review,archive_or_bridge_note
D12,DR,"FIELD_EQ_UNIQUENESS: G_μν = 8πG P_act[T_μν], Λ = 0 is the unique continuum field equation consistent with BDG uniqueness + P_act + LLC + d=4. No import of Lovelock's theorem required. ",Paper III §2.4,—,absent_correctly_demoted,do_not_restore as uniqueness theorem without native derivation,Field-equation uniqueness with Lambda=0 is not present; current Paper III says full continuum field equations are outside active native support.,review,archive_or_bridge_note
D16,DR,HEAT_DEATH_PROHIBITION: universe fragments into causally disconnected patches (starvation severance at μ→0; density severance at μ→μ₂) before thermal equilibrium can be reached. ,Paper III §6.2,,absent_overpruned_candidate,add restoration candidate; possible Paper III/IV consequence section if caveated,Heat-death/equilibrium-fragmentation claim is absent from canonical suite. It is conceptually RA-native but currently lacks direct source support in the registry.,high,restoration_candidates.csv
D18,DR,"COSMIC_WEB_ATTRACTOR: cosmic web topology is a dynamical attractor from density-dependent expansion: dense regions expand slower (EdS), voids expand faster (Milne), enlarging contrast over time. ",Paper III §6.1,,mostly_absent,add cosmology restoration candidate only if source-law programme wants it,Canonical Paper III mentions void/environment targets but not cosmic-web attractor dynamics.,medium,restoration_candidates.csv
D20,DR,"DESI_W0_WA: EdS→Milne transition with t_trans = 0.575 gives w_0 = -0.71, w_a = -0.91 (one parameter). DESI DR2 central values are w_0 = -0.70 ± 0.10, w_a = -0.90 ± 0.30. ",Paper III §7.2.4,t_trans = 0.575 not derived from nucleation perturbation spectrum,absent_demoted_to_target,keep as target/forecast only with script provenance; do not restore as DR,DESI is cited as an observational target; w0/wa transition numerics are not in the canonical text.,medium,restoration_candidates.csv
D25,DR,REGGE_TRAJECTORIES: m² ∝ J from flux tube length r ∝ √J combined with linear potential σr. Bonus result of confinement mechanism. ,Paper II §5.4,,absent_overpruned_candidate,add low-priority restoration candidate for Regge/flux-tube comparison,Regge trajectory result is absent from canonical Paper II.,medium,restoration_candidates.csv
D26,CV,"BDG_RG_FIXED_POINTS: two-state RG α_s(μ) = 1/√(c_2 · S_eff(μ)) has exact fixed points α_s^IR = 1/3 (confinement, μ→0) and α_s^UV = 1/√72 (asymptotic freedom, μ→∞). Both from BDG integers alone. ","Paper II §5.5, scripts d3_alpha_s_proof.py",,absent_correctly_demoted,keep bridge/candidate only,Running-coupling/RG fixed-point overlays are explicitly outside active native support.,review,restoration_candidates.csv
D27,DR,"ABSENCE_OF_SUSY: hierarchy problem dissolved (no QFT loops in DAG); DM handled by P_act (no LSP needed); gauge unification at BDG level; SUSY algebra not generated by BDG dynamics (fermion 2-periodic ≠ boson 1-periodic, no symmetry maps between them). ",Paper II §7,,absent_archive_or_bridge,do not restore unless a comparison appendix is desired,Absence of SUSY is absent and not central to native support.,review,archive_or_bridge_note
D28,Conjecture,"GRAND_UNIFICATION: at Planck scale μ→∞, SU(3)_colour × SU(3)_gen unify into single group acting on all six non-gravitational BDG degrees of freedom. sin²θ_W = 3/8 at unification (SU(5)-type value). ",Paper II §8,explicit GUT group identification,absent_demoted_to_cartography,"keep as conjectural cartography, not active target",GUT/unification overlay is mentioned only as downstream cartography.,review,restoration_candidates.csv
D29,LV,"EXACT_PROTON_STABILITY: baryon number is LLC applied to N_2 spatial winding. Proton decay is structurally forbidden at every scale. Falsifiable by Hyper-K, DUNE. ","Paper II §8.4, Lean 4 baryon chirality (13 theorems)",,absent_overpruned_candidate,"create candidate linked to chirality/orientation Lean support; phrase as proton-stability target, not proof","Exact proton stability/proton decay prohibition is absent from Paper II. Potentially valuable, but needs exact source mapping.",high,restoration_candidates.csv
D30,DR,"STRONG_CP_DISSOLUTION: θ_QCD = 0 exactly. Two independent arguments: (i) DAG has no smooth gauge-field topology, no π_3(SU(3)) winding sectors, no instantons. (ii) CP is exact symmetry of LLC N_2 charge. No axion needed (not ruled out but structurally unnecessary). ",Paper II §10.1,,absent_archive_or_bridge,do not restore as DR; possible speculative comparison note,Strong-CP dissolution is absent and should remain outside active proof graph unless formal topology claim is added.,review,archive_or_bridge_note
D34,DR,"KOIDE_BREAKING_QUARKS: one-loop Casimir formula K = 2/3 + (2^(d-1) α_EM/π)(Q_N1²/9) + (α_s/π) C_2,colour with zero free parameters. Predicts K_ℓ = 0.685 (obs 0.6667, 2.8%), K_dn = 0.787 (obs 0.731, 7.6%), K_up = 0.793 (obs 0.849, 6.6%). ",Paper II §3.2,,absent_correctly_demoted,keep as downstream numerical cartography; do not restore in active text,Quark Koide-breaking formula is absent; current text only preserves Koide identity as mathematical support and rest-mass embedding open.,review,archive_or_bridge_note
D35,Conjecture,"CABIBBO_SU3GEN: θ_lep = 2/(N_gen · N_col) = 2/9 rad. Predicts |V_us| = sin(2/9) = 0.2204 (obs 0.22453, 1.8%). ",Paper II §3.3,,absent_candidate_only,optional restoration candidate under flavor numerics,Cabibbo formula absent except citation; not active support.,low,restoration_candidates.csv
D36,Conjecture,"VCB_HAAR: |V_cb| = (2/π) δ = 3α_s(μ)/(2π²) = 0.0424 (obs 0.0421, 0.4%). δ = 3α_s/(4π) = Casimir displacement of up/dn sectors from lepton θ_0. ",Paper II §3.3,,absent_candidate_only,optional restoration candidate under flavor numerics,V_cb formula absent.,low,restoration_candidates.csv
D37,DR,"MAJORANA_NEUTRINOS: SU(3)_gen structure with K = 2/3 in Majorana convention requires one signed √m_k to be negative. RA predicts neutrinos are Majorana (testable via 0νββ experiments). Σm_ν ≈ 59 meV, m_1 ≈ 0.36 meV. ",Paper II §3.4,,absent_target_candidate,optional neutrino/Majorana target candidate if source-backed,Majorana neutrino prediction absent.,medium,restoration_candidates.csv
D42,CV,"DFT_F1_SUPPORT: B3LYP/6-311+G* calculations on formamide, HCN, glycine, adenine precursors confirm R_QD > 1 at T=300K. Computational support for F1 in RNA-world parameter range. ",Paper IV §4.3,,present_as_open_target,do not promote DFT as active support; keep computational target,Paper IV explicitly demotes DFT overlays to open computation.,review,restoration_candidates.csv
D43,DR,"KINEMATIC_COHERENCE_BOUND: N_max = η / p_th = η / α_EM for fault- tolerant quantum arrays. Hard kinematic ceiling, not operational. Standard decoherence theory: exponentially difficult but unbounded scaling. RA: hard ceiling. Distinguishable at ~1000 logical qubits. ",Paper IV §5.1,,mostly_absent_target,add restoration candidate/target for KCB if desired; not active support,"Kinematic Coherence Bound appears only as deferred suite-level target, not in Paper IV.",high,restoration_candidates.csv
D44,DR,"SPIN_BATH_COLLAPSE: t* = (1/g)√(ΔS*/2) = 0.274/g, parameter-free. Distinguishes RA from GRW/CSL (different parameter dependences). ",Paper IV §5.3,,mostly_absent_target,add restoration candidate/target for spin-bath collapse if desired,"Spin-bath collapse appears only as deferred target, not as Paper IV result.",medium,restoration_candidates.csv
D46,DR,MAXWELL_DEMON_DISSOLVED: demon's information-processing cost is actualization cost of observation + Landauer cost of memory erasure. Total ≥ entropy reduction achieved. Second law preserved structurally. ,Paper IV §5.5,,absent_candidate_only,optional future thermodynamics target,Maxwell demon dissolution absent.,low,restoration_candidates.csv
D50,DR,"E_GAMMA_M_C2_FROM_FREQUENCY: E = γmc² is the actualization frequency of a pattern in the observer's frame. f_0 = mc²/h (rest frame Compton frequency), f = f_0/γ (time-dilated in moving frame), E = h f_0 · γ = γmc². ",Paper I §8.3,,absent_open_target,add restoration candidate under RA-OPEN-009; no active claim yet,E=γmc² as actualization frequency is absent; frequency law remains open.,high,restoration_candidates.csv
