artifact_id,filename,type,status,artifact_role,supports_results,repo_relative_path,sha256,git_sha,path_observed,notes,migration_note,path,role
ART-SIM-CERT-FAMILY-V08-PACKET,RA_CausalDAG_MotifCommitSimulator_v0_8_IndependentCertifiedFamilies_May05_2026,dir,proposed_packet_local,packet_provenance,RA-SIM-CERT-FAMILY-001;RA-SIM-CERT-FAMILY-002;RA-SIM-CERT-FAMILY-003,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_8_IndependentCertifiedFamilies_May05_2026,,,/mnt/data/RA_CausalDAG_MotifCommitSimulator_v0_8_IndependentCertifiedFamilies_May05_2026,v0.8 independent certified support-family packet artifact,manual active-schema application recommended,,packet_provenance
ART-SIM-CERT-FAMILY-V08-MODULE,ra_causal_dag_independent_cert_families.py,python,proposed_packet_local,simulation_module,RA-SIM-CERT-FAMILY-001;RA-SIM-CERT-FAMILY-002;RA-SIM-CERT-FAMILY-003,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_8_IndependentCertifiedFamilies_May05_2026/simulator/ra_causal_dag_independent_cert_families.py,f0720b403ac18fdec679a6ce28305b7dbe41d05d375c09098477054d1341c3ac,,/mnt/data/RA_CausalDAG_MotifCommitSimulator_v0_8_IndependentCertifiedFamilies_May05_2026/simulator/ra_causal_dag_independent_cert_families.py,v0.8 independent certified support-family packet artifact,manual active-schema application recommended,simulator/ra_causal_dag_independent_cert_families.py,simulation_module
ART-MOTIF-CERTIFIED-SUPPORT-FAMILY-BRIDGE,RA_MotifCertifiedSupportFamilyBridge.lean,lean,proposed_packet_local,formal_source,RA-MOTIF-INDEPENDENT-CERT-FAMILY-001;RA-MOTIF-INDEPENDENT-CERT-FAMILY-002,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_8_IndependentCertifiedFamilies_May05_2026/lean/RA_MotifCertifiedSupportFamilyBridge.lean,fb6ba392d2a1a0dc44a39f6efb0d1a21a2ea8d222c00a937c9008c41cefb1588,,/mnt/data/RA_CausalDAG_MotifCommitSimulator_v0_8_IndependentCertifiedFamilies_May05_2026/lean/RA_MotifCertifiedSupportFamilyBridge.lean,v0.8 independent certified support-family packet artifact,manual active-schema application recommended,lean/RA_MotifCertifiedSupportFamilyBridge.lean,formal_source
ART-SIM-CERT-FAMILY-V08-TESTS,test_v0_8_independent_cert_families.py,python,proposed_packet_local,validation_tests,RA-SIM-CERT-FAMILY-001;RA-SIM-CERT-FAMILY-003,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_8_IndependentCertifiedFamilies_May05_2026/tests/test_v0_8_independent_cert_families.py,de7221be200c6ca8f59bcecb14cb8fb85dfac07cb2f55694caaf3eab2ecb7ea3,,/mnt/data/RA_CausalDAG_MotifCommitSimulator_v0_8_IndependentCertifiedFamilies_May05_2026/tests/test_v0_8_independent_cert_families.py,v0.8 independent certified support-family packet artifact,manual active-schema application recommended,tests/test_v0_8_independent_cert_families.py,validation_tests
ART-SIM-CERT-FAMILY-V08-VALIDATION,validation_unittest_v0_8.log,log,proposed_packet_local,validation_log,RA-SIM-CERT-FAMILY-001;RA-SIM-CERT-FAMILY-003,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_8_IndependentCertifiedFamilies_May05_2026/reports/validation_unittest_v0_8.log,c891b3f63f793d9e6f5d7bb6e679befaf18a8ab2b2fbe27fff78453fa6447851,,/mnt/data/RA_CausalDAG_MotifCommitSimulator_v0_8_IndependentCertifiedFamilies_May05_2026/reports/validation_unittest_v0_8.log,v0.8 independent certified support-family packet artifact,manual active-schema application recommended,reports/validation_unittest_v0_8.log,validation_log
ART-SIM-CERT-FAMILY-V08-REPORT,RA_CausalDAG_MotifCommitSimulator_v0_8_IndependentCertifiedFamilies_Report_May05_2026.md,md,proposed_packet_local,formal_bridge_report,RA-SIM-CERT-FAMILY-001;RA-SIM-CERT-FAMILY-002;RA-SIM-CERT-FAMILY-003;RA-SIM-CERT-FAMILY-METHOD-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_8_IndependentCertifiedFamilies_May05_2026/reports/RA_CausalDAG_MotifCommitSimulator_v0_8_IndependentCertifiedFamilies_Report_May05_2026.md,83ba4ccf70cd1575fa9c0ccc727dba239e5c6c3a1591810e850de0dbc5660291,,/mnt/data/RA_CausalDAG_MotifCommitSimulator_v0_8_IndependentCertifiedFamilies_May05_2026/reports/RA_CausalDAG_MotifCommitSimulator_v0_8_IndependentCertifiedFamilies_Report_May05_2026.md,v0.8 independent certified support-family packet artifact,manual active-schema application recommended,reports/RA_CausalDAG_MotifCommitSimulator_v0_8_IndependentCertifiedFamilies_Report_May05_2026.md,formal_bridge_report
ART-SIM-CERT-FAMILY-V08-CORRELATION,ra_certification_correlation_sweep_v0_8.csv,csv,proposed_packet_local,simulation_output,RA-SIM-CERT-FAMILY-002,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_8_IndependentCertifiedFamilies_May05_2026/outputs/ra_certification_correlation_sweep_v0_8.csv,be0dfd19c7550cab7060b89455170cca0f3303e6bef3d6abfbd1dc20c316e7fc,,/mnt/data/RA_CausalDAG_MotifCommitSimulator_v0_8_IndependentCertifiedFamilies_May05_2026/outputs/ra_certification_correlation_sweep_v0_8.csv,v0.8 independent certified support-family packet artifact,manual active-schema application recommended,outputs/ra_certification_correlation_sweep_v0_8.csv,simulation_output
ART-SIM-CERT-FAMILY-V08-SUMMARY,ra_independent_cert_family_summary_v0_8.csv,csv,proposed_packet_local,simulation_output,RA-SIM-CERT-FAMILY-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_8_IndependentCertifiedFamilies_May05_2026/outputs/ra_independent_cert_family_summary_v0_8.csv,3923ab086abcf4fbea0de340eb4d75c00e02ccfe19922f3b57703684be2fceb1,,/mnt/data/RA_CausalDAG_MotifCommitSimulator_v0_8_IndependentCertifiedFamilies_May05_2026/outputs/ra_independent_cert_family_summary_v0_8.csv,v0.8 independent certified support-family packet artifact,manual active-schema application recommended,outputs/ra_independent_cert_family_summary_v0_8.csv,simulation_output
ART-SIM-CERT-FAMILY-V08-SELECTOR,ra_independent_cert_selector_guardrail_v0_8.csv,csv,proposed_packet_local,simulation_output,RA-SIM-CERT-FAMILY-003,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_8_IndependentCertifiedFamilies_May05_2026/outputs/ra_independent_cert_selector_guardrail_v0_8.csv,bd5972204bf1cd11e6eee9c088bde59e847f0b55d004a5627acb7dfb7e22415a,,/mnt/data/RA_CausalDAG_MotifCommitSimulator_v0_8_IndependentCertifiedFamilies_May05_2026/outputs/ra_independent_cert_selector_guardrail_v0_8.csv,v0.8 independent certified support-family packet artifact,manual active-schema application recommended,outputs/ra_independent_cert_selector_guardrail_v0_8.csv,simulation_output
ART-SIM-CERT-FAMILY-V08-AUDIT,source_audit_RA_CausalDAG_MotifCommitSimulator_v0_8_May05_2026.log,log,proposed_packet_local,source_audit,RA-SIM-CERT-FAMILY-001;RA-MOTIF-INDEPENDENT-CERT-FAMILY-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v0_8_IndependentCertifiedFamilies_May05_2026/reports/source_audit_RA_CausalDAG_MotifCommitSimulator_v0_8_May05_2026.log,199442627d0a5df2715a8ae9e0156dc97120d735abd58c8354b8c24077dbe6a9,,/mnt/data/RA_CausalDAG_MotifCommitSimulator_v0_8_IndependentCertifiedFamilies_May05_2026/reports/source_audit_RA_CausalDAG_MotifCommitSimulator_v0_8_May05_2026.log,v0.8 independent certified support-family packet artifact,manual active-schema application recommended,reports/source_audit_RA_CausalDAG_MotifCommitSimulator_v0_8_May05_2026.log,source_audit
