path,lineno,category,term,pattern,context
src/RA_AQFT/D1_BDG_MCMC_simulation.py,4,ra_native,BDG,\bBDG\b,BDG-filtered Poisson-CSG: full simulation and physical quantity extraction
src/RA_AQFT/D1_BDG_MCMC_simulation.py,6,ra_native,BDG,\bBDG\b,RAGC Derivation 1 — BDG-filter MCMC
src/RA_AQFT/D1_BDG_MCMC_simulation.py,14,ra_native,BDG,\bBDG\b,- Remaining open: absolute Λ_QCD from BDG without external QCD input
src/RA_AQFT/D1_BDG_MCMC_simulation.py,24,ra_native,BDG,\bBDG\b,# BDG integers
src/RA_AQFT/D1_BDG_MCMC_simulation.py,39,ra_native,BDG,\bBDG\b,# ── BDG Statistics ────────────────────────────────────────────────────────────
src/RA_AQFT/D1_BDG_MCMC_simulation.py,49,ra_native,BDG,\bBDG\b,"""""""Monte Carlo statistics of the BDG-filtered Poisson-CSG at density μ."""""""
src/RA_AQFT/D1_BDG_MCMC_simulation.py,132,ra_native,BDG,\bBDG\b,"sin²θ_W = 3/8 (BDG GUT value, proved); running gives 0.231 at m_Z"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,133,ra_native,BDG,\bBDG\b,m_W = 80.379 GeV (PDG; RA BDG EW scale derivation is open target)
src/RA_AQFT/D1_BDG_MCMC_simulation.py,143,ra_native,BDG,\bBDG\b,'note': ('Tree-level formula. sin²θ_W from BDG (GUT→EW running). '
src/RA_AQFT/D1_BDG_MCMC_simulation.py,144,ra_native,BDG,\bBDG\b,"'m_W from PDG; BDG EW scale derivation is open target.'),"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,170,ra_native,BDG,\bBDG\b,"print(""D1 BDG-FILTER MCMC — PHYSICAL EXTRACTION"")"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,175,ra_native,BDG,\bBDG\b,"print(""Running BDG-filtered Poisson-CSG phase diagram..."")"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,233,ra_native,BDG,\bBDG\b,"print(f""  ✓ G_F (tree level): 0.3% of PDG using BDG sin²θ_W = 3/8"")"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,237,ra_native,BDG,\bBDG\b,"print(""  ○ Absolute energy unit: derive Λ_QCD from BDG without external α_s input"")"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,240,ra_native,BDG,\bBDG\b,"print(""  ○ G_F precise: derive m_W from BDG EW scale (Higgs vev)"")"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,241,ra_native,BDG,\bBDG\b,"print(""    — requires BDG treatment of EW symmetry breaking scale"")"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,242,ra_native,BDG,\bBDG\b,"print(""  ○ α_EM (Wyler): derive from μ→0 BDG path weight (D5 in RASM)"")"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,14,standard_qft_sm_bridge,QCD,\bQCD\b,- Remaining open: absolute Λ_QCD from BDG without external QCD input
src/RA_AQFT/D1_BDG_MCMC_simulation.py,164,standard_qft_sm_bridge,QCD,\bQCD\b,"'P_acc≈0.548 (minimum). Energy scale maps to non-perturbative QCD.'),"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,239,standard_qft_sm_bridge,QCD,\bQCD\b,"print(""    — beyond 1-loop perturbative QCD; needs lattice or functional RG"")"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,37,standard_qft_sm_bridge,alpha_s,alpha_s,alpha_s_2mp = 0.311      # FLAG 2021
src/RA_AQFT/D1_BDG_MCMC_simulation.py,152,standard_qft_sm_bridge,alpha_s,alpha_s,def alpha_s_RA(mu):
