paper,section_level,section_title,mapped_node_ids,mapped_node_names,mapped_node_types,coverage_status,section_word_count,excerpt
Paper I,section,Introduction,,,,textual_context,592,Modern physics is extraordinarily successful at prediction and yet still divided at the foundational level. Quantum mechanics offers a precise calculus for amplitudes and frequencies but leaves the transition from possibility to fact formally external to its unitary core. General relativity gives a 
Paper I,section,Relation to Causal Set Theory,,,,textual_context,105,"sec:relation-cst RA is most naturally read in the immediate lineage of causal set theory (CST), not in opposition to it. Like CST, it takes the fundamental substrate to be a locally finite causal order [ C=(X, ). ] What RA changes is not the kinematic substrate but the physical interpretation and th"
Paper I,subsection,From causal order to universe-state,RA-ONT-001;RA-LLC-001,Finite causal graph ontology; Local Ledger Condition,claim;claim,mapped,82,"In bare CST the primitive object is the causal set itself. In RA the realized state at stage n is the pair [ U_n=(G_n, (G_n)), ] where G_n=(V_n, _n) is the actualized causal graph and (G_n) is the structured adjacent possible of admissible one-vertex extensions. This is the first structural extensio"
Paper I,subsection,Relation to classical sequential growth,RA-ONT-002;RA-ONT-003;RA-KERNEL-003;RA-KERNEL-004,Irreversible actualization; Structured potentia / adjacent possible; Finite potentia; Stochastic actualization kernel requirement,claim;claim;claim;issue,mapped,112,"Classical Sequential Growth (CSG) models assign transition probabilities to allowed births of new elements, subject to covariance and causality conditions. RA belongs to the same broad family of sequential growth frameworks, but constrains the local transition structure more strongly. For each candi"
Paper I,subsection,Covariance remark,,,,textual_context,111,A CST-informed reader will immediately ask whether this growth process depends on arbitrary labels. A full proof that the induced measure on completed histories satisfies a discrete general covariance condition analogous to that of CSG is not given in this paper. What is established here is the stru
Paper I,subsection,Summary comparison,,,,textual_context,137,"center tabular p 0.42 p 0.46 Causal Set Theory & Relational Actualism Locally finite causal order (X, ) & Actualized causal graph G_n with the same locally finite causal-order substrate Allowed extensions or completed histories & Structured adjacent possible (G_n) of admissible local futures Sequent"
Paper I,section,The Seven Axioms,RA-ONT-001;RA-ONT-002;RA-ONT-003;RA-ONT-004;RA-LLC-001;RA-KERNEL-003,Finite causal graph ontology; Irreversible actualization; Structured potentia / adjacent possible; Finitary Actuality; Local Ledger Condition; Finite potentia,claim;claim;claim;claim;claim;claim,mapped,360,"sec:axioms axiom[Causal graph ontology] ax:graph At every realized stage, the universe possesses an actualized causal graph G_n=(V_n, _n) whose vertices are irreversible actualization events and whose directed edges encode the causal order. axiom axiom[Irreversibility] ax:irrev Once a vertex is actu"
Paper I,subsection,Notation used throughout the kernel paper,,,,textual_context,102,"center tabular > p 0.22 > p 0.68 Symbol & Meaning G_n=(V_n, _n) & Actualized causal graph at stage n U_n=(G_n, (G_n)) & Universe-state: realized graph together with structured potentia (G_n) & Admissible one-vertex extensions of G_n N_k(v) & Depth- k ancestor count for candidate vertex v S(v,G) or S"
Paper I,section,The Causal Graph,,,,textual_context,381,"sec:graph definition[Causal graph] G=(V, ) is a locally finite partially ordered set where V is a finite set of vertices (Axiom~ax:finite), is a strict partial order satisfying irreflexivity ( v v ), transitivity ( u w and w v implies u v ), and local finiteness (every interval w:u w v is finite). d"
Paper I,section,The BDG Action and Its Integers,RA-KERNEL-001;RA-ARITH-001;RA-ARITH-002,Four-dimensional BDG acceptance kernel; BDG coefficient arithmetic spine; Second-order cancellation pattern,claim;claim;claim,mapped,257,"sec:bdg The BDG action~Benincasa2010 is inherited from the causal-set programme, but RA uses it in a more local and ontological way than is standard in continuum-recovery discussions. Rather than treating the BDG coefficients only as a discrete route toward a continuum action, RA uses the same finit"
