artifact_id,filename,type,status,artifact_role,supports_results,repo_relative_path,sha256,git_sha,path_observed,notes,migration_note,path,role
ART-MOTIF-PER-GRAPH-ORIENT-WITNESS-LEAN-v1-4,RA_MotifPerGraphOrientationWitness.lean,lean,lean_build_confirmed_no_sorry_no_admit_no_axiom,formalization_module,RA-MOTIF-PER-GRAPH-ORIENT-WITNESS-001,src/RA_AQFT/RA_MotifPerGraphOrientationWitness.lean,74b306ba362f629a6a12c244e61a78ffc66670b4afe20142666e34edc777bbcf,241fd629083a1ce5e7771be2e28ab6a4d704b31d,src/RA_AQFT/RA_MotifPerGraphOrientationWitness.lean,Tier-B Lean module; lake build closed 8286/8286 jobs ~72s with 0 sorry/admit/axiom. Installed SHA differs from packet original (7b0c54d7...) due to three fixes. (1) DAGNativeCertificateComponentContext G Γ M F Ξ Ω -> ... Ω (recurring v1.x parameter-passing fix; CLAUDE.md item 7). (2) GraphNativeCertificateComponentContext G Γ M F Ξ Ω -> ... Ω (same for Graph variant). (3) NEW VARIANT - Π reserved-token rename. The packet author used `Π` (capital pi) as the parameter name for the per-graph witness context; Π is reserved by Lean 4 for the dependent-product binder. Renamed Π -> P across the file (same family as the Σ -> S rename in CLAUDE.md item 1). The chainScore unblocker (RA-ISSUE-LEAN-CHAINSCORE-001 resolved via D1Native namespacing) means the full native catalog inherited via RA_MotifNativeOrientationLinkDerivation is now importable.,active RAKB v0.5 14-column artifact upsert,src/RA_AQFT/RA_MotifPerGraphOrientationWitness.lean,formalization_module
ART-SIM-PER-GRAPH-ORIENT-WITNESS-ANALYSIS-v1-4,ra_per_graph_orientation_witness.py,py,canonical_run_confirmed,analysis_source,RA-SIM-PER-GRAPH-ORIENT-WITNESS-001;RA-SIM-PER-GRAPH-ORIENT-WITNESS-002,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_4_PerGraphOrientationWitness_May05_2026/analysis/ra_per_graph_orientation_witness.py,62cfef91bb90bad20b5a5bad40c135c30801b428b6de775e2696a85ab522fba4,241fd629083a1ce5e7771be2e28ab6a4d704b31d,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_4_PerGraphOrientationWitness_May05_2026/analysis/ra_per_graph_orientation_witness.py,Per-graph orientation-link witness extractor that combines simulator state rows with native catalog tokens (from v1.3 manifest); installed SHA matches packet original.,active RAKB v0.5 14-column artifact upsert,analysis/ra_per_graph_orientation_witness.py,analysis_source
ART-SIM-PER-GRAPH-ORIENT-WITNESS-RUNSCRIPT-v1-4,run_per_graph_orientation_witness_v1_4.py,py,canonical_run_confirmed,analysis_source,RA-SIM-PER-GRAPH-ORIENT-WITNESS-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_4_PerGraphOrientationWitness_May05_2026/scripts/run_per_graph_orientation_witness_v1_4.py,2ce2f874f08a2c03007d1355f0bbec5b98b5532774d198ffad4ed6eb6ea3ce7a,241fd629083a1ce5e7771be2e28ab6a4d704b31d,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_4_PerGraphOrientationWitness_May05_2026/scripts/run_per_graph_orientation_witness_v1_4.py,CLI wrapper.,active RAKB v0.5 14-column artifact upsert,scripts/run_per_graph_orientation_witness_v1_4.py,analysis_source
ART-SIM-PER-GRAPH-ORIENT-WITNESS-TESTS-v1-4,test_v1_4_per_graph_orientation_witness.py,py,canonical_run_validated,validation_log,RA-SIM-PER-GRAPH-ORIENT-WITNESS-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_4_PerGraphOrientationWitness_May05_2026/tests/test_v1_4_per_graph_orientation_witness.py,c425ac2bec21e51074b705e6e33e118b7313238725d0fe5f039dd991d7e7760a,241fd629083a1ce5e7771be2e28ab6a4d704b31d,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_4_PerGraphOrientationWitness_May05_2026/tests/test_v1_4_per_graph_orientation_witness.py,4 unit tests; all pass. Installed SHA differs from packet original because the packet hardcoded /mnt/data/... paths from the packet author`s environment; replaced DATA constant with Path(__file__).resolve().parents[2] so tests work in this repo.,active RAKB v0.5 14-column artifact upsert,tests/test_v1_4_per_graph_orientation_witness.py,validation_log
ART-SIM-PER-GRAPH-ORIENT-WITNESS-REPORT-v1-4,RA_CausalDAG_MotifCommitSimulator_v1_4_PerGraphOrientationWitness_Report_May05_2026.md,md,canonical_run_confirmed,formal_bridge_report,RA-MOTIF-PER-GRAPH-ORIENT-WITNESS-001;RA-SIM-PER-GRAPH-ORIENT-WITNESS-001;RA-SIM-PER-GRAPH-ORIENT-WITNESS-002,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_4_PerGraphOrientationWitness_May05_2026/reports/RA_CausalDAG_MotifCommitSimulator_v1_4_PerGraphOrientationWitness_Report_May05_2026.md,9539e4b4f7bdd4684567cc0b3b6f3ddb58e5a7cd25b3d4f0bdc22027c6a46f2e,241fd629083a1ce5e7771be2e28ab6a4d704b31d,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_4_PerGraphOrientationWitness_May05_2026/reports/RA_CausalDAG_MotifCommitSimulator_v1_4_PerGraphOrientationWitness_Report_May05_2026.md,Packet narrative report.,active RAKB v0.5 14-column artifact upsert,reports/RA_CausalDAG_MotifCommitSimulator_v1_4_PerGraphOrientationWitness_Report_May05_2026.md,formal_bridge_report
ART-SIM-PER-GRAPH-ORIENT-WITNESS-BRIDGE-v1-4,simulator_to_lean_per_graph_orientation_witness_v1_4.md,md,canonical_run_confirmed,bridge_mapping,RA-MOTIF-PER-GRAPH-ORIENT-WITNESS-001;RA-SIM-PER-GRAPH-ORIENT-WITNESS-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_4_PerGraphOrientationWitness_May05_2026/bridge/simulator_to_lean_per_graph_orientation_witness_v1_4.md,b3fbdee735ecf8d0dfba9da40f421bc7ffa2326f319de47cf20f7936ad9bab2b,241fd629083a1ce5e7771be2e28ab6a4d704b31d,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_4_PerGraphOrientationWitness_May05_2026/bridge/simulator_to_lean_per_graph_orientation_witness_v1_4.md,Simulator-to-Lean mapping for per-graph orientation-link witness.,active RAKB v0.5 14-column artifact upsert,bridge/simulator_to_lean_per_graph_orientation_witness_v1_4.md,bridge_mapping
ART-SIM-PER-GRAPH-ORIENT-WITNESS-VALIDATION-v1-4,validation_unittest_v1_4.log,log,canonical_run_confirmed,validation_log,RA-SIM-PER-GRAPH-ORIENT-WITNESS-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_4_PerGraphOrientationWitness_May05_2026/reports/validation_unittest_v1_4.log,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,241fd629083a1ce5e7771be2e28ab6a4d704b31d,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_4_PerGraphOrientationWitness_May05_2026/reports/validation_unittest_v1_4.log,Validation log; all 4 unit tests pass post test-path fix.,active RAKB v0.5 14-column artifact upsert,reports/validation_unittest_v1_4.log,validation_log
ART-SIM-PER-GRAPH-ORIENT-WITNESS-SOURCE-AUDIT-v1-4,source_audit_RA_CausalDAG_MotifCommitSimulator_v1_4_May05_2026.log,log,generated_source_audit,source_audit,RA-MOTIF-PER-GRAPH-ORIENT-WITNESS-001;RA-SIM-PER-GRAPH-ORIENT-WITNESS-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_4_PerGraphOrientationWitness_May05_2026/reports/source_audit_RA_CausalDAG_MotifCommitSimulator_v1_4_May05_2026.log,805ae399eb74d901feb834260fa05b5bb3ad478c305e5584781cbfeacf6b5441,241fd629083a1ce5e7771be2e28ab6a4d704b31d,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_4_PerGraphOrientationWitness_May05_2026/reports/source_audit_RA_CausalDAG_MotifCommitSimulator_v1_4_May05_2026.log,Source audit log.,active RAKB v0.5 14-column artifact upsert,reports/source_audit_RA_CausalDAG_MotifCommitSimulator_v1_4_May05_2026.log,source_audit
ART-SIM-PER-GRAPH-ORIENT-WITNESS-MEMBERS-v1-4,ra_per_graph_orientation_witness_members_v1_4.csv,csv,canonical_run_validated,analysis_output,RA-SIM-PER-GRAPH-ORIENT-WITNESS-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_4_PerGraphOrientationWitness_May05_2026/outputs/ra_per_graph_orientation_witness_members_v1_4.csv,2624e16d1903b1f9bdb88f472d3034f638107f923a6596d3d980d2e455de11f1,241fd629083a1ce5e7771be2e28ab6a4d704b31d,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_4_PerGraphOrientationWitness_May05_2026/outputs/ra_per_graph_orientation_witness_members_v1_4.csv,4800 member witness rows (10 members per row x 480 input rows); each row carries orientation_link_tokens combining native catalog declarations with graph-local per-member tokens (e.g. orientation-cut-role:0/1).,active RAKB v0.5 14-column artifact upsert,outputs/ra_per_graph_orientation_witness_members_v1_4.csv,analysis_output
ART-SIM-PER-GRAPH-ORIENT-WITNESS-OVERLAP-v1-4,ra_per_graph_orientation_link_overlap_v1_4.csv,csv,canonical_run_validated,analysis_output,RA-SIM-PER-GRAPH-ORIENT-WITNESS-002,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_4_PerGraphOrientationWitness_May05_2026/outputs/ra_per_graph_orientation_link_overlap_v1_4.csv,dede376fce8f624350c1710389a88544f23b877a5dbbfa2774602d9c22fc83c8,241fd629083a1ce5e7771be2e28ab6a4d704b31d,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_4_PerGraphOrientationWitness_May05_2026/outputs/ra_per_graph_orientation_link_overlap_v1_4.csv,Per-row aggregated per-graph orientation-link overlap surface.,active RAKB v0.5 14-column artifact upsert,outputs/ra_per_graph_orientation_link_overlap_v1_4.csv,analysis_output
