claim_id,claim_name,claim_node_type,artifact_id,filename,artifact_type,relation,source_span,verification_status,notes
RA-OPEN-FRONTIER-NORMAL-FORM-001,Frontier/incidence normal form for actualization candidates,issue,ART-SEL-LEAN-RA_HasseFrontier_Maximal_v1,RA_HasseFrontier_Maximal_v1.lean,lean,formalization_scaffold,MaximalReachableAbove; TopoMaxCertificate; maximalReachableAboveOfTopoMax; coverOfTopoMaxCertificate,lean_env_compile_confirmed_no_sorry_no_admit_no_axiom,Compile-confirmed maximal-frontier certificate bridge in Selector Closure theorem ladder.
RA-OPEN-FRONTIER-NORMAL-FORM-001,Frontier/incidence normal form for actualization candidates,issue,ART-SEL-REPORT-HasseFrontierMaximalCompileConfirmed,RA_HasseFrontier_Maximal_CompileConfirmed_Report_Apr29_2026.md,md,compile_confirmation_report,entire report,generated_reviewed,Records successful local compile confirmation for maximal-frontier certificate scaffold.
RA-OPEN-ACTUALIZATION-SELECTOR-001,RA-native actualization selector,issue,ART-SEL-LEAN-RA_HasseFrontier_Maximal_v1,RA_HasseFrontier_Maximal_v1.lean,lean,formalization_scaffold,MaximalReachableAbove; TopoMaxCertificate; maximalReachableAboveOfTopoMax; coverOfTopoMaxCertificate,lean_env_compile_confirmed_no_sorry_no_admit_no_axiom,Compile-confirmed maximal-frontier certificate bridge in Selector Closure theorem ladder.
RA-OPEN-ACTUALIZATION-SELECTOR-001,RA-native actualization selector,issue,ART-SEL-REPORT-HasseFrontierMaximalCompileConfirmed,RA_HasseFrontier_Maximal_CompileConfirmed_Report_Apr29_2026.md,md,compile_confirmation_report,entire report,generated_reviewed,Records successful local compile confirmation for maximal-frontier certificate scaffold.
RA-OPEN-SELECTOR-CLOSURE-001,Selector Closure Theorem,issue,ART-SEL-LEAN-RA_HasseFrontier_Maximal_v1,RA_HasseFrontier_Maximal_v1.lean,lean,formalization_scaffold,MaximalReachableAbove; TopoMaxCertificate; maximalReachableAboveOfTopoMax; coverOfTopoMaxCertificate,lean_env_compile_confirmed_no_sorry_no_admit_no_axiom,Compile-confirmed maximal-frontier certificate bridge in Selector Closure theorem ladder.
RA-OPEN-SELECTOR-CLOSURE-001,Selector Closure Theorem,issue,ART-SEL-REPORT-HasseFrontierMaximalCompileConfirmed,RA_HasseFrontier_Maximal_CompileConfirmed_Report_Apr29_2026.md,md,compile_confirmation_report,entire report,generated_reviewed,Records successful local compile confirmation for maximal-frontier certificate scaffold.
RA-OPEN-NO-HISTORY-QUOTIENT-001,No actual-history quotient principle,issue,ART-SEL-LEAN-RA_HasseFrontier_Maximal_v1,RA_HasseFrontier_Maximal_v1.lean,lean,formalization_scaffold,MaximalReachableAbove; TopoMaxCertificate; maximalReachableAboveOfTopoMax; coverOfTopoMaxCertificate,lean_env_compile_confirmed_no_sorry_no_admit_no_axiom,Compile-confirmed maximal-frontier certificate bridge in Selector Closure theorem ladder.
RA-OPEN-NO-HISTORY-QUOTIENT-001,No actual-history quotient principle,issue,ART-SEL-REPORT-HasseFrontierMaximalCompileConfirmed,RA_HasseFrontier_Maximal_CompileConfirmed_Report_Apr29_2026.md,md,compile_confirmation_report,entire report,generated_reviewed,Records successful local compile confirmation for maximal-frontier certificate scaffold.
RA-OPEN-TOPOLOGICAL-LEDGER-001,Topological/incidence derivation of RA ledger rule,issue,ART-SEL-LEAN-RA_HasseFrontier_Maximal_v1,RA_HasseFrontier_Maximal_v1.lean,lean,formalization_scaffold,MaximalReachableAbove; TopoMaxCertificate; maximalReachableAboveOfTopoMax; coverOfTopoMaxCertificate,lean_env_compile_confirmed_no_sorry_no_admit_no_axiom,Compile-confirmed maximal-frontier certificate bridge in Selector Closure theorem ladder.
RA-OPEN-TOPOLOGICAL-LEDGER-001,Topological/incidence derivation of RA ledger rule,issue,ART-SEL-REPORT-HasseFrontierMaximalCompileConfirmed,RA_HasseFrontier_Maximal_CompileConfirmed_Report_Apr29_2026.md,md,compile_confirmation_report,entire report,generated_reviewed,Records successful local compile confirmation for maximal-frontier certificate scaffold.
RA-OPEN-CHARGE-SIGN-001,Edge-level sign-source for signed N1 charge,issue,ART-SEL-LEAN-RA_HasseFrontier_Maximal_v1,RA_HasseFrontier_Maximal_v1.lean,lean,formalization_scaffold,MaximalReachableAbove; TopoMaxCertificate; maximalReachableAboveOfTopoMax; coverOfTopoMaxCertificate,lean_env_compile_confirmed_no_sorry_no_admit_no_axiom,Compile-confirmed maximal-frontier certificate bridge in Selector Closure theorem ladder.
RA-OPEN-CHARGE-SIGN-001,Edge-level sign-source for signed N1 charge,issue,ART-SEL-REPORT-HasseFrontierMaximalCompileConfirmed,RA_HasseFrontier_Maximal_CompileConfirmed_Report_Apr29_2026.md,md,compile_confirmation_report,entire report,generated_reviewed,Records successful local compile confirmation for maximal-frontier certificate scaffold.
