src,dst,kind,src_node_type,dst_node_type,src_name,dst_name
RA-MOTIF-PER-GRAPH-ORIENT-WITNESS-001,RA-MOTIF-NATIVE-ORIENT-LINK-001,proof_dependency,claim,claim,Per-graph orientation-link witness evidence refines native orientation catalog evidence,Native orientation catalog evidence refines orientation-link surface
RA-MOTIF-PER-GRAPH-ORIENT-WITNESS-001,RA-MOTIF-ORIENTATION-LINK-SURFACE-001,proof_dependency,claim,claim,Per-graph orientation-link witness evidence refines native orientation catalog evidence,Distinct orientation-link surfaces refine generic orientation component evidence
RA-MOTIF-PER-GRAPH-ORIENT-WITNESS-001,RA-MOTIF-NATIVE-CERT-COMPONENTS-001,proof_dependency,claim,claim,Per-graph orientation-link witness evidence refines native orientation catalog evidence,Native certificate-component contexts refine native-overlap certified-family readiness
RA-SIM-PER-GRAPH-ORIENT-WITNESS-001,RA-SIM-NATIVE-ORIENT-LINK-001,proof_dependency,claim,claim,Per-graph orientation-link witness records can be extracted from simulator state contexts,Native theorem-catalog orientation surface separates from support/frontier overlap
RA-SIM-PER-GRAPH-ORIENT-WITNESS-001,RA-MOTIF-PER-GRAPH-ORIENT-WITNESS-001,proof_dependency,claim,claim,Per-graph orientation-link witness records can be extracted from simulator state contexts,Per-graph orientation-link witness evidence refines native orientation catalog evidence
RA-SIM-PER-GRAPH-ORIENT-WITNESS-002,RA-SIM-PER-GRAPH-ORIENT-WITNESS-001,proof_dependency,claim,claim,Per-graph orientation-link witness overlap separates orientation diagnostics from support-frontier overlap,Per-graph orientation-link witness records can be extracted from simulator state contexts
RA-SIM-PER-GRAPH-ORIENT-WITNESS-002,RA-SIM-NATIVE-ORIENT-LINK-002,proof_dependency,claim,claim,Per-graph orientation-link witness overlap separates orientation diagnostics from support-frontier overlap,Native catalog orientation surface supports orientation-specific diagnostics after support/frontier control
RA-SIM-PER-GRAPH-ORIENT-WITNESS-METHOD-001,RA-METHOD-001,interpretive_dependency,framing,framing,Per-graph orientation-link witness extraction is operational until tied to concrete native graph witnesses,RA framing discipline
RA-SIM-PER-GRAPH-ORIENT-WITNESS-METHOD-001,RA-METHOD-002,interpretive_dependency,framing,framing,Per-graph orientation-link witness extraction is operational until tied to concrete native graph witnesses,RA Nature-target discipline
RA-SIM-PER-GRAPH-ORIENT-WITNESS-METHOD-001,RA-SIM-NATIVE-CERT-OVERLAP-METHOD-001,interpretive_dependency,framing,framing,Per-graph orientation-link witness extraction is operational until tied to concrete native graph witnesses,"Native certificate overlap is an operational bridge, not a final law"
RA-SIM-PER-GRAPH-ORIENT-WITNESS-METHOD-001,RA-SIM-NATIVE-CERT-CALIB-METHOD-001,interpretive_dependency,framing,framing,Per-graph orientation-link witness extraction is operational until tied to concrete native graph witnesses,"Native-overlap calibration is diagnostic, not a final overlap law"
RA-SIM-PER-GRAPH-ORIENT-WITNESS-METHOD-001,RA-SIM-NATIVE-CERT-ANCHOR-METHOD-001,interpretive_dependency,framing,framing,Per-graph orientation-link witness extraction is operational until tied to concrete native graph witnesses,Native certificate anchoring is component-level and qualitative until BDG-LLC derivation
RA-SIM-PER-GRAPH-ORIENT-WITNESS-METHOD-001,RA-SIM-NATIVE-COMPONENT-DECOUPLE-METHOD-001,interpretive_dependency,framing,framing,Per-graph orientation-link witness extraction is operational until tied to concrete native graph witnesses,Do not overclaim component-specific attribution when overlap surfaces are confounded
RA-SIM-PER-GRAPH-ORIENT-WITNESS-METHOD-001,RA-SIM-ORIENTATION-LINK-SURFACE-METHOD-001,interpretive_dependency,framing,framing,Per-graph orientation-link witness extraction is operational until tied to concrete native graph witnesses,"Orientation-specific rescue claims require a real orientation-link surface, not a synthesized one"
RA-SIM-PER-GRAPH-ORIENT-WITNESS-METHOD-001,RA-SIM-NATIVE-ORIENT-LINK-METHOD-001,interpretive_dependency,framing,framing,Per-graph orientation-link witness extraction is operational until tied to concrete native graph witnesses,"Native orientation catalog surfaces are intermediate, not final native orientation laws"
