claim_id,claim_name,claim_node_type,artifact_id,filename,artifact_type,relation,source_span,verification_status,notes
RA-OPEN-FRONTIER-NORMAL-FORM-001,Frontier/incidence normal form for actualization candidates,issue,ART-SEL-LEAN-RA_HasseFrontier_FiniteMax_v1,RA_HasseFrontier_FiniteMax_v1.lean,lean,formalization_scaffold,ReachableUpperPastFinset; TopoMaxFromFinsetData; FiniteTopoMaxFrontierData; topoMaxCertificateOfFinsetData,static_no_sorry_no_admit_no_axiom_build_pending,Packages finite-enumeration data needed to construct topological maximum certificates and Hasse-frontier covers.
RA-OPEN-FRONTIER-NORMAL-FORM-001,Frontier/incidence normal form for actualization candidates,issue,ART-SEL-NOTE-HasseFrontierFiniteMaxProgramme,RA_HasseFrontier_FiniteMax_Programme_Apr29_2026.md,md,formalization_notes,entire note,generated_reviewed,Explains finite-enumeration layer of Selector Closure theorem ladder.
RA-OPEN-ACTUALIZATION-SELECTOR-001,RA-native actualization selector,issue,ART-SEL-LEAN-RA_HasseFrontier_FiniteMax_v1,RA_HasseFrontier_FiniteMax_v1.lean,lean,formalization_scaffold,ReachableUpperPastFinset; TopoMaxFromFinsetData; FiniteTopoMaxFrontierData; topoMaxCertificateOfFinsetData,static_no_sorry_no_admit_no_axiom_build_pending,Packages finite-enumeration data needed to construct topological maximum certificates and Hasse-frontier covers.
RA-OPEN-ACTUALIZATION-SELECTOR-001,RA-native actualization selector,issue,ART-SEL-NOTE-HasseFrontierFiniteMaxProgramme,RA_HasseFrontier_FiniteMax_Programme_Apr29_2026.md,md,formalization_notes,entire note,generated_reviewed,Explains finite-enumeration layer of Selector Closure theorem ladder.
RA-OPEN-SELECTOR-CLOSURE-001,Selector Closure Theorem,issue,ART-SEL-LEAN-RA_HasseFrontier_FiniteMax_v1,RA_HasseFrontier_FiniteMax_v1.lean,lean,formalization_scaffold,ReachableUpperPastFinset; TopoMaxFromFinsetData; FiniteTopoMaxFrontierData; topoMaxCertificateOfFinsetData,static_no_sorry_no_admit_no_axiom_build_pending,Packages finite-enumeration data needed to construct topological maximum certificates and Hasse-frontier covers.
RA-OPEN-SELECTOR-CLOSURE-001,Selector Closure Theorem,issue,ART-SEL-NOTE-HasseFrontierFiniteMaxProgramme,RA_HasseFrontier_FiniteMax_Programme_Apr29_2026.md,md,formalization_notes,entire note,generated_reviewed,Explains finite-enumeration layer of Selector Closure theorem ladder.
RA-OPEN-NO-HISTORY-QUOTIENT-001,No actual-history quotient principle,issue,ART-SEL-LEAN-RA_HasseFrontier_FiniteMax_v1,RA_HasseFrontier_FiniteMax_v1.lean,lean,formalization_scaffold,ReachableUpperPastFinset; TopoMaxFromFinsetData; FiniteTopoMaxFrontierData; topoMaxCertificateOfFinsetData,static_no_sorry_no_admit_no_axiom_build_pending,Packages finite-enumeration data needed to construct topological maximum certificates and Hasse-frontier covers.
RA-OPEN-NO-HISTORY-QUOTIENT-001,No actual-history quotient principle,issue,ART-SEL-NOTE-HasseFrontierFiniteMaxProgramme,RA_HasseFrontier_FiniteMax_Programme_Apr29_2026.md,md,formalization_notes,entire note,generated_reviewed,Explains finite-enumeration layer of Selector Closure theorem ladder.
RA-OPEN-TOPOLOGICAL-LEDGER-001,Topological/incidence derivation of RA ledger rule,issue,ART-SEL-LEAN-RA_HasseFrontier_FiniteMax_v1,RA_HasseFrontier_FiniteMax_v1.lean,lean,formalization_scaffold,ReachableUpperPastFinset; TopoMaxFromFinsetData; FiniteTopoMaxFrontierData; topoMaxCertificateOfFinsetData,static_no_sorry_no_admit_no_axiom_build_pending,Packages finite-enumeration data needed to construct topological maximum certificates and Hasse-frontier covers.
RA-OPEN-TOPOLOGICAL-LEDGER-001,Topological/incidence derivation of RA ledger rule,issue,ART-SEL-NOTE-HasseFrontierFiniteMaxProgramme,RA_HasseFrontier_FiniteMax_Programme_Apr29_2026.md,md,formalization_notes,entire note,generated_reviewed,Explains finite-enumeration layer of Selector Closure theorem ladder.
RA-OPEN-CHARGE-SIGN-001,Edge-level sign-source for signed N1 charge,issue,ART-SEL-LEAN-RA_HasseFrontier_FiniteMax_v1,RA_HasseFrontier_FiniteMax_v1.lean,lean,formalization_scaffold,ReachableUpperPastFinset; TopoMaxFromFinsetData; FiniteTopoMaxFrontierData; topoMaxCertificateOfFinsetData,static_no_sorry_no_admit_no_axiom_build_pending,Packages finite-enumeration data needed to construct topological maximum certificates and Hasse-frontier covers.
RA-OPEN-CHARGE-SIGN-001,Edge-level sign-source for signed N1 charge,issue,ART-SEL-NOTE-HasseFrontierFiniteMaxProgramme,RA_HasseFrontier_FiniteMax_Programme_Apr29_2026.md,md,formalization_notes,entire note,generated_reviewed,Explains finite-enumeration layer of Selector Closure theorem ladder.
RA-OPEN-GROWTH-MEASURE-001,Derived growth measure as selector shadow,issue,ART-SEL-LEAN-RA_HasseFrontier_FiniteMax_v1,RA_HasseFrontier_FiniteMax_v1.lean,lean,formalization_scaffold,ReachableUpperPastFinset; TopoMaxFromFinsetData; FiniteTopoMaxFrontierData; topoMaxCertificateOfFinsetData,static_no_sorry_no_admit_no_axiom_build_pending,Packages finite-enumeration data needed to construct topological maximum certificates and Hasse-frontier covers.
RA-OPEN-GROWTH-MEASURE-001,Derived growth measure as selector shadow,issue,ART-SEL-NOTE-HasseFrontierFiniteMaxProgramme,RA_HasseFrontier_FiniteMax_Programme_Apr29_2026.md,md,formalization_notes,entire note,generated_reviewed,Explains finite-enumeration layer of Selector Closure theorem ladder.
RA-LLC-001,Local Ledger Condition,claim,ART-SEL-LEAN-RA_HasseFrontier_FiniteMax_v1,RA_HasseFrontier_FiniteMax_v1.lean,lean,formalization_scaffold,ReachableUpperPastFinset; TopoMaxFromFinsetData; FiniteTopoMaxFrontierData; topoMaxCertificateOfFinsetData,static_no_sorry_no_admit_no_axiom_build_pending,Packages finite-enumeration data needed to construct topological maximum certificates and Hasse-frontier covers.
RA-LLC-001,Local Ledger Condition,claim,ART-SEL-NOTE-HasseFrontierFiniteMaxProgramme,RA_HasseFrontier_FiniteMax_Programme_Apr29_2026.md,md,formalization_notes,entire note,generated_reviewed,Explains finite-enumeration layer of Selector Closure theorem ladder.
