claim_id,claim_name,claim_node_type,artifact_id,filename,artifact_type,relation,source_span,verification_status,notes
RA-OPEN-FRONTIER-NORMAL-FORM-001,Frontier/incidence normal form for actualization candidates,issue,ART-SEL-LEAN-RA_HasseFrontier_FiniteMaxExist_v1,RA_HasseFrontier_FiniteMaxExist_v1.lean,lean,formalization_scaffold,reachableUpperPastFinsetOfFiniteGraph; topoMaxFromReachableUpperPastFinset; finiteTopoMaxFrontierDataOfFiniteGraph; coverOfFiniteGraph,static_no_sorry_no_admit_no_axiom_build_pending,Derives finite topological-maximum frontier data from exact finite graph enumeration; compile pending.
RA-OPEN-ACTUALIZATION-SELECTOR-001,RA-native actualization selector,issue,ART-SEL-LEAN-RA_HasseFrontier_FiniteMaxExist_v1,RA_HasseFrontier_FiniteMaxExist_v1.lean,lean,formalization_scaffold,reachableUpperPastFinsetOfFiniteGraph; topoMaxFromReachableUpperPastFinset; finiteTopoMaxFrontierDataOfFiniteGraph; coverOfFiniteGraph,static_no_sorry_no_admit_no_axiom_build_pending,Derives finite topological-maximum frontier data from exact finite graph enumeration; compile pending.
RA-OPEN-SELECTOR-CLOSURE-001,Selector Closure Theorem,issue,ART-SEL-LEAN-RA_HasseFrontier_FiniteMaxExist_v1,RA_HasseFrontier_FiniteMaxExist_v1.lean,lean,formalization_scaffold,reachableUpperPastFinsetOfFiniteGraph; topoMaxFromReachableUpperPastFinset; finiteTopoMaxFrontierDataOfFiniteGraph; coverOfFiniteGraph,static_no_sorry_no_admit_no_axiom_build_pending,Derives finite topological-maximum frontier data from exact finite graph enumeration; compile pending.
RA-OPEN-NO-HISTORY-QUOTIENT-001,No actual-history quotient principle,issue,ART-SEL-LEAN-RA_HasseFrontier_FiniteMaxExist_v1,RA_HasseFrontier_FiniteMaxExist_v1.lean,lean,formalization_scaffold,reachableUpperPastFinsetOfFiniteGraph; topoMaxFromReachableUpperPastFinset; finiteTopoMaxFrontierDataOfFiniteGraph; coverOfFiniteGraph,static_no_sorry_no_admit_no_axiom_build_pending,Derives finite topological-maximum frontier data from exact finite graph enumeration; compile pending.
RA-OPEN-TOPOLOGICAL-LEDGER-001,Topological/incidence derivation of the RA ledger rule,issue,ART-SEL-LEAN-RA_HasseFrontier_FiniteMaxExist_v1,RA_HasseFrontier_FiniteMaxExist_v1.lean,lean,formalization_scaffold,reachableUpperPastFinsetOfFiniteGraph; topoMaxFromReachableUpperPastFinset; finiteTopoMaxFrontierDataOfFiniteGraph; coverOfFiniteGraph,static_no_sorry_no_admit_no_axiom_build_pending,Derives finite topological-maximum frontier data from exact finite graph enumeration; compile pending.
RA-OPEN-CHARGE-SIGN-001,Edge-level sign-source for signed N1 charge,issue,ART-SEL-LEAN-RA_HasseFrontier_FiniteMaxExist_v1,RA_HasseFrontier_FiniteMaxExist_v1.lean,lean,formalization_scaffold,reachableUpperPastFinsetOfFiniteGraph; topoMaxFromReachableUpperPastFinset; finiteTopoMaxFrontierDataOfFiniteGraph; coverOfFiniteGraph,static_no_sorry_no_admit_no_axiom_build_pending,Derives finite topological-maximum frontier data from exact finite graph enumeration; compile pending.
RA-OPEN-GROWTH-MEASURE-001,Derived growth measure as selector shadow,issue,ART-SEL-LEAN-RA_HasseFrontier_FiniteMaxExist_v1,RA_HasseFrontier_FiniteMaxExist_v1.lean,lean,formalization_scaffold,reachableUpperPastFinsetOfFiniteGraph; topoMaxFromReachableUpperPastFinset; finiteTopoMaxFrontierDataOfFiniteGraph; coverOfFiniteGraph,static_no_sorry_no_admit_no_axiom_build_pending,Derives finite topological-maximum frontier data from exact finite graph enumeration; compile pending.
RA-LLC-001,Local Ledger Condition,claim,ART-SEL-LEAN-RA_HasseFrontier_FiniteMaxExist_v1,RA_HasseFrontier_FiniteMaxExist_v1.lean,lean,formalization_scaffold,reachableUpperPastFinsetOfFiniteGraph; topoMaxFromReachableUpperPastFinset; finiteTopoMaxFrontierDataOfFiniteGraph; coverOfFiniteGraph,static_no_sorry_no_admit_no_axiom_build_pending,Derives finite topological-maximum frontier data from exact finite graph enumeration; compile pending.
RA-OPEN-FRONTIER-NORMAL-FORM-001,Frontier/incidence normal form for actualization candidates,issue,ART-SEL-NOTE-HasseFrontierFiniteMaxExistProgramme,RA_HasseFrontier_FiniteMaxExist_Programme_Apr29_2026.md,md,formalization_notes,entire note,generated_reviewed,Explains finite maximum existence rung of Selector Closure theorem ladder.
RA-OPEN-FRONTIER-NORMAL-FORM-001,Frontier/incidence normal form for actualization candidates,issue,ART-SEL-REPORT-HasseFrontierFiniteMaxExistFirstFormalization,RA_HasseFrontier_FiniteMaxExist_First_Formalization_Report_Apr29_2026.md,md,formalization_report,entire report,generated_reviewed,Reports first formalization result for finite maximum existence scaffold.
RA-OPEN-ACTUALIZATION-SELECTOR-001,RA-native actualization selector,issue,ART-SEL-NOTE-HasseFrontierFiniteMaxExistProgramme,RA_HasseFrontier_FiniteMaxExist_Programme_Apr29_2026.md,md,formalization_notes,entire note,generated_reviewed,Explains finite maximum existence rung of Selector Closure theorem ladder.
RA-OPEN-ACTUALIZATION-SELECTOR-001,RA-native actualization selector,issue,ART-SEL-REPORT-HasseFrontierFiniteMaxExistFirstFormalization,RA_HasseFrontier_FiniteMaxExist_First_Formalization_Report_Apr29_2026.md,md,formalization_report,entire report,generated_reviewed,Reports first formalization result for finite maximum existence scaffold.
RA-OPEN-SELECTOR-CLOSURE-001,Selector Closure Theorem,issue,ART-SEL-NOTE-HasseFrontierFiniteMaxExistProgramme,RA_HasseFrontier_FiniteMaxExist_Programme_Apr29_2026.md,md,formalization_notes,entire note,generated_reviewed,Explains finite maximum existence rung of Selector Closure theorem ladder.
