claim_id,claim_name,claim_node_type,artifact_id,filename,artifact_type,relation,source_span,verification_status,notes,node_type,type
RA-MOTIF-INDEPENDENT-CERT-FAMILY-001,Member-local certification contexts separate support-family membership from certification.,claim,ART-MOTIF-CERTIFIED-SUPPORT-FAMILY-BRIDGE,RA_MotifCertifiedSupportFamilyBridge.lean,lean,formal_anchor,,packet_local,,claim,formal_anchor
RA-MOTIF-INDEPENDENT-CERT-FAMILY-002,Member-certified family readiness bridges back to ordinary family readiness and commit-context certification.,claim,ART-MOTIF-CERTIFIED-SUPPORT-FAMILY-BRIDGE,RA_MotifCertifiedSupportFamilyBridge.lean,lean,formal_anchor,,packet_local,,claim,formal_anchor
RA-SIM-CERT-FAMILY-001,Independent member certification enables certification-channel support-family rescue in the v0.8 workbench.,claim,ART-SIM-CERT-FAMILY-V08-MODULE,ra_causal_dag_independent_cert_families.py,python,formal_source,,packet_local,,claim,formal_source
RA-SIM-CERT-FAMILY-001,Independent member certification enables certification-channel support-family rescue in the v0.8 workbench.,claim,ART-SIM-CERT-FAMILY-V08-SUMMARY,ra_independent_cert_family_summary_v0_8.csv,csv,simulation_output,,packet_local,,claim,simulation_output
RA-SIM-CERT-FAMILY-002,Certificate-correlation sweeps distinguish independent and shared certificate fate.,claim,ART-SIM-CERT-FAMILY-V08-CORRELATION,ra_certification_correlation_sweep_v0_8.csv,csv,simulation_output,,packet_local,,claim,simulation_output
RA-SIM-CERT-FAMILY-003,Selector stress remains outside support-family certification rescue.,claim,ART-SIM-CERT-FAMILY-V08-SELECTOR,ra_independent_cert_selector_guardrail_v0_8.csv,csv,simulation_output,,packet_local,,claim,simulation_output
RA-SIM-CERT-FAMILY-001,Independent member certification enables certification-channel support-family rescue in the v0.8 workbench.,claim,ART-SIM-CERT-FAMILY-V08-VALIDATION,validation_unittest_v0_8.log,log,validation_log,,packet_local,,claim,validation_log
RA-SIM-CERT-FAMILY-001,Independent member certification enables certification-channel support-family rescue in the v0.8 workbench.,claim,ART-SIM-CERT-FAMILY-V08-REPORT,RA_CausalDAG_MotifCommitSimulator_v0_8_IndependentCertifiedFamilies_Report_May05_2026.md,md,formal_bridge_report,,packet_local,,claim,formal_bridge_report
RA-SIM-CERT-FAMILY-002,Certificate-correlation sweeps distinguish independent and shared certificate fate.,claim,ART-SIM-CERT-FAMILY-V08-VALIDATION,validation_unittest_v0_8.log,log,validation_log,,packet_local,,claim,validation_log
RA-SIM-CERT-FAMILY-002,Certificate-correlation sweeps distinguish independent and shared certificate fate.,claim,ART-SIM-CERT-FAMILY-V08-REPORT,RA_CausalDAG_MotifCommitSimulator_v0_8_IndependentCertifiedFamilies_Report_May05_2026.md,md,formal_bridge_report,,packet_local,,claim,formal_bridge_report
RA-SIM-CERT-FAMILY-003,Selector stress remains outside support-family certification rescue.,claim,ART-SIM-CERT-FAMILY-V08-VALIDATION,validation_unittest_v0_8.log,log,validation_log,,packet_local,,claim,validation_log
RA-SIM-CERT-FAMILY-003,Selector stress remains outside support-family certification rescue.,claim,ART-SIM-CERT-FAMILY-V08-REPORT,RA_CausalDAG_MotifCommitSimulator_v0_8_IndependentCertifiedFamilies_Report_May05_2026.md,md,formal_bridge_report,,packet_local,,claim,formal_bridge_report
RA-SIM-CERT-FAMILY-METHOD-001,"Independent certified support-family simulations are certification-resilience diagnostics, not physical laws.",framing,ART-SIM-CERT-FAMILY-V08-REPORT,RA_CausalDAG_MotifCommitSimulator_v0_8_IndependentCertifiedFamilies_Report_May05_2026.md,md,methodological_anchor,,packet_local,,framing,methodological_anchor
