old_file,line,old_name,old_status,replacement_action,replacement_name_or_target,note
RA_AmpLocality.lean,144,quantum_measure,native_candidate_rewrite,rename_native,extension_order_measure,Rename quantum-measure language into extension-order language.
RA_AmpLocality.lean,171,bdg_causal_invariance,native_candidate_rewrite,rename_native,extension_order_invariance,"Keep theorem content, rename away from quantum-measure vocabulary."
RA_BaryonChirality.lean,43,no_backward_edge,native_core,keep,no_reverse_precedence,Already native in substance; rename only if desired for vocabulary uniformity.
RA_BaryonChirality.lean,51,maximal_parity_violation,native_candidate_rewrite,rename_native,one_way_precedence,Keep theorem content; replace parity language with causal-orientation language.
RA_BaryonChirality.lean,64,backward_winding_filtered,native_candidate_rewrite,rename_native,reverse_winding_filtered,Rename into orientation language.
RA_BaryonChirality.lean,68,forward_winding_stable,native_candidate_rewrite,rename_native,forward_winding_stable,Already close; keep but remove particle-physics framing in comments.
RA_BaryonChirality.lean,72,fixed_point_symmetric,native_candidate_rewrite,rename_native,fixed_point_orientation_symmetric,Rename into orientation language.
RA_BaryonChirality.lean,81,chirality_maximal,native_candidate_rewrite,rename_native,orientation_one_way,Rename into orientation language.
RA_BaryonChirality.lean,109,particle_n2_values,mixed_rewrite,rename_native,motif_depth2_profiles,"Keep arithmetic content, remove particle labels."
RA_BaryonChirality.lean,130,gluon_n2_preserved_all,mixed_rewrite,rename_native,symmetric_branch_depth2_preserved_all,"Keep exhaustive result, remove gluon label."
RA_BaryonChirality.lean,148,quark_escape_n2,mixed_rewrite,rename_native,chain_escape_depth2_profile,"Keep arithmetic content, remove quark label."
RA_BaryonChirality.lean,152,quark_replica_n2,mixed_rewrite,rename_native,asymmetric_branch_replica_depth2_profile,"Keep arithmetic content, remove quark label."
RA_BaryonChirality.lean,158,quark_extensions_classified,mixed_rewrite,rename_native,asymmetric_branch_extensions_classified,"Keep exhaustive result, remove quark label."
RA_BaryonChirality.lean,179,sequential_n2_fixed,native_candidate_rewrite,rename_native,chain_depth2_fixed,Keep theorem content; rename into chain/depth language.
RA_BaryonChirality.lean,206,D3_chirality_and_baryon,non_native,split_and_replace,orientation_and_depth2_ledger_core,Replace composite theorem by two native theorems: orientation one-way + depth-2 ledger preservation.
RA_D1_Proofs.lean,62,bdg_c0,native_candidate_rewrite,rename_native,bdg_weight_birth,Mathematical content is native; replace translation-facing labels with motif/depth/orientation language.
RA_D1_Proofs.lean,63,bdg_c1,native_candidate_rewrite,rename_native,bdg_weight_depth1,Mathematical content is native; replace translation-facing labels with motif/depth/orientation language.
RA_D1_Proofs.lean,64,bdg_c2,native_candidate_rewrite,rename_native,bdg_weight_depth2,Mathematical content is native; replace translation-facing labels with motif/depth/orientation language.
RA_D1_Proofs.lean,66,bdg_c3,native_candidate_rewrite,rename_native,bdg_weight_depth3,Mathematical content is native; replace translation-facing labels with motif/depth/orientation language.
RA_D1_Proofs.lean,67,bdg_c4,native_candidate_rewrite,rename_native,bdg_weight_depth4,Mathematical content is native; replace translation-facing labels with motif/depth/orientation language.
RA_D1_Proofs.lean,116,D1a_three_stable_nvectors,native_candidate_rewrite,rename_native,stable_chain_profiles,Mathematical content is native; replace translation-facing labels with motif/depth/orientation language.
RA_D1_Proofs.lean,125,D1a_unstable_depths,native_candidate_rewrite,rename_native,chain_unstable_depths,Mathematical content is native; replace translation-facing labels with motif/depth/orientation language.
RA_D1_Proofs.lean,158,D1b_sym_yjoin,native_candidate_rewrite,rename_native,symmetric_branch_join_stable,Mathematical content is native; replace translation-facing labels with motif/depth/orientation language.
RA_D1_Proofs.lean,162,D1b_asym_yjoin,native_candidate_rewrite,rename_native,asymmetric_branch_join_stable,Mathematical content is native; replace translation-facing labels with motif/depth/orientation language.
RA_D1_Proofs.lean,165,D1b_both_stable,native_candidate_rewrite,rename_native,minimal_branch_joins_stable,Mathematical content is native; replace translation-facing labels with motif/depth/orientation language.
RA_D1_Proofs.lean,205,D1c_gluon_confined,native_candidate_rewrite,rename_native,symmetric_branch_extension_filtered_after_one,Mathematical content is native; replace translation-facing labels with motif/depth/orientation language.
