artifact_id,filename,type,status,artifact_role,supports_results,repo_relative_path,sha256,git_sha,path_observed,notes,migration_note
ART-LEAN-RA_AmpLocality,RA_AmpLocality.lean,lean,lean_build_confirmed_no_sorry,formal_source_bridge_review,RA-KERNEL-002,src/RA_AQFT/RA_AmpLocality.lean,23e25ea2476f84245b7a5466e927c17a12342fb8fcd2d887d13f5e43ba01cc1c,,,module=RA_AmpLocality; lines=208; declarations=13; sorry=0; admit=0; axiom=0; build_evidence=user_lake_build_confirmed,RAKB Apr27 v5 Lean upsert; supersedes v3/v4 CSV patch tables.
ART-LEAN-RA_AmpLocality_Native,RA_AmpLocality_Native.lean,lean,lean_build_confirmed_no_sorry,formal_source,RA-KERNEL-002,src/RA_AQFT/RA_AmpLocality_Native.lean,e0b451bf0769e5b56576c590fb21ba1ad0f3989def4cabd9ca95a086b708e369,,,module=RA_AmpLocality_Native; lines=73; declarations=11; sorry=0; admit=0; axiom=0; build_evidence=user_lake_build_confirmed,RAKB Apr27 v5 Lean upsert; supersedes v3/v4 CSV patch tables.
ART-LEAN-RA_BDG_Coefficient_Arithmetic,RA_BDG_Coefficient_Arithmetic.lean,lean,lean_build_confirmed_no_sorry,formal_source,RA-ARITH-001;RA-ARITH-002;RA-KERNEL-001,src/RA_AQFT/RA_BDG_Coefficient_Arithmetic.lean,893cace2832fb49b5787c27907b762d1cac16ee92001dd18d2d35dc392bed637,,,module=RA_BDG_Coefficient_Arithmetic; lines=68; declarations=16; sorry=0; admit=0; axiom=0; build_evidence=user_lake_build_confirmed,RAKB Apr27 v5 Lean upsert; supersedes v3/v4 CSV patch tables.
ART-LEAN-RA_BDG_LLC_Kernel,RA_BDG_LLC_Kernel.lean,lean,lean_build_confirmed_no_sorry,formal_source,,src/RA_AQFT/RA_BDG_LLC_Kernel.lean,0c6502a5a4ae3671feafa3f068719b6509126d3f6667f1284003aef0bb0ff736,,,module=RA_BDG_LLC_Kernel; lines=148; declarations=15; sorry=0; admit=0; axiom=0; build_evidence=user_lake_build_confirmed,RAKB Apr27 v5 Lean upsert; supersedes v3/v4 CSV patch tables.
ART-LEAN-RA_CausalOrientation_Core,RA_CausalOrientation_Core.lean,lean,lean_build_confirmed_no_sorry,formal_source,,src/RA_AQFT/RA_CausalOrientation_Core.lean,c2a7a44236e5e80ddcea6f4b3924aee565b9021d19410893bc3224f6f5abb6de,,,module=RA_CausalOrientation_Core; lines=99; declarations=13; sorry=0; admit=0; axiom=0; build_evidence=user_lake_build_confirmed,RAKB Apr27 v5 Lean upsert; supersedes v3/v4 CSV patch tables.
ART-LEAN-RA_D1_Core_draft,RA_D1_Core_draft.lean,lean,lean_build_confirmed_no_sorry,legacy_rich_formal_source,RA-MOTIF-002;RA-MOTIF-003;RA-MOTIF-004;RA-MOTIF-005;RA-MOTIF-007;RA-MOTIF-008,src/RA_AQFT/RA_D1_Core_draft.lean,2176458ba909f4d4ed57f4aa674f6287ea236b7e72893404fbb2b17753aa36f0,,,module=RA_D1_Core_draft; lines=931; declarations=63; sorry=0; admit=0; axiom=0; build_evidence=user_lake_build_confirmed,RAKB Apr27 v5 Lean upsert; supersedes v3/v4 CSV patch tables.
ART-LEAN-RA_D1_GraphCutCombinatorics,RA_D1_GraphCutCombinatorics.lean,lean,lean_build_confirmed_no_sorry,formal_source,,src/RA_AQFT/RA_D1_GraphCutCombinatorics.lean,36d398396a545e0b7f5d3286bc7ea229f80fec385947d6dd1ce9502d3db9b59b,,,module=RA_D1_GraphCutCombinatorics; lines=92; declarations=4; sorry=0; admit=0; axiom=0; build_evidence=user_lake_build_confirmed,RAKB Apr27 v5 Lean upsert; supersedes v3/v4 CSV patch tables.
ART-LEAN-RA_D1_NativeClosure_v1,RA_D1_NativeClosure_v1.lean,lean,lean_build_confirmed_no_sorry,formal_source,,src/RA_AQFT/RA_D1_NativeClosure_v1.lean,106bec05fd0a6d21c9d2bc124d937558f2ed1f798840dbece4373fb89aa21d41,,,module=RA_D1_NativeClosure_v1; lines=221; declarations=12; sorry=0; admit=0; axiom=0; build_evidence=user_lake_build_confirmed,RAKB Apr27 v5 Lean upsert; supersedes v3/v4 CSV patch tables.
ART-LEAN-RA_D1_NativeConfinement_v1,RA_D1_NativeConfinement_v1.lean,lean,lean_build_confirmed_no_sorry,formal_source,,src/RA_AQFT/RA_D1_NativeConfinement_v1.lean,f600de72e0bb018c8205d8260316fe4ea870ee1cbac9eab5b36faef380bd7689,,,module=RA_D1_NativeConfinement_v1; lines=82; declarations=10; sorry=0; admit=0; axiom=0; build_evidence=user_lake_build_confirmed,RAKB Apr27 v5 Lean upsert; supersedes v3/v4 CSV patch tables.
ART-LEAN-RA_D1_NativeDimensionality_v1,RA_D1_NativeDimensionality_v1.lean,lean,lean_build_confirmed_no_sorry,formal_source,,src/RA_AQFT/RA_D1_NativeDimensionality_v1.lean,9d8d29c98bb46ae65da4f779fe75d41aeb61736c1cfd311fe0a773376c9eae86,,,module=RA_D1_NativeDimensionality_v1; lines=149; declarations=12; sorry=0; admit=0; axiom=1; build_evidence=user_lake_build_confirmed,RAKB Apr27 v5 Lean upsert; supersedes v3/v4 CSV patch tables.
