claim_id,paper,category,result,basis,status,coarse_status,strategic_tracks,audit_priority,notes,nativeness_class,native_note,native_target_rewrite,native_priority
P1-001,P1,Ontology and dynamics,Seven axioms (incl. Finitary Actuality),Ontological commitments,Stated,Stated,core-foundation,Medium,,native-core,Kernel axiom set; primitive ontology.,Retain on native critical path.,1
P1-002,P1,Ontology and dynamics,Sequential graph-growth rule,Axiomatic dynamics,Stated,Stated,core-foundation,Medium,,native-core,Sequential graph growth is a primitive RA dynamic.,Retain on native critical path.,1
P1-003,P1,Ontology and dynamics,BDG acceptance kernel K(N|\mu),Derived from growth rule + filter,DR,DR,core-foundation,Medium,,native-core,BDG acceptance kernel belongs to the discrete core.,Retain on native critical path.,1
P1-004,P1,Ontology and dynamics,Kernel--Poisson divergence identity,Theorem ref,DR,DR,core-foundation,Medium,,native-core,Kernel/Poisson divergence identity is RA-internal statistical structure.,Retain on native critical path.,1
P1-005,P1,Ontology and dynamics,Asymptotic saturation P_{acc}\to 1,Theorem ref,DR,DR,core-foundation,Medium,,native-core,Saturation of acceptance remains within the discrete statistical layer.,Retain on native critical path.,1
P1-011,P1,Kinematics and cosmology-adjacent,c=\ell_P/t_P from graph bandwidth,Structural identification,DR,DR,QFT-domain-recovery,Routine,,native-core,Bandwidth/lightcone ratio stated in graph units is native.,Retain on native critical path.,1
P1-012,P1,Kinematics and cosmology-adjacent,Proper time as integer count,Structural identification,DR,DR,QFT-domain-recovery,Routine,,native-core,Proper time as event count is native ontology.,Retain on native critical path.,1
P1-015,P1,Dimensional uniqueness,d=4 unique viable dimension,Multiple convergent criteria,DR,DR,core-foundation,Medium,,native-core,d=4 viability is a flagship native claim.,Retain on native critical path.,1
P1-016,P1,Dimensional uniqueness,\mu^*\approx 1.019 (D4U02 numerical),Stein--Papangelou + certified enumeration,CV,CV,core-foundation,Medium,,native-core,D4U02 numerical selectivity is native.,Retain on native critical path.,1
P1-017,P1,Dimensional uniqueness,D4U02 analytic closure,Contour integral bound,Open,Open,core-foundation,High,,native-core,Analytic closure remains a native open problem.,Retain on native critical path.,1
P2-002,P2,Topology and structure,"Confinement depths L=3,4",Lean 4,LV,LV,QFT-domain-recovery,Routine,,native-core,Confinement windows/depths are internal motif structure.,Retain on native critical path.,1
P3-001,P3,Foundations (Lean-verified at stated layer),LLC at every vertex,Lean 4,LV,LV,core-foundation,Routine,,native-core,LLC is primitive bedrock.,Retain on native critical path.,1
P3-002,P3,Foundations (Lean-verified at stated layer),Graph Cut Theorem,Lean 4,LV,LV,core-foundation,Routine,,native-core,Graph cut theorem is bedrock.,Retain on native critical path.,1
P3-004,P3,Foundations (Lean-verified at stated layer),Amplitude locality,Lean 4,LV,LV,core-foundation,Routine,,native-core,Amplitude locality is explicitly named native in the framing doc.,Retain on native critical path.,1
P3-005,P3,Foundations (Lean-verified at stated layer),Causal invariance (amplitude-locality layer),RA\_AmpLocality.lean,LV,LV,core-foundation,Routine,,native-core,Causal invariance is native closure.,Retain on native critical path.,1
P4-023,P4,Quantum information,"Arrow of time structural, not statistical",Graph growth direction,DR,DR,benchmark-observable; calculation-utility,High,,native-core,"Arrow of time as structure, not statistics, is core RA ontology.",Retain on native critical path.,1
P1-009,P1,Kinematics and cosmology-adjacent,Measurement problem dissolved,Low-density limit of BDG dynamics,DR,DR,QFT-domain-recovery,Routine,,native-candidate,Keep the actualization-based resolution; strip wavefunction/continuum rhetoric.,Retain on native critical path.,2
P1-014,P1,Kinematics and cosmology-adjacent,Singularity termination via saturation,Paper III developed,DR,DR,QFT-domain-recovery,Routine,,native-candidate,Saturation-based singularity termination is graph-native if kept off GR language.,Retain on native critical path.,2
P1-018,P1,"Coupling constants (previewed here, Paper II)",\alpha_{EM}^{-1}=137 integer core,alpha\_inv\_137 Lean theorem,LV,LV,QFT-domain-recovery; calculation-utility,Routine,,native-candidate,Measured fine-structure number is an allowed Nature target.,Retain on native critical path.,2
