src,dst,kind,src_node_type,dst_node_type,src_name,dst_name
RA-SIM-GRAPH-COUPLED-ORIENT-001,RA-SIM-CONCRETE-GRAPH-ORIENT-001,proof_dependency,claim,claim,v1.6 closes the v1.5 rescue/topology disconnection by extracting orientation overlap on the same v0.9 CausalDAG instance per trial,Concrete-graph orientation-link extraction yields topology-derived witnesses decoupled from support/frontier overlap
RA-SIM-GRAPH-COUPLED-ORIENT-001,RA-SIM-PER-GRAPH-ORIENT-WITNESS-001,proof_dependency,claim,claim,v1.6 closes the v1.5 rescue/topology disconnection by extracting orientation overlap on the same v0.9 CausalDAG instance per trial,Per-graph orientation-link witness records can be extracted from simulator state contexts
RA-SIM-GRAPH-COUPLED-ORIENT-001,RA-MOTIF-CONCRETE-GRAPH-ORIENT-WITNESS-001,proof_dependency,claim,claim,v1.6 closes the v1.5 rescue/topology disconnection by extracting orientation overlap on the same v0.9 CausalDAG instance per trial,Concrete edge-pair-sign witness evidence refines per-graph orientation-link evidence
RA-SIM-GRAPH-COUPLED-ORIENT-001,RA-SIM-NATIVE-CERT-OVERLAP-001,proof_dependency,claim,claim,v1.6 closes the v1.5 rescue/topology disconnection by extracting orientation overlap on the same v0.9 CausalDAG instance per trial,Native overlap can induce effective certificate correlation
RA-SIM-GRAPH-COUPLED-ORIENT-002,RA-SIM-GRAPH-COUPLED-ORIENT-001,proof_dependency,claim,claim,"On matched graphs at v1.6 sample size, v1.5's orientation-specificity verdict does not replicate (reversed-sign rescue gap for orientation_degradation)",v1.6 closes the v1.5 rescue/topology disconnection by extracting orientation overlap on the same v0.9 CausalDAG instance per trial
RA-SIM-GRAPH-COUPLED-ORIENT-002,RA-SIM-CONCRETE-GRAPH-ORIENT-002,proof_dependency,claim,claim,"On matched graphs at v1.6 sample size, v1.5's orientation-specificity verdict does not replicate (reversed-sign rescue gap for orientation_degradation)",Concrete-graph orientation-link surface preserves orientation specificity verdicts under matched support/frontier control
RA-SIM-GRAPH-COUPLED-ORIENT-METHOD-001,RA-METHOD-001,interpretive_dependency,framing,framing,v1.6 graph-coupled extraction is the methodological gold standard for orientation-rescue claims; v1.6 results retract the v1.5 cross-validation of v0.9.2 family-semantics asymmetry,RA framing discipline
RA-SIM-GRAPH-COUPLED-ORIENT-METHOD-001,RA-METHOD-002,interpretive_dependency,framing,framing,v1.6 graph-coupled extraction is the methodological gold standard for orientation-rescue claims; v1.6 results retract the v1.5 cross-validation of v0.9.2 family-semantics asymmetry,RA Nature-target discipline
RA-SIM-GRAPH-COUPLED-ORIENT-METHOD-001,RA-SIM-NATIVE-CERT-OVERLAP-METHOD-001,interpretive_dependency,framing,framing,v1.6 graph-coupled extraction is the methodological gold standard for orientation-rescue claims; v1.6 results retract the v1.5 cross-validation of v0.9.2 family-semantics asymmetry,"Native certificate overlap is an operational bridge, not a final law"
RA-SIM-GRAPH-COUPLED-ORIENT-METHOD-001,RA-SIM-ORIENTATION-LINK-SURFACE-METHOD-001,interpretive_dependency,framing,framing,v1.6 graph-coupled extraction is the methodological gold standard for orientation-rescue claims; v1.6 results retract the v1.5 cross-validation of v0.9.2 family-semantics asymmetry,"Orientation-specific rescue claims require a real orientation-link surface, not a synthesized one"
RA-SIM-GRAPH-COUPLED-ORIENT-METHOD-001,RA-SIM-NATIVE-ORIENT-LINK-METHOD-001,interpretive_dependency,framing,framing,v1.6 graph-coupled extraction is the methodological gold standard for orientation-rescue claims; v1.6 results retract the v1.5 cross-validation of v0.9.2 family-semantics asymmetry,"Native orientation catalog surfaces are intermediate, not final native orientation laws"
RA-SIM-GRAPH-COUPLED-ORIENT-METHOD-001,RA-SIM-PER-GRAPH-ORIENT-WITNESS-METHOD-001,interpretive_dependency,framing,framing,v1.6 graph-coupled extraction is the methodological gold standard for orientation-rescue claims; v1.6 results retract the v1.5 cross-validation of v0.9.2 family-semantics asymmetry,Per-graph orientation-link witness extraction is operational until tied to concrete native graph witnesses
RA-SIM-GRAPH-COUPLED-ORIENT-METHOD-001,RA-SIM-CONCRETE-GRAPH-ORIENT-METHOD-001,interpretive_dependency,framing,framing,v1.6 graph-coupled extraction is the methodological gold standard for orientation-rescue claims; v1.6 results retract the v1.5 cross-validation of v0.9.2 family-semantics asymmetry,v1.5 concrete-graph extraction validates audit machinery only; rescue/topology disconnection means orientation-rescue causal claims require v0.9-graph integration first
