packet,principal_claim,claim_name,epistemic_status,proof_status_raw,key_caveat,rakb_claim_ids,last_audit_event
v0.5.x,RA-SIM-SEVERANCE-SIGNATURE-001,Ensemble analysis extracts RA-native causal-severance signatures,simulation_analysis_canonical_run_confirmed,simulation_analysis_canonical_run_confirmed,"Canonical 100-seed v0.5.1 reconfirmation (seeds 17-117, 32 steps, 4 workers, 120,000 evaluations).",RA-SIM-SEVERANCE-CHANNEL-001;RA-SIM-SEVERANCE-SIGNATURE-001;RA-SIM-SEVERANCE-SIGNATURE-002;RA-SIM-SEVERANCE-SIGNATURE-003;RA-SIM-SEVERANCE-SIGNATURE-004;RA-SIM-SEVERANCE-SIGNATURE-005,
v0.6,RA-SIM-SEVERANCE-CHANNEL-001,Channel-resolved severance workbench separates formerly degenerate failure modes,confirmed_robust,simulation_validated_canonical_run_confirmed,"Canonical 100-seed v0.6 run: 72,000 evaluations in 272s; support_width_classes=[1,2,3,4]. Channel separation confirmed at scale: frontier_dropout vs ledger_failure distance=1.726 cosine=0.",RA-SIM-SEVERANCE-CHANNEL-001;RA-SIM-SEVERANCE-CHANNEL-004;RA-SIM-SEVERANCE-CHANNEL-005;RA-SIM-SUPPORT-FAMILY-004,
v0.7,RA-SIM-SUPPORT-FAMILY-001,v0.7 threshold support families operationalize genuine redundancy,confirmed_robust,simulation_validated_canonical_run_confirmed,"Canonical 100-seed v0.7 run: 288,000 evaluations across 4 thresholds in 19.3s. All 5 README success criteria reproduce: threshold=1.",RA-SIM-SUPPORT-FAMILY-001;RA-SIM-SUPPORT-FAMILY-002;RA-SIM-SUPPORT-FAMILY-003;RA-SIM-SUPPORT-FAMILY-004;RA-SIM-SUPPORT-FAMILY-005;RA-SIM-SUPPORT-FAMILY-006;RA-SIM-SUPPORT-FAMILY-MONO-001,
v0.7.1,RA-SIM-SUPPORT-FAMILY-MONO-001,Exact-k support families are replacement semantics and can violate no-worse behavior,confirmed_robust,simulation_validated_canonical_run_confirmed,"Canonical 100-seed v0.7.1 monotonicity audit: 1,728,000 evaluations in 104.4s. monotone_semantics_no_worse_violations=0; total_no_worse_violations=9,888 (all from exact_k under cut_level certification...",RA-SIM-SUPPORT-FAMILY-METRIC-001;RA-SIM-SUPPORT-FAMILY-MONO-001;RA-SIM-SUPPORT-FAMILY-MONO-002,
v0.7.2,RA-SIM-SUPPORT-FAMILY-METRIC-001,Support-family metric repair separates strict-parent loss from family-internal loss,confirmed_robust,simulation_validated_canonical_run_confirmed,"Reconfirmed by canonical 100-seed v0.7.2 metric-repair audit: 1,728,000 evaluations in ~107s (16,121 eval/s). comparison_valid_rate=0.982; metric_artifact_risk_rate=0.0145 (25,056 events).",RA-SIM-CERT-FAMILY-001;RA-SIM-SUPPORT-FAMILY-METRIC-001;RA-SIM-SUPPORT-FAMILY-METRIC-002;RA-SIM-SUPPORT-FAMILY-METRIC-003;RA-SIM-SUPPORT-FAMILY-METRIC-004,
v0.8,RA-SIM-CERT-FAMILY-001,Independent member certification enables certification-channel support-family rescue in the v0.8 workbench,confirmed_robust,simulation_validated_canonical_run_confirmed,"Reconfirmed by canonical 100-seed v0.8 run: 4,032,000 evaluations in 235.6s (17,114 eval/s). comparison_valid_rate=1.0, metric_artifact_risk_events=0 (the v0.7.",RA-SIM-CERT-CORRELATION-001;RA-SIM-CERT-FAMILY-001;RA-SIM-CERT-FAMILY-002,
v0.8.1,RA-SIM-CERT-CORRELATION-001,Certification rescue decays with certificate correlation,confirmed_robust,simulation_validated_canonical_run_confirmed,Reconfirmed by canonical v0.8.1 analysis on the 4M-evaluation v0.8 ensemble (64 correlation decay curves).,RA-SIM-CERT-CORRELATION-001;RA-SIM-CERT-CORRELATION-003;RA-SIM-NATIVE-CERT-CALIB-002;RA-SIM-NATIVE-CERT-OVERLAP-001;RA-SIM-NATIVE-CERT-OVERLAP-002,
v0.9,RA-SIM-NATIVE-CERT-OVERLAP-001,Native overlap can induce effective certificate correlation,confirmed_robust,simulation_validated_canonical_run_confirmed,"Confirmed by canonical 100-seed v0.9 run (assistant-side; --seed-start 17 --seed-stop 117 --steps 32 --max-targets 12 --threshold-fractions 1.0,0.75,0.5,0.",RA-SIM-GRAPH-COUPLED-ORIENT-001;RA-SIM-NATIVE-CERT-ANCHOR-001;RA-SIM-NATIVE-CERT-CALIB-001;RA-SIM-NATIVE-CERT-OVERLAP-001;RA-SIM-NATIVE-CERT-OVERLAP-002;RA-SIM-NATIVE-CERT-ROBUST-001;RA-SIM-ORIENT-KEYING-001,
v0.9.1,RA-SIM-NATIVE-CERT-ROBUST-001,Native certificate-overlap rescue is robust under component-ablation analysis,confirmed_robust,simulation_validated_canonical_run_confirmed,"Canonical v0.9.1 analysis on the 480,000-evaluation v0.9 component rows plus v0.8.1 external curves.",RA-SIM-NATIVE-CERT-ANCHOR-001;RA-SIM-NATIVE-CERT-CALIB-001;RA-SIM-NATIVE-CERT-ROBUST-001;RA-SIM-NATIVE-CERT-ROBUST-002;RA-SIM-NATIVE-CERT-ROBUST-003,
v0.9.2,RA-SIM-NATIVE-CERT-CALIB-001,Native-overlap family-semantics signal carriers can be audited independently of new simulator semantics,confirmed_robust,simulation_validated_canonical_run_confirmed,"Canonical v0.9.2 analysis on the v0.9 100-seed run plus v0.8.1 external curves. native_rows=10, aggregate_rows=375, component_rows=480, semantics_rows=4.",RA-SIM-NATIVE-CERT-ANCHOR-003;RA-SIM-NATIVE-CERT-CALIB-001;RA-SIM-NATIVE-CERT-CALIB-002;RA-SIM-NATIVE-CERT-CALIB-003,
