claim_id,claim_name,claim_node_type,artifact_id,filename,artifact_type,relation,source_span,verification_status,notes,node_type,type
RA-MOTIF-PER-GRAPH-ORIENT-WITNESS-001,Per-graph orientation-link witness evidence refines native orientation catalog evidence,claim,ART-V14-PER-GRAPH-ORIENT-LEAN,RA_MotifPerGraphOrientationWitness.lean,lean,formal_anchor,,packet_local,v1.4 proposal,claim,claim_artifact
RA-MOTIF-PER-GRAPH-ORIENT-WITNESS-001,Per-graph orientation-link witness evidence refines native orientation catalog evidence,claim,ART-V14-PER-GRAPH-ORIENT-PACKET,RA_CausalDAG_MotifCommitSimulator_v1_4_PerGraphOrientationWitness_May05_2026,dir,analysis_artifact,,packet_local,v1.4 proposal,claim,claim_artifact
RA-SIM-PER-GRAPH-ORIENT-WITNESS-001,Per-graph orientation-link witness records can be extracted from simulator state contexts,claim,ART-V14-PER-GRAPH-ORIENT-PY,ra_per_graph_orientation_witness.py,python,analysis_artifact,,packet_local,v1.4 proposal,claim,claim_artifact
RA-SIM-PER-GRAPH-ORIENT-WITNESS-001,Per-graph orientation-link witness records can be extracted from simulator state contexts,claim,ART-V14-PER-GRAPH-ORIENT-REPORT,RA_CausalDAG_MotifCommitSimulator_v1_4_PerGraphOrientationWitness_Report_May05_2026.md,md,analysis_artifact,,packet_local,v1.4 proposal,claim,claim_artifact
RA-SIM-PER-GRAPH-ORIENT-WITNESS-001,Per-graph orientation-link witness records can be extracted from simulator state contexts,claim,ART-V14-PER-GRAPH-ORIENT-SUMMARY,ra_per_graph_orientation_witness_summary_v1_4.md,md,analysis_artifact,,packet_local,v1.4 proposal,claim,claim_artifact
RA-SIM-PER-GRAPH-ORIENT-WITNESS-001,Per-graph orientation-link witness records can be extracted from simulator state contexts,claim,ART-V14-PER-GRAPH-ORIENT-OUTPUTS,outputs,dir,analysis_artifact,,packet_local,v1.4 proposal,claim,claim_artifact
RA-SIM-PER-GRAPH-ORIENT-WITNESS-001,Per-graph orientation-link witness records can be extracted from simulator state contexts,claim,ART-V14-PER-GRAPH-ORIENT-PACKET,RA_CausalDAG_MotifCommitSimulator_v1_4_PerGraphOrientationWitness_May05_2026,dir,analysis_artifact,,packet_local,v1.4 proposal,claim,claim_artifact
RA-SIM-PER-GRAPH-ORIENT-WITNESS-002,Per-graph orientation-link witness overlap separates orientation diagnostics from support-frontier overlap,claim,ART-V14-PER-GRAPH-ORIENT-PY,ra_per_graph_orientation_witness.py,python,analysis_artifact,,packet_local,v1.4 proposal,claim,claim_artifact
RA-SIM-PER-GRAPH-ORIENT-WITNESS-002,Per-graph orientation-link witness overlap separates orientation diagnostics from support-frontier overlap,claim,ART-V14-PER-GRAPH-ORIENT-REPORT,RA_CausalDAG_MotifCommitSimulator_v1_4_PerGraphOrientationWitness_Report_May05_2026.md,md,analysis_artifact,,packet_local,v1.4 proposal,claim,claim_artifact
RA-SIM-PER-GRAPH-ORIENT-WITNESS-002,Per-graph orientation-link witness overlap separates orientation diagnostics from support-frontier overlap,claim,ART-V14-PER-GRAPH-ORIENT-SUMMARY,ra_per_graph_orientation_witness_summary_v1_4.md,md,analysis_artifact,,packet_local,v1.4 proposal,claim,claim_artifact
RA-SIM-PER-GRAPH-ORIENT-WITNESS-002,Per-graph orientation-link witness overlap separates orientation diagnostics from support-frontier overlap,claim,ART-V14-PER-GRAPH-ORIENT-OUTPUTS,outputs,dir,analysis_artifact,,packet_local,v1.4 proposal,claim,claim_artifact
RA-SIM-PER-GRAPH-ORIENT-WITNESS-002,Per-graph orientation-link witness overlap separates orientation diagnostics from support-frontier overlap,claim,ART-V14-PER-GRAPH-ORIENT-PACKET,RA_CausalDAG_MotifCommitSimulator_v1_4_PerGraphOrientationWitness_May05_2026,dir,analysis_artifact,,packet_local,v1.4 proposal,claim,claim_artifact
RA-SIM-PER-GRAPH-ORIENT-WITNESS-METHOD-001,Per-graph orientation-link witness extraction is operational until tied to concrete native graph witnesses,framing,ART-V14-PER-GRAPH-ORIENT-PACKET,RA_CausalDAG_MotifCommitSimulator_v1_4_PerGraphOrientationWitness_May05_2026,dir,modeling_guardrail,,packet_local,v1.4 proposal,framing,claim_artifact
