candidate_id,title,current_status,proposed_kind,proposed_domain,recommended_status,stageD_lane,stageD_priority,summary,promotion_condition,next_action,source_artifacts,source_artifact
RA-MATTER-HADRON-TRIAD-001,HadronTriad structural ledger and 2/3 mass-bound ratio,user_reported_lake_build_confirmed_no_sorry_updated_lakefile_pending_fresh_log,claim,matter,,target_or_issue_layer_not_claims_yaml,high,Defines HadronTriad as three persistent 4-chains plus a strong-gauge binding motif and proves the triad ledger ratio 2/3 via scaled_kval_ratio_two_thirds.,Archive a fresh lake_build log after adding RA_D2_HadronMassTriad to roots; map to Paper II; then add as a typed claim or leave as restoration candidate if it only supports a target.,,,src/RA_AQFT/RA_D2_HadronMassTriad.lean
RA-O14-RICH-001,Rich O14 uniqueness core source,lean_build_confirmed_transitive_import_but_duplicate_hazard,legacy_or_canonical_choice,arithmetic,,formal_source_candidate_needs_exact_claim_statement,review,"Contains Yeats moments, Boolean-lattice choose values, d=4 binomial inversion, BDG action vector, second-order identity, and cross-dimensional arithmetic checks; duplicates declarations in RA_O14_ArithmeticCore_v1.",Choose canonical O14 module. Either namespace this draft or change RA_BDG_Coefficient_Arithmetic to import RA_O14_ArithmeticCore_v1 and demote this file to rich provenance.,,,src/RA_AQFT/RA_O14_Uniqueness_Core_draft.lean
RA-BERRY-HOLONOMY-001,,,,,restoration_candidate_bridge_and_native_subclaims,bridge_or_framing_do_not_promote_as_proof,review,,,Separate native Poisson-thinning transfer theorem from bridge/gauge-identification claims; map to canonical Paper II only as caveated frontier.,ART-PY-berry_derive_f;ART-PY-berry_thinning;ART-PY-berry_final;ART-PY-berry_gauge,
RA-BORN-KSNAP-001,,,,,framing_or_non_target_bridge_only,target_or_issue_layer_not_claims_yaml,medium,,,"Do not promote to proof graph; if retained, place under framing/non-target or bridge appendix.",ART-PY-born_rule_derivation,
RA-AQFT-CASIMIR-RINDLER-001,,,,,bridge_cartography,bridge_or_framing_do_not_promote_as_proof,review,,,Keep outside active proof graph until formal modular-algebra proof exists.,ART-PY-casimir_benchmark;ART-PY-rindler_relative_entropy,
RA-COSMO-EARLY-BH-001,,,,,phenomenology_restoration_candidate,review_candidate,review,,,Require canonical TeX claim and observational-data provenance before adding target.,ART-PY-ra_early_bh,
RA-COMP-DFT-F1-001,,,,,blocked_missing_dependency,blocked_until_source_environment_or_artifact_exists,medium,,,Add reproducible PySCF/RDKit environment and archived successful output; do not use as support yet.,ART-PY-actualization_thermo;ART-PY-thermo_batch_b3lyp,
RA-MATTER-NEFF-001,,,,,restoration_candidate_caveated,review_candidate,review,,,Decide whether N_eff remains in Paper II as CN/PI rather than DR.,ART-PY-n_eff_mc_test;ART-PY-n_eff_factorization;ART-PY-n_eff_alternative,
RA-MATTER-SIGMA-FILTER-001,,,,,candidate_support_for_open_decay_program,review_candidate,review,,,Keep under RA-OPEN-002 until explicit native daughter-state enumeration replaces empirical classifications.,ART-PY-sigma_analysis;ART-PY-sigma_table;ART-PY-pathwise_exit;ART-PY-rho_native,
RA-KIN-BANDWIDTH-001,Propagation ceiling as graph bandwidth ratio,present_in_canonical_tex_not_registry,claim_candidate,kinematics,stageC_review_candidate,promotion_decision_for_claims_yaml_or_keep_candidate,high,c = ℓP/tP is the maximum causal bandwidth of the finite growth graph; light-speed comparison is downstream.,Decide whether to promote to claims.yaml as derived_native or keep as kinematic restoration candidate.,Decide whether to promote to claims.yaml as derived_native or keep as kinematic restoration candidate.,,Paper I § finite propagation / historical D48
RA-KIN-PROPER-TIME-001,Proper time as actualization-event count,present_in_canonical_tex_not_registry,claim_candidate,kinematics,stageC_review_candidate,promotion_decision_for_claims_yaml_or_keep_candidate,high,Proper time is the integer count of actualization events along a realized worldline in units of tP.,Promote if the statement is retained as a central RA kinematic result.,Promote if the statement is retained as a central RA kinematic result.,,Paper I § proper time / historical D49
RA-GRAV-SINGULARITY-001,Singularity termination by saturation/partition,present_in_canonical_tex_not_registry,claim_candidate,gravity,stageC_review_candidate,promotion_decision_for_claims_yaml_or_keep_candidate,high,Local overload is conjectured to terminate by graph partition/severance rather than divergence.,Map to RA-GRAV-003 or promote as caveated gravitational corollary.,Map to RA-GRAV-003 or promote as caveated gravitational corollary.,,Paper I § bandwidth saturation; Paper III severance / historical D51
RA-D4-CASCADE-001,d=4 cascade-exponent uniqueness criterion,present_in_canonical_tex_not_registry,claim_candidate,arithmetic_matter,stageC_review_candidate,promotion_decision_for_claims_yaml_or_keep_candidate,high,"BDG cascade exponent 2Nc−1 equals cycle length d+1 only in d=4, giving a renewal criterion distinct from D4U02.",Promote if considered part of the active d=4 case; otherwise link as Paper II restoration target.,Promote if considered part of the active d=4 case; otherwise link as Paper II restoration target.,,Paper I § cascade exponent / historical D22
RA-MATTER-ASYMMETRY-001,Matter-sector excess as severance boundary condition,present_in_canonical_tex_not_registry,target_or_issue_candidate,matter_cosmology,stageC_review_candidate,target_or_issue_layer_not_claims_yaml,medium,The observed matter-sector excess may be inherited as severance boundary ledger data rather than generated by later baryogenesis.,Keep as open target until quantitative η_b calculation is available.,Keep as open target until quantitative η_b calculation is available.,,Paper II § matter-sector excess / historical D32
RA-NOPAGE-001,No-Page-curve / severance information-partition comparison,partially_present_in_canonical_tex,framing_or_target_candidate,gravity_information,stageC_review_candidate,target_or_issue_layer_not_claims_yaml,medium,Severance repartitions ledger-preserved information across causally disconnected components; do not phrase as Page-curve theorem unless formalized.,Restore only as comparison/framing note unless a theorem-level entropy curve model exists.,Restore only as comparison/framing note unless a theorem-level entropy curve model exists.,,Paper II § severance and information partition / historical D31
RA-COSMO-HEAT-DEATH-001,Heat-death prohibition by severance/fragmentation,absent_candidate,target_candidate,cosmology,stageC_review_candidate,target_or_issue_layer_not_claims_yaml,medium,Universe may fragment into causally disconnected patches before global thermal equilibrium can be reached.,Needs source support and careful statement; possible Paper III/IV consequence subsection.,Needs source support and careful statement; possible Paper III/IV consequence subsection.,,Historical D16
RA-COSMO-COSMIC-WEB-001,Cosmic-web attractor from environment-dependent expansion,absent_candidate,target_candidate,cosmology,stageC_review_candidate,target_or_issue_layer_not_claims_yaml,medium,Density-dependent expansion may make cosmic-web topology a dynamical attractor.,Only promote after source-law and inhomogeneous-expansion calculation.,Only promote after source-law and inhomogeneous-expansion calculation.,,Historical D18
RA-COSMO-DESI-W0WA-001,DESI w0/wa transition fit target,absent_target_candidate,target_candidate,cosmology,stageC_review_candidate,target_or_issue_layer_not_claims_yaml,medium,"EdS-to-Milne transition fit with w0/wa values is a forecast/benchmark target, not currently canonical text.",Keep as target if scripts/data provenance are archived; do not promote as DR.,Keep as target if scripts/data provenance are archived; do not promote as DR.,,Historical D20
RA-MATTER-REGGE-001,Regge-trajectory / flux-tube comparison result,absent_candidate,target_candidate,matter,stageC_review_candidate,target_or_issue_layer_not_claims_yaml,medium,m²∝J from linear renewal/flux-tube logic was in historical state but absent from canonical text.,Low-priority restoration candidate; needs formal or computational support.,Low-priority restoration candidate; needs formal or computational support.,,Historical D25
RA-MATTER-PROTON-STABILITY-001,Proton stability / decay prohibition candidate,absent_candidate,target_or_claim_candidate,matter,stageC_review_candidate,target_or_issue_layer_not_claims_yaml,medium,"Baryon/proton stability may follow from orientation/chirality/LLC constraints, but canonical Paper II does not state it.",Map exact Lean theorem support before restoring. Phrase as target/conjecture unless fully formal.,Map exact Lean theorem support before restoring. Phrase as target/conjecture unless fully formal.,,Historical D29
RA-MATTER-NEUTRINO-MAJORANA-001,Majorana-neutrino prediction candidate,absent_target_candidate,target_candidate,matter,stageC_review_candidate,target_or_issue_layer_not_claims_yaml,medium,Historical claim predicts Majorana neutrinos and approximate mass sum from SU(3)_gen/Koide structure.,Restore only as explicitly conjectural target if source-backed.,Restore only as explicitly conjectural target if source-backed.,,Historical D37
RA-QINFO-KCB-001,Kinematic Coherence Bound target,mostly_absent_target,target_candidate,quantum_information,stageC_review_candidate,target_or_issue_layer_not_claims_yaml,medium,Historical KCB claim gives a hard kinematic ceiling for fault-tolerant quantum arrays.,Currently only deferred suite-level target; keep as target until native derivation is source-backed.,Currently only deferred suite-level target; keep as target until native derivation is source-backed.,,Historical D43
RA-QINFO-SPINBATH-001,Spin-bath collapse-timescale target,mostly_absent_target,target_candidate,quantum_information,stageC_review_candidate,target_or_issue_layer_not_claims_yaml,medium,Historical spin-bath formula t*=0.274/g is absent from canonical Paper IV.,Keep as target/frontier; do not present as active support.,Keep as target/frontier; do not present as active support.,,Historical D44
RA-THERMO-MAXWELL-001,Maxwell-demon / actualization thermodynamics target,absent_candidate,target_candidate,thermodynamics,stageC_review_candidate,target_or_issue_layer_not_claims_yaml,medium,Historical demon dissolution claim is absent; Landauer-style bounds are explicitly non-active in Paper IV.,Keep as future thermodynamic target unless formal actualization thermodynamics is built.,Keep as future thermodynamic target unless formal actualization thermodynamics is built.,,Historical D46
RA-KIN-ACTUALIZATION-FREQUENCY-001,Actualization-frequency mass-energy law target,absent_open_target,issue_or_target_candidate,kinematics,stageC_review_candidate,target_or_issue_layer_not_claims_yaml,medium,Historical E=γmc²-from-frequency claim is absent; canonical Paper I keeps frequency law open.,Place under RA-OPEN-009; do not promote until frequency law is derived.,Place under RA-OPEN-009; do not promote until frequency law is derived.,,Historical D50
