claim_id,claim_name,claim_node_type,artifact_id,filename,artifact_type,relation,source_span,verification_status,notes
RA-OPEN-TOPOLOGICAL-LEDGER-001,Topological/incidence derivation of the RA ledger rule,issue,ART-SEL-LEAN-RA_GraphOrientationClosure_v1,RA_GraphOrientationClosure_v1.lean,lean,formalization_scaffold,CausalOrientationEvidence; D1LedgerOrientationEvidence; NativeOrientationEvidence; GraphOrientationClosureCertificate; graphOrientationClosureOfCertificate; signSourceOfGraphOrientationClosureCertificate; graphOrientedBoundaryOfClosureCertificate_qN1_seven; ledgerOfGraphOrientationClosureCertificate_qN1_seven,static_no_sorry_no_admit_no_axiom_build_pending,Scaffold packaging compiled orientation and D1 ledger evidence into graph-orientation closure certificate; sign-source still awaits graph-native construction theorem.
RA-OPEN-CHARGE-SIGN-001,Edge-level sign-source for signed N1 charge,issue,ART-SEL-LEAN-RA_GraphOrientationClosure_v1,RA_GraphOrientationClosure_v1.lean,lean,formalization_scaffold,CausalOrientationEvidence; D1LedgerOrientationEvidence; NativeOrientationEvidence; GraphOrientationClosureCertificate; graphOrientationClosureOfCertificate; signSourceOfGraphOrientationClosureCertificate; graphOrientedBoundaryOfClosureCertificate_qN1_seven; ledgerOfGraphOrientationClosureCertificate_qN1_seven,static_no_sorry_no_admit_no_axiom_build_pending,Moves sign-source one rung upward: from supplied graph-orientation data to certificate-level closure using compiled RA orientation evidence.
RA-OPEN-FRONTIER-NORMAL-FORM-001,Frontier/incidence normal form for actualization candidates,issue,ART-SEL-LEAN-RA_GraphOrientationClosure_v1,RA_GraphOrientationClosure_v1.lean,lean,formalization_scaffold,CausalOrientationEvidence; D1LedgerOrientationEvidence; NativeOrientationEvidence; GraphOrientationClosureCertificate; graphOrientationClosureOfCertificate; signSourceOfGraphOrientationClosureCertificate; graphOrientedBoundaryOfClosureCertificate_qN1_seven; ledgerOfGraphOrientationClosureCertificate_qN1_seven,static_no_sorry_no_admit_no_axiom_build_pending,Links finite Hasse-frontier normal form to native orientation evidence via graph-orientation closure certificate.
RA-OPEN-ACTUALIZATION-SELECTOR-001,RA-native actualization selector,issue,ART-SEL-LEAN-RA_GraphOrientationClosure_v1,RA_GraphOrientationClosure_v1.lean,lean,formalization_scaffold,CausalOrientationEvidence; D1LedgerOrientationEvidence; NativeOrientationEvidence; GraphOrientationClosureCertificate; graphOrientationClosureOfCertificate; signSourceOfGraphOrientationClosureCertificate; graphOrientedBoundaryOfClosureCertificate_qN1_seven; ledgerOfGraphOrientationClosureCertificate_qN1_seven,static_no_sorry_no_admit_no_axiom_build_pending,Connects deterministic orientation closure to selector/frontier scaffolding without primitive randomness.
RA-OPEN-SELECTOR-CLOSURE-001,Selector Closure Theorem,issue,ART-SEL-LEAN-RA_GraphOrientationClosure_v1,RA_GraphOrientationClosure_v1.lean,lean,formalization_scaffold,CausalOrientationEvidence; D1LedgerOrientationEvidence; NativeOrientationEvidence; GraphOrientationClosureCertificate; graphOrientationClosureOfCertificate; signSourceOfGraphOrientationClosureCertificate; graphOrientedBoundaryOfClosureCertificate_qN1_seven; ledgerOfGraphOrientationClosureCertificate_qN1_seven,static_no_sorry_no_admit_no_axiom_build_pending,Adds compiled native orientation evidence as an ingredient toward hard selector closure.
RA-MOTIF-006,Signed three-direction charge spectrum,claim,ART-SEL-LEAN-RA_GraphOrientationClosure_v1,RA_GraphOrientationClosure_v1.lean,lean,formalization_support,CausalOrientationEvidence; D1LedgerOrientationEvidence; NativeOrientationEvidence; GraphOrientationClosureCertificate; graphOrientationClosureOfCertificate; signSourceOfGraphOrientationClosureCertificate; graphOrientedBoundaryOfClosureCertificate_qN1_seven; ledgerOfGraphOrientationClosureCertificate_qN1_seven,static_no_sorry_no_admit_no_axiom_build_pending,Supports the formal path from orientation closure certificate to seven-value signed N1 ledger; not yet full sign-source theorem.
RA-OPEN-TOPOLOGICAL-LEDGER-001,Topological/incidence derivation of the RA ledger rule,issue,ART-SEL-NOTE-GraphOrientationClosureProgramme,RA_GraphOrientationClosure_Programme_Apr29_2026.md,md,formalization_notes,entire note,generated_reviewed,Documentation for graph-orientation closure scaffold.
RA-OPEN-CHARGE-SIGN-001,Edge-level sign-source for signed N1 charge,issue,ART-SEL-NOTE-GraphOrientationClosureProgramme,RA_GraphOrientationClosure_Programme_Apr29_2026.md,md,formalization_notes,entire note,generated_reviewed,Documentation for graph-orientation closure scaffold.
RA-OPEN-TOPOLOGICAL-LEDGER-001,Topological/incidence derivation of the RA ledger rule,issue,ART-SEL-REPORT-GraphOrientationClosureFirstFormalization,RA_GraphOrientationClosure_First_Formalization_Report_Apr29_2026.md,md,formalization_report,entire report,generated_reviewed,Documentation for graph-orientation closure scaffold.
RA-OPEN-CHARGE-SIGN-001,Edge-level sign-source for signed N1 charge,issue,ART-SEL-REPORT-GraphOrientationClosureFirstFormalization,RA_GraphOrientationClosure_First_Formalization_Report_Apr29_2026.md,md,formalization_report,entire report,generated_reviewed,Documentation for graph-orientation closure scaffold.
