claim_id,claim_name,claim_node_type,artifact_id,filename,artifact_type,relation,source_span,verification_status,notes,node_type,type
RA-SIM-NATIVE-COMPONENT-DECOUPLE-001,Native component decoupling audit detects orientation/support/frontier confounding,claim,ART-SIM-NATIVE-COMPONENT-DECOUPLE-SOURCE-v1-1,ra_native_component_decoupling.py,py,analysis_source,,canonical_run_confirmed,active RAKB v0.5 12-column edge upsert,claim,analysis_source
RA-SIM-NATIVE-COMPONENT-DECOUPLE-002,Ledger attribution is separated while orientation attribution remains joint-proxy in v1.1,claim,ART-SIM-NATIVE-COMPONENT-DECOUPLE-SOURCE-v1-1,ra_native_component_decoupling.py,py,analysis_source,,canonical_run_confirmed,active RAKB v0.5 12-column edge upsert,claim,analysis_source
RA-SIM-NATIVE-COMPONENT-DECOUPLE-001,Native component decoupling audit detects orientation/support/frontier confounding,claim,ART-SIM-NATIVE-COMPONENT-DECOUPLE-RUNSCRIPT-v1-1,run_native_component_decoupling_v1_1.py,py,analysis_source,,canonical_run_confirmed,active RAKB v0.5 12-column edge upsert,claim,analysis_source
RA-SIM-NATIVE-COMPONENT-DECOUPLE-001,Native component decoupling audit detects orientation/support/frontier confounding,claim,ART-SIM-NATIVE-COMPONENT-DECOUPLE-REPORT-v1-1,RA_CausalDAG_MotifCommitSimulator_v1_1_NativeComponentDecoupling_Report_May05_2026.md,md,formal_bridge_report,,canonical_run_confirmed,active RAKB v0.5 12-column edge upsert,claim,formal_bridge_report
RA-SIM-NATIVE-COMPONENT-DECOUPLE-002,Ledger attribution is separated while orientation attribution remains joint-proxy in v1.1,claim,ART-SIM-NATIVE-COMPONENT-DECOUPLE-REPORT-v1-1,RA_CausalDAG_MotifCommitSimulator_v1_1_NativeComponentDecoupling_Report_May05_2026.md,md,formal_bridge_report,,canonical_run_confirmed,active RAKB v0.5 12-column edge upsert,claim,formal_bridge_report
RA-SIM-NATIVE-COMPONENT-DECOUPLE-001,Native component decoupling audit detects orientation/support/frontier confounding,claim,ART-SIM-NATIVE-COMPONENT-DECOUPLE-BRIDGE-v1-1,simulator_to_rakb_native_component_decoupling_v1_1.md,md,bridge_mapping,,canonical_run_confirmed,active RAKB v0.5 12-column edge upsert,claim,bridge_mapping
RA-SIM-NATIVE-COMPONENT-DECOUPLE-002,Ledger attribution is separated while orientation attribution remains joint-proxy in v1.1,claim,ART-SIM-NATIVE-COMPONENT-DECOUPLE-BRIDGE-v1-1,simulator_to_rakb_native_component_decoupling_v1_1.md,md,bridge_mapping,,canonical_run_confirmed,active RAKB v0.5 12-column edge upsert,claim,bridge_mapping
RA-SIM-NATIVE-COMPONENT-DECOUPLE-001,Native component decoupling audit detects orientation/support/frontier confounding,claim,ART-SIM-NATIVE-COMPONENT-DECOUPLE-VALIDATION-v1-1,validation_unittest_v1_1.log,log,validation_log,,canonical_run_confirmed,active RAKB v0.5 12-column edge upsert,claim,validation_log
RA-SIM-NATIVE-COMPONENT-DECOUPLE-001,Native component decoupling audit detects orientation/support/frontier confounding,claim,ART-SIM-NATIVE-COMPONENT-DECOUPLE-SOURCE-AUDIT-v1-1,source_audit_RA_CausalDAG_MotifCommitSimulator_v1_1_May05_2026.log,log,source_audit,,generated_source_audit,active RAKB v0.5 12-column edge upsert,claim,source_audit
RA-SIM-NATIVE-COMPONENT-DECOUPLE-001,Native component decoupling audit detects orientation/support/frontier confounding,claim,ART-SIM-NATIVE-COMPONENT-DECOUPLE-AUDIT-CSV-v1-1,ra_component_decoupling_audit_v1_1.csv,csv,analysis_output,,canonical_run_validated,active RAKB v0.5 12-column edge upsert,claim,analysis_output
RA-SIM-NATIVE-COMPONENT-DECOUPLE-002,Ledger attribution is separated while orientation attribution remains joint-proxy in v1.1,claim,ART-SIM-NATIVE-COMPONENT-DECOUPLE-SPECIFICITY-v1-1,ra_orientation_specificity_by_mode_v1_1.csv,csv,analysis_output,,canonical_run_validated,active RAKB v0.5 12-column edge upsert,claim,analysis_output
RA-SIM-NATIVE-COMPONENT-DECOUPLE-001,Native component decoupling audit detects orientation/support/frontier confounding,claim,ART-SIM-NATIVE-COMPONENT-DECOUPLE-PARTIAL-CORR-v1-1,ra_component_partial_correlation_v1_1.csv,csv,analysis_output,,canonical_run_validated,active RAKB v0.5 12-column edge upsert,claim,analysis_output
RA-SIM-NATIVE-COMPONENT-DECOUPLE-001,Native component decoupling audit detects orientation/support/frontier confounding,claim,ART-SIM-NATIVE-COMPONENT-DECOUPLE-MATCHED-STRATA-v1-1,ra_matched_overlap_strata_v1_1.csv,csv,analysis_output,,canonical_run_validated,active RAKB v0.5 12-column edge upsert,claim,analysis_output
RA-SIM-NATIVE-COMPONENT-DECOUPLE-001,Native component decoupling audit detects orientation/support/frontier confounding,claim,ART-SIM-NATIVE-COMPONENT-DECOUPLE-ABLATION-v1-1,ra_orientation_ablation_after_support_control_v1_1.csv,csv,analysis_output,,canonical_run_validated,active RAKB v0.5 12-column edge upsert,claim,analysis_output
RA-SIM-NATIVE-COMPONENT-DECOUPLE-002,Ledger attribution is separated while orientation attribution remains joint-proxy in v1.1,claim,ART-SIM-NATIVE-COMPONENT-DECOUPLE-ABLATION-v1-1,ra_orientation_ablation_after_support_control_v1_1.csv,csv,analysis_output,,canonical_run_validated,active RAKB v0.5 12-column edge upsert,claim,analysis_output
RA-SIM-NATIVE-COMPONENT-DECOUPLE-002,Ledger attribution is separated while orientation attribution remains joint-proxy in v1.1,claim,ART-SIM-NATIVE-COMPONENT-DECOUPLE-COMPARISON-v1-1,ra_ledger_orientation_specificity_comparison_v1_1.csv,csv,analysis_output,,canonical_run_validated,active RAKB v0.5 12-column edge upsert,claim,analysis_output
RA-SIM-NATIVE-COMPONENT-DECOUPLE-001,Native component decoupling audit detects orientation/support/frontier confounding,claim,ART-SIM-NATIVE-COMPONENT-DECOUPLE-SUMMARY-CSV-v1-1,ra_native_component_decoupling_summary_v1_1.csv,csv,analysis_summary,,canonical_run_validated,active RAKB v0.5 12-column edge upsert,claim,analysis_summary
RA-SIM-NATIVE-COMPONENT-DECOUPLE-002,Ledger attribution is separated while orientation attribution remains joint-proxy in v1.1,claim,ART-SIM-NATIVE-COMPONENT-DECOUPLE-SUMMARY-CSV-v1-1,ra_native_component_decoupling_summary_v1_1.csv,csv,analysis_summary,,canonical_run_validated,active RAKB v0.5 12-column edge upsert,claim,analysis_summary
RA-SIM-NATIVE-COMPONENT-DECOUPLE-001,Native component decoupling audit detects orientation/support/frontier confounding,claim,ART-SIM-NATIVE-COMPONENT-DECOUPLE-SUMMARY-MD-v1-1,ra_native_component_decoupling_summary_v1_1.md,md,analysis_summary,,canonical_run_validated,active RAKB v0.5 12-column edge upsert,claim,analysis_summary
