candidate_id,title,source_artifact,current_status,proposed_kind,proposed_domain,summary,promotion_condition,family,candidate_statement,source_artifacts,recommended_status,next_action
RA-KIN-BANDWIDTH-001,Propagation ceiling as graph bandwidth ratio,Paper I § finite propagation / historical D48,present_in_canonical_tex_not_registry,claim_candidate,kinematics,c = ℓP/tP is the maximum causal bandwidth of the finite growth graph; light-speed comparison is downstream.,Decide whether to promote to claims.yaml as derived_native or keep as kinematic restoration candidate.,,,,stageC_review_candidate,Decide whether to promote to claims.yaml as derived_native or keep as kinematic restoration candidate.
RA-KIN-PROPER-TIME-001,Proper time as actualization-event count,Paper I § proper time / historical D49,present_in_canonical_tex_not_registry,claim_candidate,kinematics,Proper time is the integer count of actualization events along a realized worldline in units of tP.,Promote if the statement is retained as a central RA kinematic result.,,,,stageC_review_candidate,Promote if the statement is retained as a central RA kinematic result.
RA-GRAV-SINGULARITY-001,Singularity termination by saturation/partition,Paper I § bandwidth saturation; Paper III severance / historical D51,present_in_canonical_tex_not_registry,claim_candidate,gravity,Local overload is conjectured to terminate by graph partition/severance rather than divergence.,Map to RA-GRAV-003 or promote as caveated gravitational corollary.,,,,stageC_review_candidate,Map to RA-GRAV-003 or promote as caveated gravitational corollary.
RA-D4-CASCADE-001,d=4 cascade-exponent uniqueness criterion,Paper I § cascade exponent / historical D22,present_in_canonical_tex_not_registry,claim_candidate,arithmetic_matter,"BDG cascade exponent 2Nc−1 equals cycle length d+1 only in d=4, giving a renewal criterion distinct from D4U02.",Promote if considered part of the active d=4 case; otherwise link as Paper II restoration target.,,,,stageC_review_candidate,Promote if considered part of the active d=4 case; otherwise link as Paper II restoration target.
RA-MATTER-ASYMMETRY-001,Matter-sector excess as severance boundary condition,Paper II § matter-sector excess / historical D32,present_in_canonical_tex_not_registry,target_or_issue_candidate,matter_cosmology,The observed matter-sector excess may be inherited as severance boundary ledger data rather than generated by later baryogenesis.,Keep as open target until quantitative η_b calculation is available.,,,,stageC_review_candidate,Keep as open target until quantitative η_b calculation is available.
RA-NOPAGE-001,No-Page-curve / severance information-partition comparison,Paper II § severance and information partition / historical D31,partially_present_in_canonical_tex,framing_or_target_candidate,gravity_information,Severance repartitions ledger-preserved information across causally disconnected components; do not phrase as Page-curve theorem unless formalized.,Restore only as comparison/framing note unless a theorem-level entropy curve model exists.,,,,stageC_review_candidate,Restore only as comparison/framing note unless a theorem-level entropy curve model exists.
RA-COSMO-HEAT-DEATH-001,Heat-death prohibition by severance/fragmentation,Historical D16,absent_candidate,target_candidate,cosmology,Universe may fragment into causally disconnected patches before global thermal equilibrium can be reached.,Needs source support and careful statement; possible Paper III/IV consequence subsection.,,,,stageC_review_candidate,Needs source support and careful statement; possible Paper III/IV consequence subsection.
RA-COSMO-COSMIC-WEB-001,Cosmic-web attractor from environment-dependent expansion,Historical D18,absent_candidate,target_candidate,cosmology,Density-dependent expansion may make cosmic-web topology a dynamical attractor.,Only promote after source-law and inhomogeneous-expansion calculation.,,,,stageC_review_candidate,Only promote after source-law and inhomogeneous-expansion calculation.
RA-COSMO-DESI-W0WA-001,DESI w0/wa transition fit target,Historical D20,absent_target_candidate,target_candidate,cosmology,"EdS-to-Milne transition fit with w0/wa values is a forecast/benchmark target, not currently canonical text.",Keep as target if scripts/data provenance are archived; do not promote as DR.,,,,stageC_review_candidate,Keep as target if scripts/data provenance are archived; do not promote as DR.
RA-MATTER-REGGE-001,Regge-trajectory / flux-tube comparison result,Historical D25,absent_candidate,target_candidate,matter,m²∝J from linear renewal/flux-tube logic was in historical state but absent from canonical text.,Low-priority restoration candidate; needs formal or computational support.,,,,stageC_review_candidate,Low-priority restoration candidate; needs formal or computational support.
RA-MATTER-PROTON-STABILITY-001,Proton stability / decay prohibition candidate,Historical D29,absent_candidate,target_or_claim_candidate,matter,"Baryon/proton stability may follow from orientation/chirality/LLC constraints, but canonical Paper II does not state it.",Map exact Lean theorem support before restoring. Phrase as target/conjecture unless fully formal.,,,,stageC_review_candidate,Map exact Lean theorem support before restoring. Phrase as target/conjecture unless fully formal.
RA-MATTER-NEUTRINO-MAJORANA-001,Majorana-neutrino prediction candidate,Historical D37,absent_target_candidate,target_candidate,matter,Historical claim predicts Majorana neutrinos and approximate mass sum from SU(3)_gen/Koide structure.,Restore only as explicitly conjectural target if source-backed.,,,,stageC_review_candidate,Restore only as explicitly conjectural target if source-backed.
RA-QINFO-KCB-001,Kinematic Coherence Bound target,Historical D43,mostly_absent_target,target_candidate,quantum_information,Historical KCB claim gives a hard kinematic ceiling for fault-tolerant quantum arrays.,Currently only deferred suite-level target; keep as target until native derivation is source-backed.,,,,stageC_review_candidate,Currently only deferred suite-level target; keep as target until native derivation is source-backed.
RA-QINFO-SPINBATH-001,Spin-bath collapse-timescale target,Historical D44,mostly_absent_target,target_candidate,quantum_information,Historical spin-bath formula t*=0.274/g is absent from canonical Paper IV.,Keep as target/frontier; do not present as active support.,,,,stageC_review_candidate,Keep as target/frontier; do not present as active support.
RA-THERMO-MAXWELL-001,Maxwell-demon / actualization thermodynamics target,Historical D46,absent_candidate,target_candidate,thermodynamics,Historical demon dissolution claim is absent; Landauer-style bounds are explicitly non-active in Paper IV.,Keep as future thermodynamic target unless formal actualization thermodynamics is built.,,,,stageC_review_candidate,Keep as future thermodynamic target unless formal actualization thermodynamics is built.
RA-KIN-ACTUALIZATION-FREQUENCY-001,Actualization-frequency mass-energy law target,Historical D50,absent_open_target,issue_or_target_candidate,kinematics,Historical E=γmc²-from-frequency claim is absent; canonical Paper I keeps frequency law open.,Place under RA-OPEN-009; do not promote until frequency law is derived.,,,,stageC_review_candidate,Place under RA-OPEN-009; do not promote until frequency law is derived.
