src,dst,kind,src_node_type,dst_node_type,src_name,dst_name
RA-SIM-MOTIF-ORIENT-001,RA-MOTIF-ORIENT-SUPPORT-001,proof_dependency,claim,claim,Simulator v0.4 implements orientation-gated support certification,RA-MOTIF-ORIENT-SUPPORT-001
RA-SIM-MOTIF-ORIENT-001,RA-MOTIF-ORIENT-SUPPORT-002,proof_dependency,claim,claim,Simulator v0.4 implements orientation-gated support certification,RA-MOTIF-ORIENT-SUPPORT-002
RA-SIM-MOTIF-ORIENT-001,RA-MOTIF-COMMIT-007,proof_dependency,claim,claim,Simulator v0.4 implements orientation-gated support certification,RA-MOTIF-COMMIT-007
RA-SIM-MOTIF-ORIENT-002,RA-SIM-MOTIF-ORIENT-001,proof_dependency,claim,claim,Orientation witness gates separate finite support from certified orientation support,RA-SIM-MOTIF-ORIENT-001
RA-SIM-MOTIF-ORIENT-002,RA-MOTIF-ORIENT-SUPPORT-002,proof_dependency,claim,claim,Orientation witness gates separate finite support from certified orientation support,RA-MOTIF-ORIENT-SUPPORT-002
RA-SIM-MOTIF-ORIENT-002,RA-MOTIF-ORIENT-SUPPORT-003,proof_dependency,claim,claim,Orientation witness gates separate finite support from certified orientation support,RA-MOTIF-ORIENT-SUPPORT-003
RA-SIM-MOTIF-ORIENT-003,RA-SIM-MOTIF-ORIENT-001,proof_dependency,claim,claim,Unsupported orientation-defective competitors do not block certified-ready motifs,RA-SIM-MOTIF-ORIENT-001
RA-SIM-MOTIF-ORIENT-003,RA-MOTIF-COMMIT-008,proof_dependency,claim,claim,Unsupported orientation-defective competitors do not block certified-ready motifs,RA-MOTIF-COMMIT-008
RA-SIM-MOTIF-ORIENT-004,RA-SIM-MOTIF-ORIENT-001,proof_dependency,claim,claim,Selector closure runs downstream of orientation-certified readiness,RA-SIM-MOTIF-ORIENT-001
RA-SIM-MOTIF-ORIENT-004,RA-MOTIF-SELECTOR-002,proof_dependency,claim,claim,Selector closure runs downstream of orientation-certified readiness,RA-MOTIF-SELECTOR-002
RA-SIM-MOTIF-ORIENT-004,RA-MOTIF-SELECTOR-004,proof_dependency,claim,claim,Selector closure runs downstream of orientation-certified readiness,RA-MOTIF-SELECTOR-004
RA-SIM-MOTIF-ORIENT-005,RA-MOTIF-ORIENT-SUPPORT-005,proof_dependency,claim,claim,Simulator incompatibility can be witnessed by orientation conflict domains,RA-MOTIF-ORIENT-SUPPORT-005
RA-SIM-MOTIF-ORIENT-005,RA-SIM-MOTIF-ORIENT-001,proof_dependency,claim,claim,Simulator incompatibility can be witnessed by orientation conflict domains,RA-SIM-MOTIF-ORIENT-001
