gap_id,priority,category,node_id,node_type,name,artifact_edge_count,source_text_ref_count,recommended_action,notes
G-001,low,paper_projected_foundation_no_artifact_needed,RA-ONT-001,claim,Finite causal graph ontology,0,4,No immediate action beyond normal review.,"Axiomatic foundation, not derived."
G-002,low,paper_projected_foundation_no_artifact_needed,RA-ONT-002,claim,Irreversible actualization,0,7,No immediate action beyond normal review.,Primitive RA commitment.
G-003,low,paper_projected_foundation_no_artifact_needed,RA-ONT-003,claim,Structured potentia / adjacent possible,0,6,No immediate action beyond normal review.,Requires full measure formalization.
G-004,low,paper_projected_foundation_no_artifact_needed,RA-ONT-004,claim,Finitary Actuality,0,2,No immediate action beyond normal review.,Axiomatic.
G-005,high,paper_projected_textual_only_claim,RA-KERNEL-003,claim,Finite potentia,0,6,"Either attach source artifact edge, demote to restoration candidate, or mark as prose-derived with explicit caveat.",Assumes finite candidate past-set construction.
G-006,low,paper_projected_foundation_no_artifact_needed,RA-MOTIF-001,claim,Native motif sector definition,0,5,No immediate action beyond normal review.,Mapping to all observed species remains open.
G-007,high,source_backed_no_canonical_text_projection,RA-MOTIF-005,claim,Depth-2 ledger/orientation structure,3,0,Add/confirm canonical TeX RAKB projection comment or demote source edge if intentionally omitted.,Baryon chirality interpretation requires careful cartography.
G-008,high,paper_projected_textual_only_claim,RA-COMP-001,claim,Tier hierarchy,0,2,"Either attach source artifact edge, demote to restoration candidate, or mark as prose-derived with explicit caveat.",Faithful coarse-graining theorem open.
G-009,high,paper_projected_textual_only_claim,RA-COMP-002,claim,Recursive closure,0,9,"Either attach source artifact edge, demote to restoration candidate, or mark as prose-derived with explicit caveat.",Quantitative threshold open.
G-010,high,paper_projected_textual_only_claim,RA-COMP-006,claim,E. coli assembly depth estimate,0,2,"Either attach source artifact edge, demote to restoration candidate, or mark as prose-derived with explicit caveat.",Partition-dependent estimate.
G-011,high,paper_projected_textual_only_claim,RA-COMP-008,claim,Substrate-independent biosignature criteria,0,4,"Either attach source artifact edge, demote to restoration candidate, or mark as prose-derived with explicit caveat.",Needs empirical operationalization.
G-012,low,paper_projected_open_or_framing_no_artifact_required_but_track,RA-KERNEL-004,issue,Stochastic actualization kernel requirement,0,6,Keep caveated; prioritize formal/computational source mapping if this is central.,Full local measure family not yet closed.
G-013,low,paper_projected_open_or_framing_no_artifact_required_but_track,RA-KERNEL-005,issue,Discrete covariance target,0,1,Keep caveated; prioritize formal/computational source mapping if this is central.,Not yet theorem-level.
G-014,low,paper_projected_open_or_framing_no_artifact_required_but_track,RA-OPEN-007,issue,Persistence-window formula,0,3,Keep caveated; prioritize formal/computational source mapping if this is central.,High-priority computational/theoretical target.
G-015,low,paper_projected_open_or_framing_no_artifact_required_but_track,RA-OPEN-008,issue,Consciousness threshold problem,0,7,Keep caveated; prioritize formal/computational source mapping if this is central.,Exploratory; no sufficient theory claimed.
G-016,low,paper_projected_open_or_framing_no_artifact_required_but_track,RA-OPEN-009,issue,RA-native frequency law,0,2,Keep caveated; prioritize formal/computational source mapping if this is central.,Major foundational open target.
G-017,low,paper_projected_open_or_framing_no_artifact_required_but_track,RA-MOTIF-009,issue,Type IV exact-zero motif target,0,1,Keep caveated; prioritize formal/computational source mapping if this is central.,Source support remains unidentified. RA_MotifDynamics_Core.lean has been classified as a superseded wrapper and does not supply Type IV exact-zero support.
G-018,low,paper_projected_open_or_framing_no_artifact_required_but_track,RA-PRED-003,target,Higgs-scale / scalar benchmark target,0,3,Keep caveated; prioritize formal/computational source mapping if this is central.,Do not frame as deriving the Standard Model Higgs field; target is the measured resonance/scale.
G-019,low,not_in_paper_crosswalk_and_no_artifact_edge,RA-NONTARGET-001,framing,Born rule as non-target,0,0,Review whether node is still active; likely framing/context node or registry hygiene item.,Need RA-native frequency law.
G-020,medium,source_backed_no_canonical_text_projection,RA-NONTARGET-002,framing,QCD running as non-mechanism,1,0,Add/confirm canonical TeX RAKB projection comment or demote source edge if intentionally omitted.,Do not use as active native proof.
G-021,low,paper_projected_open_or_framing_no_artifact_required_but_track,RA-NONTARGET-003,framing,Metric field as non-primitive,0,1,Keep caveated; prioritize formal/computational source mapping if this is central.,Effective metric translations may be downstream.
G-SYS-001,high,registry_release_hardening,RA_D2_HadronMassTriad build status,systemic,RA_D2_HadronMassTriad build status,,,Promote D2/HadronMassTriad from pending fresh log to lean_build_confirmed_no_sorry and add D2-root build log artifact.,Fresh D2-root lake build log is present in Stage C source bundle.
G-SYS-002,medium,lean_hygiene,RA_D3_CosmologicalExpansion unused hN2 warning,systemic,RA_D3_CosmologicalExpansion unused hN2 warning,,,Apply one-line patch renaming hN2 to _hN2; rebuild.,Build succeeds but warning should be removed before a quiet release.
G-SYS-003,medium,formal_boundary,CausalGraph interface axiom,systemic,CausalGraph interface axiom,,,Keep documented as interface axiom until graph type is fully internalized.,No sorry/admit; one axiom remains by design.
G-SYS-004,high,paper_crosswalk_determinism,Canonical TeX has zero explicit RA-* IDs,systemic,Canonical TeX has zero explicit RA-* IDs,,,Add TeX comments `% RAKB: ...` section-by-section from Stage C crosswalk.,This will make future paper audits deterministic instead of semantic/curated.
G-SYS-005,medium,python_reproducibility,Python scripts lack uniform CLI/runtime discipline,systemic,Python scripts lack uniform CLI/runtime discipline,,,"Use Python hardening queue; add main guards, constants provenance, and output logs for promoted computations.","Stage B classifies the layer as source-audited and partially smoke-tested, not fully reproduced."
