claim_id,claim_name,claim_node_type,artifact_id,filename,artifact_type,relation,source_span,verification_status,notes
RA-COMP-004,RA assembly depth,claim,ART-PY-actualization_thermo,actualization_thermo.py,py,blocked_missing_dependency,whole_script_static_audit,blocked_missing_dependency,"PySCF/RDKit DFT script; failed locally due missing PySCF, so support pending environment/output."
RA-COMP-005,Glycolysis assembly depth estimate,claim,ART-PY-actualization_thermo,actualization_thermo.py,py,blocked_missing_dependency,whole_script_static_audit,blocked_missing_dependency,"PySCF/RDKit DFT script; failed locally due missing PySCF, so support pending environment/output."
RA-COMP-004,RA assembly depth,claim,ART-PY-thermo_batch_b3lyp,thermo_batch_b3lyp.py,py,blocked_missing_dependency,whole_script_static_audit,blocked_missing_dependency,B3LYP/6-311+G* DFT survey; failed locally due missing PySCF.
RA-COMP-005,Glycolysis assembly depth estimate,claim,ART-PY-thermo_batch_b3lyp,thermo_batch_b3lyp.py,py,blocked_missing_dependency,whole_script_static_audit,blocked_missing_dependency,B3LYP/6-311+G* DFT survey; failed locally due missing PySCF.
RA-MOTIF-007,Confinement as finite renewal,claim,ART-PY-D1_BDG_MCMC_simulation,D1_BDG_MCMC_simulation.py,py,computes_candidate,whole_script_static_audit,hybrid_candidate,Seeded MCMC/phase-diagram script; reproduces several matter-sector claims but imports Λ_QCD/PDG/FLAG constants.
RA-PRED-002,Proton mass scale target,target,ART-PY-D1_BDG_MCMC_simulation,D1_BDG_MCMC_simulation.py,py,computes_candidate,whole_script_static_audit,hybrid_candidate,Seeded MCMC/phase-diagram script; reproduces several matter-sector claims but imports Λ_QCD/PDG/FLAG constants.
RA-ARITH-004,Dimensionless strong-interaction scale,claim,ART-PY-D1_BDG_MCMC_simulation,D1_BDG_MCMC_simulation.py,py,computes_candidate,whole_script_static_audit,hybrid_candidate,Seeded MCMC/phase-diagram script; reproduces several matter-sector claims but imports Λ_QCD/PDG/FLAG constants.
RA-MOTIF-002,Stable motif census,claim,ART-PY-RA_BDG_Simulation,RA_BDG_Simulation.py,py,computes_candidate,whole_script_static_audit,native_candidate,Stable BDG pattern enumeration / D1 foundation; useful but says full proof requires systematic enumeration.
RA-MOTIF-003,Minimal closure windows,claim,ART-PY-RA_BDG_Simulation,RA_BDG_Simulation.py,py,computes_candidate,whole_script_static_audit,native_candidate,Stable BDG pattern enumeration / D1 foundation; useful but says full proof requires systematic enumeration.
RA-MOTIF-004,Extension census,claim,ART-PY-RA_BDG_Simulation,RA_BDG_Simulation.py,py,computes_candidate,whole_script_static_audit,native_candidate,Stable BDG pattern enumeration / D1 foundation; useful but says full proof requires systematic enumeration.
RA-MOTIF-002,Stable motif census,claim,ART-PY-RA_D1_Proof,RA_D1_Proof.py,py,computes_candidate,whole_script_static_audit,native_candidate,"Computational proof script for D1 families; smoke test timed under 8s, needs command/runtime capture."
RA-MOTIF-003,Minimal closure windows,claim,ART-PY-RA_D1_Proof,RA_D1_Proof.py,py,computes_candidate,whole_script_static_audit,native_candidate,"Computational proof script for D1 families; smoke test timed under 8s, needs command/runtime capture."
RA-MOTIF-004,Extension census,claim,ART-PY-RA_D1_Proof,RA_D1_Proof.py,py,computes_candidate,whole_script_static_audit,native_candidate,"Computational proof script for D1 families; smoke test timed under 8s, needs command/runtime capture."
RA-MOTIF-005,Depth-2 ledger/orientation structure,claim,ART-PY-RA_D1_Proof,RA_D1_Proof.py,py,computes_candidate,whole_script_static_audit,native_candidate,"Computational proof script for D1 families; smoke test timed under 8s, needs command/runtime capture."
RA-MOTIF-008,Orientation/chirality theorem family,claim,ART-PY-RA_D1_Proof,RA_D1_Proof.py,py,computes_candidate,whole_script_static_audit,native_candidate,"Computational proof script for D1 families; smoke test timed under 8s, needs command/runtime capture."
RA-ARITH-003,Koide ratio identity,claim,ART-PY-RA_RASM_Verification,RA_RASM_Verification.py,py,benchmarks,whole_script_static_audit,hybrid_candidate,Broad verification harness; mixes native algebraic identities with hybrid/PDG checks.
RA-MOTIF-006,Signed three-direction charge spectrum,claim,ART-PY-RA_RASM_Verification,RA_RASM_Verification.py,py,benchmarks,whole_script_static_audit,hybrid_candidate,Broad verification harness; mixes native algebraic identities with hybrid/PDG checks.
RA-PRED-001,Fine-structure inverse target,target,ART-PY-RA_RASM_Verification,RA_RASM_Verification.py,py,benchmarks,whole_script_static_audit,hybrid_candidate,Broad verification harness; mixes native algebraic identities with hybrid/PDG checks.
RA-PRED-002,Proton mass scale target,target,ART-PY-RA_RASM_Verification,RA_RASM_Verification.py,py,benchmarks,whole_script_static_audit,hybrid_candidate,Broad verification harness; mixes native algebraic identities with hybrid/PDG checks.
RA-GRAV-007,Antichain drift local statistic,claim,ART-PY-antichain_drift,antichain_drift.py,py,computes_candidate,whole_script_static_audit,native_candidate,Seeded antichain-drift computation; supports local drift statistic and expansion-environment targets.
RA-OPEN-004,Environment-sensitive expansion law,issue,ART-PY-antichain_drift,antichain_drift.py,py,computes_candidate,whole_script_static_audit,native_candidate,Seeded antichain-drift computation; supports local drift statistic and expansion-environment targets.
RA-PRED-005,Local Hubble/environment target,target,ART-PY-antichain_drift,antichain_drift.py,py,computes_candidate,whole_script_static_audit,native_candidate,Seeded antichain-drift computation; supports local drift statistic and expansion-environment targets.
RA-OPEN-001,Full motif-to-spectrum cartography,issue,ART-PY-bdg_multicoupling,bdg_multicoupling.py,py,candidate_support,whole_script_static_audit,hybrid_candidate,Depth-level force/coupling model; conceptually rich but bridge-heavy and not an active proof.
RA-OPEN-002,Scattering and decay predictions,issue,ART-PY-bdg_multicoupling,bdg_multicoupling.py,py,candidate_support,whole_script_static_audit,hybrid_candidate,Depth-level force/coupling model; conceptually rich but bridge-heavy and not an active proof.
RA-GRAV-003,Causal severance,claim,ART-PY-branching_volume,branching_volume.py,py,candidate_support,whole_script_static_audit,native_candidate,Daughter/fragmentation volume model; restoration candidate for severance inheritance.
RA-OPEN-005,Low-l CMB / Axis-of-Evil severance inheritance,issue,ART-PY-branching_volume,branching_volume.py,py,candidate_support,whole_script_static_audit,native_candidate,Daughter/fragmentation volume model; restoration candidate for severance inheritance.
RA-PRED-007,Axis-of-Evil / low-l alignment target,target,ART-PY-branching_volume,branching_volume.py,py,candidate_support,whole_script_static_audit,native_candidate,Daughter/fragmentation volume model; restoration candidate for severance inheritance.
RA-PRED-006,Rotation-curve / lensing source-law target,target,ART-PY-bullet_cluster,bullet_cluster.py,py,benchmarks,whole_script_static_audit,phenomenology,"Bullet Cluster source-law benchmark; phenomenology, not proof."
RA-OPEN-003,Coefficient-level orbital/lensing source law,issue,ART-PY-bullet_cluster,bullet_cluster.py,py,benchmarks,whole_script_static_audit,phenomenology,"Bullet Cluster source-law benchmark; phenomenology, not proof."
RA-D4-001,D4U02 selectivity ceiling,claim,ART-PY-cross_dimensional_exclusion,cross_dimensional_exclusion.py,py,computes_candidate,whole_script_static_audit,native_candidate,"Fast cross-dimensional exclusion map using D4U02 values; useful summary, but inputs are partly hard-coded from prior enumeration."
RA-D4-002,D4U02 modular barrier,claim,ART-PY-cross_dimensional_exclusion,cross_dimensional_exclusion.py,py,computes_candidate,whole_script_static_audit,native_candidate,"Fast cross-dimensional exclusion map using D4U02 values; useful summary, but inputs are partly hard-coded from prior enumeration."
RA-GRAV-006,Joint BDG/LLC macro-kernel dimension,claim,ART-PY-cross_dimensional_exclusion,cross_dimensional_exclusion.py,py,computes_candidate,whole_script_static_audit,native_candidate,"Fast cross-dimensional exclusion map using D4U02 values; useful summary, but inputs are partly hard-coded from prior enumeration."
