historical_id,historical_status,historical_statement,historical_evidence,historical_gap,canonical_assessment,recommended_action,rationale,bucket
D09,DR,RACL seven-step chain: LLC + amplitude locality + d=4 + Benincasa-Dowker theorem → G_μν = 8πG P_act[T_μν] with Λ = 0. Does NOT use Lovelock. ,"Paper III §2.1; each step individually LV, published, or DR.",—,absent_or_rejected_as_active_support,do_not_restore_as_DR; optionally preserve as bridge-cartography issue,Canonical Paper III now explicitly says continuum field equations are not active native support; the seven-step GR/RACL chain is not present as a theorem.,absent_but_correctly_demoted_or_archived
D10,DR,"BIANCHI_DISSOLUTION: ∇_μG^μν = 0 IS the LLC in continuum language, not a separate identity requiring proof. Both are the same conservation law at different levels of description. ",Paper III §2.2,none (this dissolves O10),absent_correctly_demoted,do_not_restore_as proof; optional comparison note,Bianchi-as-LLC dissolution is not present; under current framing it should remain a continuum translation claim until formalized.,absent_but_correctly_demoted_or_archived
D11,DR,LORENTZ_DISSOLUTION: Lorentz invariance IS causal invariance of the quantum measure (Lean-verified) read through the Benincasa-Dowker sprinkling limit. ,Paper III §2.3,none (this dissolves O11),present_only_as_comparison,do_not_restore as active support,Lorentz language appears only as comparison/cartography.,present_or_explicitly_handled
D12,DR,"FIELD_EQ_UNIQUENESS: G_μν = 8πG P_act[T_μν], Λ = 0 is the unique continuum field equation consistent with BDG uniqueness + P_act + LLC + d=4. No import of Lovelock's theorem required. ",Paper III §2.4,—,absent_correctly_demoted,do_not_restore as uniqueness theorem without native derivation,Field-equation uniqueness with Lambda=0 is not present; current Paper III says full continuum field equations are outside active native support.,absent_but_correctly_demoted_or_archived
D13,DR,"DIM_REDUCTION: at low actualization density μ < 10^-2, the effective graph dimension reduces from 4 to 2 via Durhuus-Jonsson-Wheater. Source of flat rotation curves without dark matter particles. ",Paper III §3.1,threshold value μ_c not derived from first principles,present_weakened,keep as open sparse-regime topology target; do not restore numeric threshold,"Current Paper III has sparse-regime topology transition, but not μ<1e-2 or a derived dimensional reduction theorem.",present_or_explicitly_handled
D14,DR,ROTATION_CURVES: modified Poisson equation ∇²Φ = 4πG ρ_m + ∇²(ln λ) c² produces flat rotation curves from baryonic matter alone. Reproduces MOND-like phenomenology with emergent scale (not fundamental a_0). ,Paper III §3.2,covariant extension open,present_weakened,link to RA-PRED-006/RA-OPEN-003; restore formula only as historical source-law candidate,"Current Paper III treats flat outer response as a native programme target, not as a closed modified-Poisson law.",present_or_explicitly_handled
D15,AR,"BULLET_CLUSTER: Weyl curvature traces accumulated causal depth A_RA, not current stress-energy. 10^8 headroom in stellar-vs-gas A_RA ratio explains observed lensing offset. ",Paper III §3.3,formal covariant proof open,present_weakened,keep as cluster-lensing target; do not restore numeric 10^8 headroom without source-law derivation,"Current Paper III has historical source-depth hypothesis for Bullet-like offsets, with coefficient law open.",present_or_explicitly_handled
D16,DR,HEAT_DEATH_PROHIBITION: universe fragments into causally disconnected patches (starvation severance at μ→0; density severance at μ→μ₂) before thermal equilibrium can be reached. ,Paper III §6.2,,absent_overpruned_candidate,add restoration candidate; possible Paper III/IV consequence section if caveated,Heat-death/equilibrium-fragmentation claim is absent from canonical suite. It is conceptually RA-native but currently lacks direct source support in the registry.,candidate_for_restoration_or_target
D17,DR,"ARROW_OF_TIME_STRUCTURAL: arrow of time is the growth direction of the acyclic causal graph, primitive in the ontology. Not a consequence of initial conditions or statistical tendencies. Fragmentation prevents equilibrium from ever being reached. ","Paper III §6.3, Paper IV §7.6",—,partially_present,restore short explicit arrow-of-time corollary under ontology; map to RA-ONT-002,"Irreversible DAG growth is present, but the strong heat-death/equilibrium version is not.",present_or_explicitly_handled
D18,DR,"COSMIC_WEB_ATTRACTOR: cosmic web topology is a dynamical attractor from density-dependent expansion: dense regions expand slower (EdS), voids expand faster (Milne), enlarging contrast over time. ",Paper III §6.1,,mostly_absent,add cosmology restoration candidate only if source-law programme wants it,Canonical Paper III mentions void/environment targets but not cosmic-web attractor dynamics.,candidate_for_restoration_or_target
D19,DR,"DARK_ENERGY_APPARENT: Λ=0 + Milne voids + EdS matter regions produces apparent Ω_Λ = 0.68 via homogeneous-ΛCDM fit to Milne d_L(z). Zero free parameters, 1.4% match to observed Planck value. ","Paper III §7.2, DESI 2025",—,present_demoted,keep under RA-PRED-005/RA-OPEN-004; do not restore zero-parameter ΩΛ claim as DR,Canonical Paper III keeps environment-sensitive expansion as a target and removes the 0.68/1.4% numerical closure.,present_or_explicitly_handled
D20,DR,"DESI_W0_WA: EdS→Milne transition with t_trans = 0.575 gives w_0 = -0.71, w_a = -0.91 (one parameter). DESI DR2 central values are w_0 = -0.70 ± 0.10, w_a = -0.90 ± 0.30. ",Paper III §7.2.4,t_trans = 0.575 not derived from nucleation perturbation spectrum,absent_demoted_to_target,keep as target/forecast only with script provenance; do not restore as DR,DESI is cited as an observational target; w0/wa transition numerics are not in the canonical text.,candidate_for_restoration_or_target
D21,DR,PROTON_MASS_CASCADE: m_p = m_P · α_EM^5 / 2^28 = 941 MeV via μ^5 gluon vertex cascade. Self-consistency μ_p = N_eff · α_EM / (32 L_q^3) with N_eff = L_q^3 = 64 (conjectured). 0.3% match to observed 938.3 MeV. ,Paper II §4.1-4.3,"N_eff = L_q^3 is conjecture, not derived (IC41)",present_weakened_correctly,keep PI/CN; do not promote until N_eff derived,Proton cascade is present with N_eff=Lq^3 explicitly conjectural and not theorem-level.,present_or_explicitly_handled
D22,DR,D4_CASCADE_UNIQUENESS: cascade exponent 2N_c - 1 equals cycle length d+1 only in d=4. New d=4 uniqueness argument independent of D4U02 selectivity-ceiling argument. ,Paper II §4.4,,present,retain; consider cross-reference from Paper II to Paper I d=4 cascade criterion,D4 cascade exponent uniqueness is present in Paper I.,present_or_explicitly_handled
D23,DR,"HADRON_PREDICTIONS: cascade mechanism predicts m_n = m_p (leading order, EM correction gives 1.3 MeV splitting), m_π ≈ 124 MeV (11% off, chiral symmetry correction), r_p = L_q · ℏ/(m_p c) = 0.84 fm (0.03%), m_H = 133 m_p = 125.2 GeV (0.06%). ",Paper II §4.5-4.7,,present_weakened,"restore as secondary target table only, not active support","Neutron/pion/Higgs/W targets are present as provisional secondary targets, but numerical claims are mostly removed.",present_or_explicitly_handled
D24,DR,FORCE_RANGES_UNIFIED: EM 1/r² from causal 2-sphere geometry; weak R_W = ℏ/(m_W c) from BDG debt lifetime; strong V(r) = σr from LLC flux tube. All three from single actualization-bandwidth principle. ,Paper II §5,,present_weakened,keep as structural interaction hierarchy; formulas remain future work,"Interaction range hierarchy is present as closure-burden/renewal logic, not closed formulae.",present_or_explicitly_handled
D25,DR,REGGE_TRAJECTORIES: m² ∝ J from flux tube length r ∝ √J combined with linear potential σr. Bonus result of confinement mechanism. ,Paper II §5.4,,absent_overpruned_candidate,add low-priority restoration candidate for Regge/flux-tube comparison,Regge trajectory result is absent from canonical Paper II.,candidate_for_restoration_or_target
D26,CV,"BDG_RG_FIXED_POINTS: two-state RG α_s(μ) = 1/√(c_2 · S_eff(μ)) has exact fixed points α_s^IR = 1/3 (confinement, μ→0) and α_s^UV = 1/√72 (asymptotic freedom, μ→∞). Both from BDG integers alone. ","Paper II §5.5, scripts d3_alpha_s_proof.py",,absent_correctly_demoted,keep bridge/candidate only,Running-coupling/RG fixed-point overlays are explicitly outside active native support.,absent_but_correctly_demoted_or_archived
D27,DR,"ABSENCE_OF_SUSY: hierarchy problem dissolved (no QFT loops in DAG); DM handled by P_act (no LSP needed); gauge unification at BDG level; SUSY algebra not generated by BDG dynamics (fermion 2-periodic ≠ boson 1-periodic, no symmetry maps between them). ",Paper II §7,,absent_archive_or_bridge,do not restore unless a comparison appendix is desired,Absence of SUSY is absent and not central to native support.,absent_but_correctly_demoted_or_archived
