src,dst,kind,src_node_type,dst_node_type,src_name,dst_name
RA-SIM-NATIVE-COMPONENT-DECOUPLE-001,RA-SIM-NATIVE-CERT-ANCHOR-001,proof_dependency,claim,claim,Native component decoupling audit detects orientation/support/frontier confounding,v1.0 packages native certificate-overlap components into an anchoring profile
RA-SIM-NATIVE-COMPONENT-DECOUPLE-001,RA-SIM-NATIVE-CERT-ANCHOR-002,proof_dependency,claim,claim,Native component decoupling audit detects orientation/support/frontier confounding,v1.0 records augmented_exact_k as primary signal-carrier and at_least_k as monotone guardrail
RA-SIM-NATIVE-COMPONENT-DECOUPLE-002,RA-SIM-NATIVE-COMPONENT-DECOUPLE-001,proof_dependency,claim,claim,Ledger attribution is separated while orientation attribution remains joint-proxy in v1.1,Native component decoupling audit detects orientation/support/frontier confounding
RA-SIM-NATIVE-COMPONENT-DECOUPLE-002,RA-SIM-NATIVE-CERT-ANCHOR-001,proof_dependency,claim,claim,Ledger attribution is separated while orientation attribution remains joint-proxy in v1.1,v1.0 packages native certificate-overlap components into an anchoring profile
RA-SIM-NATIVE-COMPONENT-DECOUPLE-METHOD-001,RA-METHOD-001,interpretive_dependency,framing,framing,Do not overclaim component-specific attribution when overlap surfaces are confounded,RA framing discipline
RA-SIM-NATIVE-COMPONENT-DECOUPLE-METHOD-001,RA-METHOD-002,interpretive_dependency,framing,framing,Do not overclaim component-specific attribution when overlap surfaces are confounded,RA Nature-target discipline
RA-SIM-NATIVE-COMPONENT-DECOUPLE-METHOD-001,RA-SIM-NATIVE-CERT-OVERLAP-METHOD-001,interpretive_dependency,framing,framing,Do not overclaim component-specific attribution when overlap surfaces are confounded,"Native certificate overlap is an operational bridge, not a final law"
RA-SIM-NATIVE-COMPONENT-DECOUPLE-METHOD-001,RA-SIM-NATIVE-CERT-ROBUST-METHOD-001,interpretive_dependency,framing,framing,Do not overclaim component-specific attribution when overlap surfaces are confounded,"Native overlap robustness analyses are diagnostic, not derived overlap laws"
RA-SIM-NATIVE-COMPONENT-DECOUPLE-METHOD-001,RA-SIM-NATIVE-CERT-CALIB-METHOD-001,interpretive_dependency,framing,framing,Do not overclaim component-specific attribution when overlap surfaces are confounded,"Native-overlap calibration is diagnostic, not a final overlap law"
RA-SIM-NATIVE-COMPONENT-DECOUPLE-METHOD-001,RA-SIM-NATIVE-CERT-ANCHOR-METHOD-001,interpretive_dependency,framing,framing,Do not overclaim component-specific attribution when overlap surfaces are confounded,Native certificate anchoring is component-level and qualitative until BDG-LLC derivation
