paper,claim_or_surface,basis,status
Paper I,local ledger / graph-cut partition,RA_GraphCore.lean,active native compiled support
Paper I,kernel locality / admissibility depends on realized past,RA_O01_KernelLocality_v2.lean,active native compiled support
Paper I,d=4 arithmetic coefficient inversion,RA_O14_ArithmeticCore_v1.lean,active native compiled support
Paper I,BDG acceptance kernel,growth rule + filter,derived native support
Paper I,selectivity witness ΔS*(μ),finite evaluation of P_acc,computation-verified native readout
Paper I,measurement problem dissolved,sparse vs dense actualization regimes,derived native support
Paper I,finite propagation / event-count time,bandwidth ratio + realized event count,derived native support
Paper I,saturation -> partition / severance onset,native finite graph argument,derived native support
Paper I,d=4 multi-criterion kernel,arithmetic core + structural criteria,derived native programme
Paper I,AQFT / Unruh / Rindler chain,historical bridge baseline only,deferred
Paper I,on-shell / Lorentz / field-equation language,historical continuum cartography,archived
Paper I,coupling-constant / Koide overlays,historical numerical cartography,archived
Paper I,BMV / KCB / spin-bath / similar bridge tests,later-paper suite targets,deferred
Paper II,motif kernel and minimal branching classes,RA_D1_NativeKernel_v1.lean,active native compiled support
Paper II,finite closure lengths,RA_D1_NativeConfinement_v1.lean,active native compiled support
Paper II,closure census,RA_D1_NativeClosure_v1.lean,active native compiled support
Paper II,depth-2 ledger preservation / orientation asymmetry,RA_D1_NativeLedgerOrientation_v1.lean,active native compiled support
Paper II,graph cut / local ledger partition,RA_GraphCore.lean,active native compiled support
Paper II,d=4 arithmetic coefficient inversion,RA_O14_ArithmeticCore_v1.lean,active native compiled support
Paper II,running alpha_s / Koide / CKM / gauge cartography,historical overlays,"archived overlay, not active support"
Paper IV,recursive coarse-graining hierarchy,paper-local native derivation programme,active native structural programme
Paper IV,boundary-mediated organization,RA_GraphCore.lean + paper-local coarse-graining,active native support / structural derivation
Paper IV,F1 redundant boundary inscription / F2 bounded boundary turnover,paper-local native definitions,active native structural programme
Paper IV,finite assembly depth examples,network coarse-graining examples,active native computation
Paper IV,Markov blanket shielding theorem,historical baseline only,"open target, not active support"
Paper IV,DFT / RACI F1 computation,legacy supplement,retired support path
Paper IV,KCB / Landauer / Maxwell / spin-bath,legacy quantum-information cluster,"deferred, not active support"
Paper III,graph cut / local ledger partition,RA_GraphCore.lean,active native compiled support
Paper III,kernel locality / admissibility depends on realized past,RA_O01_KernelLocality_v2.lean,active native compiled support
Paper III,d=4 arithmetic coefficient inversion,RA_O14_ArithmeticCore_v1.lean,active native compiled support
Paper III,matter-side motif / closure structure where inherited,compiled D1-native Paper II modules,active native compiled support (inherited where explicit)
Paper III,severed-link entropy and interface finiteness,paper-local finite graph derivation,derived native support
Paper III,sparse-regime topology transition,paper-local structural programme,argued / coefficient closure open
Paper III,large-radius response / lensing offset,paper-local structural programme,phenomenological / open native target
Paper III,environment-sensitive expansion signal,inhomogeneous fit-kernel programme,phenomenological interpolation
Paper III,Bianchi / Lorentz / continuum field equation chain,historical continuum cartography,"deferred / archival, not active support"
Paper III,alpha_s-based f0 overlay,historical comparison only,"archived overlay, not active support"
Paper III,BMV null,bridge-level test only,"deferred, not active native support"
