src,dst,kind,src_node_type,dst_node_type,src_name,dst_name
RA-SIM-SUPPORT-FAMILY-METRIC-001,RA-SIM-SUPPORT-FAMILY-MONO-001,proof_dependency,claim,claim,Support-family metric repair separates strict-parent loss from family-internal loss,RA-SIM-SUPPORT-FAMILY-MONO-001
RA-SIM-SUPPORT-FAMILY-METRIC-001,RA-SIM-SUPPORT-FAMILY-MONO-002,proof_dependency,claim,claim,Support-family metric repair separates strict-parent loss from family-internal loss,RA-SIM-SUPPORT-FAMILY-MONO-002
RA-SIM-SUPPORT-FAMILY-METRIC-002,RA-SIM-SUPPORT-FAMILY-METRIC-001,proof_dependency,claim,claim,Cut-level certification rows with parent absent from exact-k family are not valid strict-vs-family loss comparisons,RA-SIM-SUPPORT-FAMILY-METRIC-001
RA-SIM-SUPPORT-FAMILY-METRIC-002,RA-SIM-SUPPORT-FAMILY-MONO-003,proof_dependency,claim,claim,Cut-level certification rows with parent absent from exact-k family are not valid strict-vs-family loss comparisons,RA-SIM-SUPPORT-FAMILY-MONO-003
RA-SIM-SUPPORT-FAMILY-METRIC-003,RA-SIM-SUPPORT-FAMILY-METRIC-001,proof_dependency,claim,claim,Certification-channel resilience is a family-internal survival diagnostic unless certificates share a targeting domain,RA-SIM-SUPPORT-FAMILY-METRIC-001
RA-SIM-SUPPORT-FAMILY-METRIC-003,RA-SIM-SUPPORT-FAMILY-METRIC-002,proof_dependency,claim,claim,Certification-channel resilience is a family-internal survival diagnostic unless certificates share a targeting domain,RA-SIM-SUPPORT-FAMILY-METRIC-002
RA-SIM-SUPPORT-FAMILY-METRIC-004,RA-SIM-SUPPORT-FAMILY-METRIC-001,proof_dependency,claim,claim,Apples-to-apples support-family deltas require width-stratified parent-in-family-aware metrics,RA-SIM-SUPPORT-FAMILY-METRIC-001
RA-SIM-SUPPORT-FAMILY-METRIC-004,RA-SIM-SUPPORT-FAMILY-METRIC-002,proof_dependency,claim,claim,Apples-to-apples support-family deltas require width-stratified parent-in-family-aware metrics,RA-SIM-SUPPORT-FAMILY-METRIC-002
RA-SIM-SUPPORT-FAMILY-METRIC-METHOD-001,RA-METHOD-001,interpretive_dependency,framing,framing,Support-family certification metrics require parent-in-family-aware comparison discipline,RA-METHOD-001
RA-SIM-SUPPORT-FAMILY-METRIC-METHOD-001,RA-METHOD-002,interpretive_dependency,framing,framing,Support-family certification metrics require parent-in-family-aware comparison discipline,RA-METHOD-002
RA-SIM-SUPPORT-FAMILY-METRIC-METHOD-001,RA-SIM-SUPPORT-FAMILY-MONO-METHOD-001,interpretive_dependency,framing,framing,Support-family certification metrics require parent-in-family-aware comparison discipline,RA-SIM-SUPPORT-FAMILY-MONO-METHOD-001
