claim_id,claim_name,claim_node_type,artifact_id,filename,artifact_type,relation,source_span,verification_status,notes,node_type,type
RA-MOTIF-CONCRETE-GRAPH-ORIENT-WITNESS-001,Concrete edge-pair-sign witness evidence refines per-graph orientation-link evidence,claim,ART-MOTIF-CONCRETE-GRAPH-ORIENT-WITNESS-LEAN-v1-5,RA_MotifConcreteGraphOrientationWitness.lean,lean,formal_anchor,,lean_build_confirmed_no_sorry_no_admit_no_axiom,active RAKB v0.5 12-column edge upsert,claim,formal_anchor
RA-MOTIF-CONCRETE-GRAPH-ORIENT-WITNESS-001,Concrete edge-pair-sign witness evidence refines per-graph orientation-link evidence,claim,ART-SIM-CONCRETE-GRAPH-ORIENT-REPORT-v1-5,RA_CausalDAG_MotifCommitSimulator_v1_5_ConcreteGraphOrientationExtraction_Report_May05_2026.md,md,formal_bridge_report,,canonical_run_confirmed,active RAKB v0.5 12-column edge upsert,claim,formal_bridge_report
RA-MOTIF-CONCRETE-GRAPH-ORIENT-WITNESS-001,Concrete edge-pair-sign witness evidence refines per-graph orientation-link evidence,claim,ART-SIM-CONCRETE-GRAPH-ORIENT-README-v1-5,README_RA_CausalDAG_MotifCommitSimulator_v1_5_ConcreteGraphOrientationExtraction_May05_2026.md,md,packet_provenance,,canonical_run_confirmed,active RAKB v0.5 12-column edge upsert,claim,packet_provenance
RA-SIM-CONCRETE-GRAPH-ORIENT-001,Concrete-graph orientation-link extraction yields topology-derived witnesses decoupled from support/frontier overlap,claim,ART-SIM-CONCRETE-GRAPH-ORIENT-ANALYSIS-v1-5,ra_concrete_graph_orientation_extraction.py,py,analysis_source,,canonical_run_confirmed,active RAKB v0.5 12-column edge upsert,claim,analysis_source
RA-SIM-CONCRETE-GRAPH-ORIENT-002,Concrete-graph orientation-link surface preserves orientation specificity verdicts under matched support/frontier control,claim,ART-SIM-CONCRETE-GRAPH-ORIENT-ANALYSIS-v1-5,ra_concrete_graph_orientation_extraction.py,py,analysis_source,,canonical_run_confirmed,active RAKB v0.5 12-column edge upsert,claim,analysis_source
RA-SIM-CONCRETE-GRAPH-ORIENT-001,Concrete-graph orientation-link extraction yields topology-derived witnesses decoupled from support/frontier overlap,claim,ART-SIM-CONCRETE-GRAPH-ORIENT-RUNSCRIPT-v1-5,run_concrete_graph_orientation_extraction_v1_5.py,py,analysis_source,,canonical_run_confirmed,active RAKB v0.5 12-column edge upsert,claim,analysis_source
RA-SIM-CONCRETE-GRAPH-ORIENT-001,Concrete-graph orientation-link extraction yields topology-derived witnesses decoupled from support/frontier overlap,claim,ART-SIM-CONCRETE-GRAPH-ORIENT-TESTS-v1-5,test_v1_5_concrete_graph_orientation_extraction.py,py,validation_log,,canonical_run_validated,active RAKB v0.5 12-column edge upsert,claim,validation_log
RA-SIM-CONCRETE-GRAPH-ORIENT-001,Concrete-graph orientation-link extraction yields topology-derived witnesses decoupled from support/frontier overlap,claim,ART-SIM-CONCRETE-GRAPH-ORIENT-REPORT-v1-5,RA_CausalDAG_MotifCommitSimulator_v1_5_ConcreteGraphOrientationExtraction_Report_May05_2026.md,md,formal_bridge_report,,canonical_run_confirmed,active RAKB v0.5 12-column edge upsert,claim,formal_bridge_report
RA-SIM-CONCRETE-GRAPH-ORIENT-002,Concrete-graph orientation-link surface preserves orientation specificity verdicts under matched support/frontier control,claim,ART-SIM-CONCRETE-GRAPH-ORIENT-REPORT-v1-5,RA_CausalDAG_MotifCommitSimulator_v1_5_ConcreteGraphOrientationExtraction_Report_May05_2026.md,md,formal_bridge_report,,canonical_run_confirmed,active RAKB v0.5 12-column edge upsert,claim,formal_bridge_report
RA-SIM-CONCRETE-GRAPH-ORIENT-001,Concrete-graph orientation-link extraction yields topology-derived witnesses decoupled from support/frontier overlap,claim,ART-SIM-CONCRETE-GRAPH-ORIENT-VALIDATION-v1-5,validation_unittest_v1_5.log,log,validation_log,,canonical_run_confirmed,active RAKB v0.5 12-column edge upsert,claim,validation_log
